name	skill_level	skill_type	skill_type2	buff_type	require_class_knight	require_class_archer	require_class_wizard	require_class_berserker	require_class_hunter	require_class_sorcerer	require_class_swashbuckler	require_class_ranger	require_class_elementaler	require_class_slayer	require_class_obiter	require_class_summoner	require_class_scion	require_level	require_point	require_heroic_point	require_charisma_point	damage_a	damage_magic	damage_water	damage_air	damage_earth	damage_fire	damage_poison	damage_ice	damage_thunder	dmg_heroic	damage_c	damage_a_PERCENT	damage_magic_PERCENT	damage_water_PERCENT	damage_air_PERCENT	damage_earth_PERCENT	damage_fire_PERCENT	damage_poison_PERCENT	damage_ice_PERCENT	damage_thunder_PERCENT	dmg_heroic_percent	damage_c_PERCENT	resist_a	cost_hp	cost_mp	cost_sp	cost_arrow	endskill_cost_hp	cast_time	recast_time	semi_recast_time	duration	interval	show damage	range	area_r	area_f1	area_f2	dot_dmg_a	dot_dmg_magic	dot_dmg_water	dot_dmg_air	dot_dmg_earth	dot_dmg_fire	dot_dmg_poison	dot_dmg_ice	dot_dmg_thunder	dot_dmg_heroic	dot_dmg_a_PERCENT	dot_dmg_magic_PERCENT	dot_dmg_water_PERCENT	dot_dmg_air_PERCENT	dot_dmg_earth_PERCENT	dot_dmg_fire_PERCENT	dot_dmg_poison_PERCENT	dot_dmg_ice_PERCENT	dot_dmg_thunder_PERCENT	move_distance	reflect_max	heroic_reflect_max	defense_max	reflect_con	defense_con	damage_shield	counter_up	counter_reduce	hot	dmg_adjust	dmg_show_divide	hp_recovery	mp_recovery	sp_recovery	warrior_lev	change_monster	block_point	stun_time	stun_generate_time	critical	skill_range	skill_rate	special_status_rate	damage_convert_hp	damage_convert_mp	regen_hp	regen_mp	charge_1	charge_2	charge_3	aggrodoll_hp	dot_damage_time	cost_mp_decrease	cast_time_decrease	skill_levelup	mp_convert_hp	death	time_control	item_parts	skill_cost	skill_upgrade_cost	skill_classify_id	skill_classify_level	velocity	summons_tid	creature_tid	additional_skilltid	additional_duration	max_target_num	limit_quantity	summons_count	bonus_exp	bonus_money	bonus_drop_rate	bonus_charisma_add_rate	level_diff	divide_rate	ea_damage_physical	ea_damage_magic	ea_damage_water	ea_damage_air	ea_damage_earth	ea_damage_fire	ea_damage_poison	ea_damage_ice	ea_damage_thunder	ea_damage_c	ea_damage_physical_PERCENT	ea_damage_magic_PERCENT	ea_damage_water_PERCENT	ea_damage_air_PERCENT	ea_damage_earth_PERCENT	ea_damage_fire_PERCENT	ea_damage_poison_PERCENT	ea_damage_ice_PERCENT	ea_damage_thunder_PERCENT	ea_damage_c_PERCENT	FACTOR_POINT	con	str	int	dex	cha	wis	movement	hp	mp	sp	ap	agro	max_hp	max_mp	max_sp	atk_speed	atk_range	skill_cast	skill_delay	hit_rate	evade_rate	dodge_rate	dmg_min_physical	dmg_min_magic	dmg_min_water	dmg_min_air	dmg_min_earth	dmg_min_fire	dmg_min_poison	dmg_min_ice	dmg_min_thunder	dmg_max_physical	dmg_max_magic	dmg_max_water	dmg_max_air	dmg_max_earth	dmg_max_fire	dmg_max_poison	dmg_max_ice	dmg_max_thunder	def_point_physical	def_point_magic	def_point_water	def_point_air	def_point_earth	def_point_fire	def_point_poison	def_point_ice	def_point_thunder	physical_resistance	physical_block	skill_block	dmg_min_heroic	dmg_max_heroic	def_point_heroic	heroic_melee_Resistance	heroic_ranged_Resistance	heroic_magic_Resistance	FACTOR_PERCENT	con	str	int	dex	cha	wis	movement	hp	mp	sp	ap	agro	max_hp	max_mp	max_sp	atk_speed	atk_range	skill_cast	skill_delay	hit_rate	evade_rate	dodge_rate	dmg_min_physical	dmg_min_magic	dmg_min_water	dmg_min_air	dmg_min_earth	dmg_min_fire	dmg_min_poison	dmg_min_ice	dmg_min_thunder	dmg_max_physical	dmg_max_magic	dmg_max_water	dmg_max_air	dmg_max_earth	dmg_max_fire	dmg_max_poison	dmg_max_ice	dmg_max_thunder	def_point_physical	def_point_magic	def_point_water	def_point_air	def_point_earth	def_point_fire	def_point_poison	def_point_ice	def_point_thunder	physical_resistance	physical_block	skill_block	FACTOR_MAGNIFY	movement	atk_speed
	2	1		0	1			1										8	1																											35				1330	356000	1330	297000																																																																			160	5	22																																																					8																																																									20																																							
	3	1		0	1			1										11	1																											40				1330	396000	1330	330000																																																																			240	5	24																																																					11																																																									22																																							
	4	1		0	1			1										14	1																											46				1330	436000	1330	363000																																																																			320	5	26																																																					14																																																									24																																							
	5	1		0	1			1										17	1																											50				1330	475000	1330	396000																																																																			400	5	28																																																					17																																																									26																																							
	6	1		0	1			1										20	1																											55				1330	515000	1330	429000																																																																				5	30																																																					20																																																									28																																							
	7	1		0	1			1										23	1																											60				1330	554000	1330	462000																																																																				5	32																																																					23																																																									30																																							
	8	1		0	1			1										26	1																											65				1330	594000	1330	495000																																																																				5	34																																																					26																																																									32																																							
	9	1		0	1			1										29	1																											70				1330	634000	1330	528000																																																																				5	36																																																					29																																																									34																																							
	10	1		0	1			1										32	1																											75				1330	673000	1330	561000																																																																				5	38																																																					32																																																									36																																							
	11	1		0	1			1										35	1																											80				1330	713000	1330	594000																																																																				5	40																																																					35																																																									38																																							
	12	1		0	1			1										38	1																											85				1330	752000	1330	627000																																																																				5	42																																																					38																																																									40																																							
	13	1		0	1			1										41	1																											90				1330	792000	1330	660000																																																																				5	44																																																					41																																																									42																																							
	14	1		0	1			1										44	1																											95				1330	832000	1330	693000																																																																				5	46																																																					44																																																									44																																							
	15	1		0	1			1										47	1																											100				1330	871000	1330	726000																																																																				5	48																																																					47																																																									46																																							
Shield Bash	1	0	1	1	1			1										10	1														110													12				1260	7260	1260				2																																									3000				30																		480																																																																																																																																																								
	2	0	1	1	1			1										13	1														120													15				1260	7260	1260				2																																									3000				35																			720																																																																																																																																																							
	3	0	1	1	1			1										16	1														130													18				1260	7260	1260				2																																									3000				40																			960																																																																																																																																																							
	4	0	1	1	1			1										19	1														140													21				1260	7260	1260				2																																									3000				45																			1600																																																																																																																																																							
	5	0	1	1	1			1										22	1														150													24				1260	7260	1260				2																																									3000				50																			2400																																																																																																																																																							
	6	0	1	1	1			1										25	1														160													27				1260	7260	1260				2																																									3000				55																																																																																																																																																																										
	7	0	1	1	1			1										28	1														170													30				1260	7260	1260				2																																									3000				60																																																																																																																																																																										
	8	0	1	1	1			1										31	1														180													33				1260	7260	1260				2																																									3000				65																																																																																																																																																																										
	9	0	1	1	1			1										34	1														190													36				1260	7260	1260				2																																									3000				70																																																																																																																																																																										
	10	0	1	1	1			1										37	1														200													39				1260	7260	1260				2																																									3000				75																																																																																																																																																																										
	11	0	1	1	1			1										40	1														210													42				1260	7260	1260				2																																									3000				80																																																																																																																																																																										
	12	0	1	1	1			1										43	1														220													45				1260	7260	1260				2																																									3000				85																																																																																																																																																																										
	13	0	1	1	1			1										46	1														230													48				1260	7260	1260				2																																									3000				90																																																																																																																																																																										
	14	0	1	1	1			1										49	1														240													51				1260	7260	1260				2																																									3000				95																																																																																																																																																																										
	15	0	1	1	1			1										52	1														250													54				1260	7260	1260				2																																									3000				100																																																																																																																																																																										
	16	0	1	1	1			1										55	1														260													57				1260	7260	1260				2																																									3000				100																																																																																																																																																																										
	17	0	1	1	1			1										58	1														270													60				1260	7260	1260				2																																									3000				100																																																																																																																																																																										
	18	0	1	1	1			1										61	1														280													63				1260	7260	1260				2																																									3000				100																																																																																																																																																																										
	19	0	1	1	1			1										64	1														290													66				1260	7260	1260				2																																									3000				100																																																																																																																																																																										
	20	0	1	1	1			1										67	1														300													69				1260	7260	1260				2																																									3000				100																																																																																																																																																																										
Immortal Calling	1	2		0	1													23	1																											55				1330	475000	1330	396000																																																																		2500																																							6	30		20																																					10																																																																									
	2	2		0	1													26	1																											60				1330	502000	1330	418000																																																																			8000																																						8	35		24																																					15																																																																									
	3	2		0	1													29	1																											65				1330	528000	1330	440000																																																																			19200																																						10	40		28																																					20																																																																									
	4	2		0	1													32	1																											70				1330	554000	1330	462000																																																																			32000																																						12	45		32																																					25																																																																									
	5	2		0	1													35	1																											75				1330	581000	1330	484000																																																																			80000																																						14	50		36																																					30																																																																									
	6	2		0	1													38	1																											80				1330	607000	1330	506000																																																																																																									16	55		40																																					35																																																																									
	7	2		0	1													41	1																											85				1330	634000	1330	528000																																																																																																									18	60		44																																					40																																																																									
	8	2		0	1													44	1																											90				1330	660000	1330	550000																																																																																																									20	65		48																																					45																																																																									
	9	2		0	1													47	1																											95				1330	686000	1330	572000																																																																																																									22	70		52																																					50																																																																									
	10	2		0	1													50	1																											100				1330	713000	1330	594000																																																																																																									24	75		56																																					55																																																																									
	11	2		0	1													53	1																											105				1330	739000	1330	616000																																																																																																									26	80		60																																					60																																																																									
	12	2		0	1													56	1																											110				1330	766000	1330	638000																																																																																																									28	85		64																																					65																																																																									
	13	2		0	1													59	1																											115				1330	792000	1330	660000																																																																																																									30	90		68																																					70																																																																									
	14	2		0	1													62	1																											120				1330	818000	1330	682000																																																																																																									32	95		72																																					75																																																																									
	15	2		0	1													65	1																											125				1330	845000	1330	704000																																																																																																									34	100		76																																					80																																																																									
Berserker	1	2		0				1										23	1																											55			100	1460	396000	1460	330000																																																																		2400																																							10	15		3																			3									5									4																									16																																																
	2	2		0				1										26	1																											60			100	1460	422000	1460	352000																																																																			8000																																						13	23		4																			5									8									7																									18																																																
	3	2		0				1										29	1																											65			100	1460	449000	1460	374000																																																																			19200																																						16	31		5																			7									11									10																									20																																																
	4	2		0				1										32	1																											70			100	1460	475000	1460	396000																																																																			32000																																						19	39		6																			9									14									13																									22																																																
	5	2		0				1										35	1																											75			100	1460	502000	1460	418000																																																																			80000																																						22	47		7																			11									17									16																									24																																																
	6	2		0				1										38	1																											80			100	1460	528000	1460	440000																																																																																																									25	55		8																			13									20									19																									26																																																
	7	2		0				1										41	1																											85			100	1460	554000	1460	462000																																																																																																									28	63		9																			15									23									22																									28																																																
	8	2		0				1										44	1																											90			100	1460	581000	1460	484000																																																																																																									31	71		10																			17									26									25																									30																																																
	9	2		0				1										47	1																											95			100	1460	607000	1460	506000																																																																																																									34	79		11																			19									29									28																									32																																																
	10	2		0				1										50	1																											100			100	1460	634000	1460	528000																																																																																																									37	87		12																			21									32									31																									34																																																
	11	2		0				1										53	1																											105			100	1460	660000	1460	550000																																																																																																									40	95		13																			23									35									34																									36																																																
	12	2		0				1										56	1																											110			100	1460	686000	1460	572000																																																																																																									43	103		14																			25									38									37																									38																																																
	13	2		0				1										59	1																											115			100	1460	713000	1460	594000																																																																																																									46	111		15																			27									41									40																									40																																																
	14	2		0				1										62	1																											120			100	1460	739000	1460	616000																																																																																																									49	119		16																			29									44									43																									42																																																
	15	2		0				1										65	1																											125			100	1460	766000	1460	638000																																																																																																									52	127		17																			31									47									46																									44																																																
Combat Echo	1	1		0	1			1										13	1																											40				1330	475000	1330	396000			7	7																																																														720																																							20	30		20																																																																																																														
	2	1		0	1			1										16	1																											45				1330	515000	1330	429000			7	7																																																															1920																																						24	35		23																																																																																																														
	3	1		0	1			1										19	1																											50				1330	554000	1330	462000			7	7																																																															4800																																						28	40		26																																																																																																														
	4	1		0	1			1										22	1																											55				1330	594000	1330	495000			7	7																																																															9600																																						32	45		29																																																																																																														
	5	1		0	1			1										25	1																											60				1330	634000	1330	528000			7	7																																																															16000																																						36	50		32																																																																																																														
	6	1		0	1			1										28	1																											65				1330	673000	1330	561000			7	7																																																																																																					40	55		35																																																																																																														
	7	1		0	1			1										31	1																											70				1330	713000	1330	594000			7	7																																																																																																					44	60		38																																																																																																														
	8	1		0	1			1										34	1																											75				1330	752000	1330	627000			7	7																																																																																																					48	65		41																																																																																																														
	9	1		0	1			1										37	1																											80				1330	792000	1330	660000			7	7																																																																																																					52	70		44																																																																																																														
	10	1		0	1			1										40	1																											85				1330	832000	1330	693000			7	7																																																																																																					56	75		47																																																																																																														
	11	1		0	1			1										43	1																											90				1330	871000	1330	726000			7	7																																																																																																					60	80		50																																																																																																														
	12	1		0	1			1										46	1																											95				1330	911000	1330	759000			7	7																																																																																																					64	85		53																																																																																																														
	13	1		0	1			1										49	1																											100				1330	950000	1330	792000			7	7																																																																																																					68	90		56																																																																																																														
	14	1		0	1			1										52	1																											105				1330	990000	1330	825000			7	7																																																																																																					72	95		59																																																																																																														
	15	1		0	1			1										55	1																											110				1330	1030000	1330	858000			7	7																																																																																																					76	100		62																																																																																																														
Flame Core	1	0	1				1			1								4	1								4						140					70								10				2000	6500	2000				20																																																															80				2000																																																																																																																																																				
	2	0	1				1			1								7	1								6						150					75								15				2000	6500	2000				20																																																																480			2000																																																																																																																																																				
	3	0	1				1			1								10	1								8						160					80								20				2000	6500	2000				20																																																																1440			2000																																																																																																																																																				
	4	0	1				1			1								13	1								10						170					85								25				2000	6500	2000				20																																																																2880			2000																																																																																																																																																				
	5	0	1				1			1								16	1								12						180					90								30				2000	6500	2000				20																																																																4800			2000																																																																																																																																																				
	6	0	1				1			1								19	1								14						190					95								35				2000	6500	2000				20																																																																			2000																																																																																																																																																				
	7	0	1				1			1								22	1								16						200					100								40				2000	6500	2000				20																																																																			2000																																																																																																																																																				
	8	0	1				1			1								25	1								18						210					105								45				2000	6500	2000				20																																																																			2000																																																																																																																																																				
	9	0	1				1			1								28	1								20						220					110								50				2000	6500	2000				20																																																																			2000																																																																																																																																																				
	10	0	1				1			1								31	1								22						230					115								55				2000	6500	2000				20																																																																			2000																																																																																																																																																				
	11	0	1				1			1								34	1								24						240					120								60				2000	6500	2000				20																																																																			2000																																																																																																																																																				
	12	0	1				1			1								37	1								26						250					125								65				2000	6500	2000				20																																																																			2000																																																																																																																																																				
	13	0	1				1			1								40	1								28						260					130								70				2000	6500	2000				20																																																																			2000																																																																																																																																																				
