Rank	Weapon_Damage	Armor_Defense	Rank_Name	Spirit1	Spirit2	Spirit3	Spirit4	Spirit5																			
7 	0 	0 	0 	0 	10 	20 	30 	0 	0 	0 	0 	0 	0 	0 	0 	0 											
8 	0 	0 	0 	0 	0 	10 	20 	30 	0 	0 	0 	0 	0 	0 	0 	0 											
9 	0 	0 	0 	0 	0 	0 	10 	20 	30 	0 	0 	0 	0 	0 	0 	0 											
10 	0 	0 	0 	0 	0 	0 	0 	10 	20 	30 	0 	0 	0 	0 	0 	0 											
11 	0 	0 	0 	0 	0 	0 	0 	0 	10 	20 	30 	0 	0 	0 	0 	0 											
12 	0 	0 	0 	0 	0 	0 	0 	0 	0 	10 	20 	30 	0 	0 	0 	0 											
13 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	10 	20 	30 	0 	0 	0 											
14 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	10 	20 	30 	0 	0 											
15 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	10 	20 	30 	0 											
16 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	10 	20 	30 											
																											
Elemental_Stone_Level	Weapon_Damage	Weapon_Sucess_Rate	Armor_Resistance(%)	Armor_Success_Rate																							
1	3	100	7	100																							
2	4	70	9	70																							
3	5	40	12	40																							
4	6	30	15	30																							
5	7	20	17	20																							
																											
정령석같은속성추가시	무기 보너스	갑옷 보너스(%)																									
	3	3																									
																											
기원석 추가장착 판별	무기 확률	방어구 확률	기타확률																								
1	100	100	100																								
2	90	90	90																								
3	80	80	75																								
4	70	60	60																								
5	60	40	50																								
6	50	30	0																								
7	40	0	0																								
8	30	0	0																								
																											
Socket_Num	Remain(Weapon)	Reset_Sockets(Weapon)	Reset(Weapon)	Destroy(Weapon)	Remain(Armor)	Reset_Sockets(Armor)	Reset(Armor)	Destroy(Armor)	Remain(Other)	Reset_Sockets(Other)	Reset(Other)	Destroy(Other)															
1	100	0	0	0	100	0	0	0	55	45	0	0															
2	95	5	0	0	95	5	0	0	50	50	0	0															
3	90	10	0	0	90	10	0	0	45	55	0	0															
4	80	20	0	0	80	20	0	0	40	45	0	5															
5	70	30	0	0	70	15	0	15	35	55	0	10															
6	60	40	0	0	60	20	0	20	0	0	0	0															
7	20	40	0	40	20	40	0	40	0	0	0	0															
8	10	40	0	50	10	40	0	50	0	0	0	0															
