TID	Name	Type	Race	Gender	Class	LVL	STR	DEX	INT	CON	CHA	Wis	AC	MAX_HP	MAX_SP	MAX_MP	CUR_HP	CUR_SP	CUR_MP	Movement Walk	Movement Run	AR	DR	MAR	MDR	Min_Damage	Max_Damage	ATK Speed	Range	Fire Res.	Water Res.	Air Res.	Earth Res.	Magic Res.	Poison Res.	Ice Res.	Thunder Res.	Magic History	Murder Point	Exp	Fire Min_Damage	Fire Max_Damage	Water Min_Damage	Water Max_Damage	Earth Min_Damage	Earth Max_Damage	Air Min_Damage	Air Max_Damage	Magic Min_Damage	Magic Max_Damage	Poison Min_Damage	Poison Max_Damage	Ice Min_Damage	Ice Max_Damage	Thunder Min_Damage	Thunder Max_Damage	Physical_Resistance	Skill_Block	Sight	Badge1_Rank Point	Badge2_Rank Point	Badge3_Rank Point	Rank	Item Point	Guild	Guild Rank	Guild Score	Lost Exp	Weapon	Item1	Item2	Item3	Item4	Armor_Head	Armor_Body	Armor_Arm	Armor_Hand	Armor_Leg	Armor_Foot	Armor_Mantle	Money	Geld_Min	Geld_Max	Drop_TID	slow_percent	slow_time	fast_percent	fast_time	Product_Skin_ItemName	Product_Meat	Product_Meat_ItemName	Product_Garbage	Product_Garbage_ItmeName	attribute_type	name_color	DropRank	DropMeditation	Spirit Type	LandAttachType	Tamable	Run Correct	Attack Correct	SiegeWarCharType	RangeType	StaminaPoint	PetType	StartStamina	Heroic_Min_Damage	Heroic_Max_Damage	Heroic_Defense_Point
28	Suddener	196612	11		5	52	280	192	193	226		146	64	51120	1021	1101				2600	6500	151	86			592	622	25	470		100	50	50	50	50	50	50			17173			317	351															2500																							648	716		1	5	1	3						2	F15D5D	3	1.899999976	2	0		1	1								
29	Manticore King	196612	11		5	30	135	93	91	110		70	31	16836	498	520				2640	6500	86	48			289	303	25	470	30	30	30	30	100	50	50	50			4591									155	171									2500																							288	320		1	5	1	3						5	BDA66B	3	1.5	1	1		1	1								
30	Bullod	196612	11		5	30	135	93	91	110		70	31	16836	498	520				2640	6500	86	48			289	303	25	470	30	30	30	30	100	50	50	50			4591									155	171									2500																							288	320		1	5	1	3						5	BD806B	3	1.899999976	1	1		1	1								
31	Giant Moth	196612	11		5	4	20	15	10	18		8	2	200	79	54				2500	5300	26				22	23	42	130	50	50	50	50	50	50	50	50			58																			2500																							14	16		1	5	1	3								1	1		0	1	1	1								
32	Event Skeleton [Desert/Silancium]	196612	11		5	1	36	27	22	31		17	4	1	148	131						37				45	47	37	170	50	50	50	50	50	50	50	50			302																			2500																							25	27		1	5	1	3							00FFFF	1	1		0	1	1									
33	Dark Spider	196612	11		5	1	16	11	7	14		6	2	136	62	35				1110	4550	21				15	15	37	180	50	50	50	50	50	50	50	50			14																			2500																							10	12		1	5	1	3								1	1		1	1	1									
34	Troll Boss	196612	11		5	88	103	73	69	84		53		1052289	380	389						70				3500	3600	25	270	100	100	100	100	100	100	100	100			644562					2000	2100													2500																							16000	17000		1	5	1	3						4	2EFF00	5	1.899999976	4	0		1									
35	Spriggan Soldier	196612	11		5	36	146	109	97	121		75	18	1743	583	614				2340	5000	97	54			171	180	37	190	50	50	50	50	50	50	50	50			1387																			2500																							93	103		1	5	1	3								1	1		0	1	1	1								
36	Viper	196612	11		5	6	24	17	13	21		11	3	239	95	72				1000	4800	29				29	30	37	200	50	50	50	50	50	50	50	50			103																			2500																							16	18		1	5	1	3								1	1		2	1	1									
37	Young Lycanto	196612	11		5	11	37	27	22	31		17	4	307	148	131				2500	4800	37				45	47	37	170	50	50	50	50	50	50	50	50			302																			2500																							25	27		1	5	1	3								1	1		0	1	1	1								
38	Wyvern	196612	11		5	60	342	240	236	276		179	80	70860	1242	1347				3240	7000	177	102			721	757	25	470	100		50	50	50	50	50	50			25329	386	426																	2500																							812	900		1	5	1	3						1	BDA66B	3	1.5	3	0		1	1								
39	Zombie	196612	11		5	25	93	70	61	78		47	12	872	362	369				2070	5500	68	39			110	115	42	200	50	50	50	50	50	50	50	50			684																			2500																							57	63		1	5	1	3								1	1		0	1	1	1								
40	Midas	196612	11		5	10	42	30	26	36		20	10	4032	160	144				2790	6700	39	22			94	99	25	470		100	50	50	50	50	50	50			1314			50	56															2500																							92	100		1	5	1	3						2	BD806B	3	1.899999976	2	2		1	1								
41	Meizo	196612	11		5	10	42	30	26	36		20	10	4032	160	144				2790	6700	39	22			94	99	25	470		100	50	50	50	50	50	50			1314			50	56															2500																							92	100		1	5	1	3						2	F15D5D	3	1.899999976	2	2		1	1								
42	Victor	196612	11		5	15	61	43	39	51		31	14	5820	229	221				1660	7000	50	28			134	141	25	270	30	30	30	30	100	50	50	50			1652									72	80									2500																							128	144		1	5	1	3						5	F15D5D	3	1.899999976	1	0		1									
43	Windigo	196612	11		5	15	61	43	39	51		31	14	5820	229	221				1660	7000	50	28			134	141	25	270	30	30	30	30	100	50	50	50			1652									72	80									2500																							128	144		1	5	1	3						5	BD806B	3	1.899999976	1	0		1									
44	Posto	196612	11		5	35	165	114	112	134		85	38	22032	605	638				1540	6300	100	56			351	368	25	370	50	50	50	50		100	50	50			6167											188	208							2500																							356	396		1	5	1	3						6	BD806B	3	1.899999976		1		1	1								
45	Boling	196612	11		5	35	165	114	112	134		85	38	22032	605	638				1540	6300	100	56			351	368	25	370	50	50	50	50		100	50	50			6167											188	208							2500																							356	396		1	5	1	3						6	BD806B	3	1.899999976		1		1	1								
46	Snare	196612	11		5	30	135	93	91	110		70	31	16836	498	520				1500	6000	86	48			289	303	25	200	50	50		100	50	50	50	50			4591					155	171													2500																							288	320		1	5	1	3						4	F15D5D	3	1.899999976	4	0		1	1								
47	Uru	196612	11		5	60	342	240	236	276		179	80	70860	1242	1347				3240	7000	177	102			721	757	25	470	100		50	50	50	50	50	50			25329	386	426																	2500																							812	900		1	5	1	3						1	F15D5D	3	1.899999976	3	0		1	1								
48	Barva	196612	11		5	30	135	93	91	110		70	31	16836	498	520				1500	6000	86	48			289	303	25	200	50	50		100	50	50	50	50			4591					155	171													2500																							288	320		1	5	1	3						4	F15D5D	3	1.899999976	4	0		1	1								
49	Elatus	196612	11		5	50	266	184	183	215		139	61	47460	968	1042				1170	7000	144	82			561	589	25	370	50	50	100		50	50	50	50			15279							300	332											2500																							608	672		1	5	1	3						3	BD806B	3	1.899999976	5	1		1	1								
50	Barom	196612	11		5	24	103	73	69	84		53	24	10896	380	389				1800	6300	70	40			221	232	25	270	50	50		100	50	50	50	50			3100					119	131													2500																							216	240		1	5	1	3						4	BD806B	3	1.899999976	4	0		1									
51	Flying	196612	11		5	50	266	187	183	215		139	62	47460	968	1042				1600	7000	144	82			561	589	25	270	50	50	50	50		50	50	100			15279															300	332			2500																							608	672		1	5	1	3						7	F15D5D	3	1.899999976		0		1									
52	Sizel	196612	11		5	50	266	187	183	215		139	62	47460	968	1042				1600	7000	144	82			561	589	25	270	50	50	50	50		50	50	100			15279															300	332			2500																							608	672		1	5	1	3						7	BD806B	3	1.899999976		0		1									
53	Krabb	196612	11		5	44	223	157	153	181		116	52	34848	815	872				2500	6300	126	71			473	496	25	370	30	30	30	30	100	50	50	50			10531									253	279									2500																							496	552		1	5	1	3						5	BD806B	3	1.899999976	1	1		1	1								
54	Kelkel	196612	11		5	44	223	157	153	181		116	52	34848	815	872				2500	6300	126	71			473	496	25	370	30	30	30	30	100	50	50	50			10531									253	279									2500																							496	552		1	5	1	3						5	BD806B	3	1.899999976	1	1		1	1								
55	Gorer	196612	11		5	37	177	122	121	144		92	41	24888	649	688				2250	6000	106	59			377	395	25	470		100	50	50	50	50	50	50			6891			201	223															2500																							388	428		1	5	1	3						2	BD806B	3	1.899999976	2	1		1	1								
56	Switch	196612	11		5	7	26	19	14	23		12	3	1398	104	82				3000	5000	30	17			53	55	37	800	50	50	50	50	50	50	50	50			263																			2500																							45	50		1	5	1	3							BDA66B	2	1.5		2		1	1		1						
57	Hillary	196612	11		5	22	79	59	51	65		39	10	4200	309	310				3000	5500	61	35			151	158	42	800	50	50	50	50	50	50	50	50			1093																			2500																							120	135		1	5	1	3							BDA66B	2	1.5		2		1	1		1						
58	Vissil	196612	11		5	16	54	39	33	45		26	7	2694	214	205				3000	5000	48	27			103	109	42	800	50	50	50	50	50	50	50	50			743																			2500																							85	95		1	5	1	3							BDA66B	2	1.5		2		1	1		1						
59	Goss	196612	11		5	34	141	102	92	117		71	17	9396	540	566				1500	5900	92	51			264	278	42	240	50	50	50	50	50	50	50	50			2469																			2500																							215	238		1	5	1	3							BDA66B	2	1.5		1		1	1								
60	Bolko	196612	11		5	46	217	161	143	176		108	27	17424	815	872				1600	5800	126	71			404	424	47	240	50	50	50	50	50	50	50	50			5015																			2500																							335	370		1	5	1	3							BDA66B	2	1.5		0		1	2								
61	Gasios	196612	11		5	14	46	34	28	39		22	6	2292	186	173				1600	5300	43	25			90	94	37	240	50	50	50	50	50	50	50	50			673																			2500																							75	85		1	5	1	3							BDA66B	2	1.5		0		1	2								
62	Firewing	196612	11		5	6	24	18	13	21		11	3	1434	95	72				2500	5300	29	16			46	48	42	190	50	50	50	50	50	50	50	50			205																			2500																							40	45		1	5	1	3							BDA66B	2	1.5		0		1	1								
63	Tika	196612	11		5	36	146	109	97	121		75	18	10458	583	614				2340	5000	97	54			274	288	37	190	50	50	50	50	50	50	50	50			2774																			2500																							233	258		1	5	1	3							BDA66B	2	1.5		0		1	1								
64	Dover	196612	11		5	12	39	29	25	34		20	10	2016	160	144				2500	5000	39	22			31	32	37	190	100		50	50	50	50	50	50			751	33	37																	2500																							68	73		1	5	1	3						1	BDA66B	2	1.700000048	3	0		1	1								
65	Dorf	196612	11		5	13	43	33	27	37		22	11	2196	173	159				2500	5300	41	24			34	35	42	190	30	30	30	30	100	50	50	50			776									36	40									2500																							73	80		1	5	1	3						5	BDA66B	2	1.700000048	1	0		1	1								
66	Lilyn	196612	11		5	24	90	67	57	75		44	11	4722	344	349				900	5800	66	37			170	178	42	190	50	50	50	50	50	50	50	50			1268																			2500																							135	150		1	5	1	3							BDA66B	2	1.5		0		1									
67	Maxo	196612	11		5	26	96	75	63	80		48	13	5448	380	389				5200	7200	70	40			182	191	42	190	50	50	50	50	50	50	50	50			1476																			2500																							150	165		1	5	1	3							BDA66B	2	1.5		0		1	1								
68	Goblin Scout	196612	11		5	6	24	18	13	21		10	3	239	95	72				900	6200	29				29	30	47	800	50	50	50	50	50	50	50	50			103																			2500																							16	18		1	5	1	3								1	1		0	1	1	1		1						
69	Goblin Ranger	196612	11		5	8	29	22	16	25		13	4	267	114	93				900	6200	32				36	38	47	800	50	50	50	50	50	50	50	50			165																			2500																							20	22		1	5	1	3								1	1		0	1	1	1		1						
70	��NPC��	2																																																																																																	0											
71	Viper Warrior	196612	11		5	7	26	19	15	23		12	3	233	104	82				1000	5300	30				33	35	42	210	50	50	50	50	50	50	50	50			131																			2500																							18	20		1	5	1	3								1	1		2	1	1	1								
72	Viper Mage	196612	11		5	9	32	24	19	28		15	4	276	125	105				1000	5800	33				40	42	47	800	50	50	50	50	50	50	50	50			204																			2500																							21	23		1	5	1	3								1	1		2	1	1	1		1						
73	Event Skeleton [Asylum]	196612	11		5	1	40	30	24	34		19	5	1	160	144						39				49	51	42	800	50	50	50	50	50	50	50	50			313																			2500																							27	29		1	5	1	3							00FFFF	1	1		0	1	1	1		1						
74	Event Skeleton [Orc]	196612	11		5	1	44	33	27	38		21	6	1	173	159						41				54	56	42	800	50	50	50	50	50	50	50	50			324																			2500																							29	32		1	5	1	3							00FFFF	1	1		0	1	1	1		1						
75	Skeleton Knight	196612	11		5	14	48	37	30	41		23	6	382	186	173				1660	5800	43				59	62	47	200	50	50	50	50	50	50	50	50			337																			2500																							30	34		1	5	1	3								1	1		0	1	1	1								
76	Event Skeleton [Latria/Realms]	196612	11		5	1	61	43	39	51		31	14	1	229	221						50	28			134	141	25	270	30	30	30	30	100	50	50	50			1652									72	80									2500																							128	144		1	5	1	3						5	00FFFF	3	1.5	1	0		1									
77	Redboar Imp	196612	11		5	31	126	96	82	103		62	16	1294	477	497				1350	6200	83	47			148	156	47	310	50	50	50	50	50	50	50	50			1027																			2500																							75	83		1	5	1	3								1	1		1	1	1	1								
78	River Goblin Warrior	196612	11		5	24	90	67	57	75		44	11	787	344	349				900	5800	66	37			106	111	42	190	50	50	50	50	50	50	50	50			634																			2500																							54	60		1	5	1	3								1	1		0	1	1									
79	Hobgoblin	196612	11		5	41	182	139	121	148		92	23	2332	695	739				900	6000	112	62			212	223	42	190	50	50	50	50	50	50	50	50			1824																			2500																							112	124		1	5	1	3								1	1		0	1	1									
80	River Goblin Ranger	196612	11		5	21	72	57	46	60		36	9	626	292	291				900	6200	58	33			86	90	47	800	50	50	50	50	50	50	50	50			510																			2500																							47	51		1	5	1	3								1	1		0	1	1	1		1						
81	Hobgoblin Leader	196612	11		5	43	194	158	130	158		98	26	2549	742	791				900	6000	118	65			226	238	52	190	50	50	50	50	50	50	50	50			2055																			2500																							121	133		1	5	1	3								1	1		0	1	1	1								
82	Cave Bat	196612	11		5	5	21	16	11	19		9	3	207	86	62				3100	5000	27				25	26	42	130	50	50	50	50	50	50	50	50			78																			2500																							15	17		1	5	1	3								1	1		0	1	1	1								
83	Soldier Spider	196612	11		5	20	72	52	45	60		35	9	604	276	273				1110	5300	56	32			85	90	42	190	50	50	50	50	50	50	50	50			476																			2500																							44	48		1	5	1	3								1	1		1	1	1									
84	Black Crawler	196612	11		5	9	31	23	18	27		14	4	276	125	105				400	5000	33				39	41	42	160	50	50	50	50	50	50	50	50			204																			2500																							21	23		1	5	1	3								1	1		2	1	1	1								
85	Zombie Leader	196612	11		5	28	109	83	71	89		54	14	1098	418	431				1500	5500	75	42			128	134	47	200	50	50	50	50	50	50	50	50			850																			2500																							66	72		1	5	1	3								1	1		0	1	1	3								
86	Zombie Lord	196612	11		5	30	135	93	91	110		70	31	16836	498	520				1500	6000	86	48			289	303	25	200	50	50		100	50	50	50	50			4591					155	171													2500																							288	320		1	5	1	3						4	F15D5D	3	1.5	4	0		1	1								
87	Forest Deer	196612	11		5	34	141	102	92	117		71	17	1566	540	566				1500	5900	92	51			165	174	42	240	50	50	50	50	50	50	50	50			1234																			2500																							86	95		1	5	1	3								1	1		1	1	1	1								
88	Bashiva	196612	11		5	6	24	18	13	21		10	3	1434	95	72				900	6200	29	16			46	48	47	800	50	50	50	50	50	50	50	50			205																			2500																							40	45		1	5	1	3							BDA66B	2	1.5		0		1	1		1						
89	Crawler	196612	11		5	8	28	21	16	25		13	3	267	114	93				400	5000	32				36	37	37	160	50	50	50	50	50	50	50	50			165																			2500																							20	22		1	5	1	3								1	1		2	1	1	1								
90	Ghoul Bear	196612	11		5	30	121	92	78	99		60	15	1216	457	475				1600	6300	80	45			142	149	47	270	50	50	50	50	50	50	50	50			965																			2500																							72	80		1	5	1	3								1	1		0	1	1	1								
91	Bogman	196612	11		5	21	72	57	46	60		36	9	3756	292	291				900	6200	58	33			138	145	47	800	50	50	50	50	50	50	50	50			1019																			2500																							118	128		1	5	1	3							BDA66B	2	1.5		0		1	1		1						
92	Sapan	196612	11		5	19	64	49	41	54		32	8	3378	260	255				900	5300	54	31			123	129	42	190	50	50	50	50	50	50	50	50			891																			2500																							103	113		1	5	1	3							BDA66B	2	1.5		0		1									
93	Aria	196612	11		5	17	59	46	37	49		29	8	2910	229	221				1000	5800	50	28			114	119	47	190	50	50	50	50	50	50	50	50			787																			2500																							93	103		1	5	1	3							BDA66B	2	1.5		0		1	1								
94	Ohkeros	196612	11		5	22	77	60	50	65		39	10	4200	309	310				5200	7200	61	35			147	155	37	190	50	50	50	50	50	50	50	50			1093																			2500																							120	135		1	5	1	3							BDA66B	2	1.5		0		1	1								
95	Ingo	196612	11		5	15	51	38	32	43		25	6	2592	200	189				1000	5300	46	26			99	104	42	190	50	50	50	50	50	50	50	50			704																			2500																							80	90		1	5	1	3							BDA66B	2	1.5		0		1	1								
96	Knight	196609	1	1	1	1	17	12	6	15		6		120	65	32				2000	6000							60	100																																								11	190;5	193;3	3857;5													9	5	9	3											0		1	1								
97	White GM	65569	1	1	1	110	700	700	700	700	700	700	4500	100000	100000	100000				21000	21000	1000	1000			25000	30000	50	500	100	100	100	100	100																									2500																																								1		1	1								
98	GM	65569	1	1	1	110	700	700	700	700	700	700	4500	100000	100000	100000				21000	21000	1000	1000			25000	30000	50	500	100	100	100	100	100																									2500																																								1		1	1								
99	Black GM	65569	1	1	1	110	700	700	700	700	700	700	4500	100000	100000	100000				21000	21000	1000	1000			25000	30000	50	500	100	100	100	100	100																									2500																																								1		1	1								
100	Gamecock	8				1	16	7	8	13		7	5	200	200	200				375	375	21	12			5	8	50	50																																																								9	5	9	3											0		1	1								
101	Rooster	8				1	16	7	8	13		7	5	200	200	200				375	375	21	12			5	8	50	50																																																								9	5	9	3											0		1	1								
102	Hen	8				1	16	7	8	13		7	5	200	200	200				375	375	21	12			5	8	50	50																																																								9	5	9	3											0		1	1								
103	Chick	8				1	16	7	8	13		7	5	200	200	200				125	125	21	12			5	8	50	20																																																								9	5	9	3											0		1	1								
104	Cow	8				1	16	7	8	13		7	5	200	200	200				1700	1700	21	12			5	8	50	300																																																								9	5	9	3											1		1	1								
105	Horse	8				1	16	7	8	13		7	5	200	200	200				1125	1125	21	12			5	8	50	300																																																								9	5	9	3											1		1	1								
106	Lamb	8				1	16	7	8	13		7	5	200	200	200				450	450	21	12			5	8	50	230																																																								9	5	9	3											1		1	1								
107	Dog	8				1	16	7	8	13		7	5	200	200	200				525	525	21	12			5	8	50	200																																																								9	5	9	3											1		1	1								
108	Sheep	8				1	16	7	8	13		7	5	200	200	200				900	900	21	12			5	8	50	200																																																								9	5	9	3											1		1	1								
109	Cat	8				1	16	7	8	13		7	5	200	200	200				889	889	21	12			5	8	50	150																																																								9	5	9	3											1		1	1								
110	Billy Goat	8				1	16	7	8	13		7	5	200	200	200				1500	1500	21	12			5	8	50	250																																																								9	5	9	3											1		1	1								
111	Young Goat	8				1	16	7	8	13		7	5	200	200	200				955	955	21	12			5	8	50	230																																																								9	5	9	3											1		1	1								
112	Mother Pig	8				1	16	7	8	13		7	5	200	200	200				1000	1000	21	12			5	8	50	250																																																								9	5	9	3											1		1	1								
113	Piglet	8				1	16	7	8	13		7	5	200	200	200				1500	1500	21	12			5	8	50	230																																																								9	5	9	3											1		1	1								
114	Rhinoceros Mother	8				1	16	7	8	13		7	5	200	200	200				900	900	21	12			5	8	50	230																																																								9	5	9	3											1		1	1								
115	Young Rhinoceros	8				1	16	7	8	13		7	5	200	200	200				375	375	21	12			5	8	50	280																																																								9	5	9	3											1		1	1								
116	Gale Boar	196612	11		5	23	84	63	53	70		41	10	731	327	329				1350	6200	63	36			100	104	42	240	50	50	50	50	50	50	50	50			589																			2500																							51	57		1	5	1	3								1	1		1	1	1	1								
117	Water Viper	196612	11		5	6	24	17	13	21		11	6	1434	95	72				1000	4800	29	16			18	19	37	200		100	50	50	50	50	50	50			246			19	21															2500																							40	45		1	5	1	3						2	FFFF00	2	1.299999952	2	2		1									
118	Water Viper Warrior	196612	11		5	9	32	24	18	28		15	4	276	125	105				1000	5800	33				40	42	42	230	50	50	50	50	50	50	50	50			204																			2500																							21	23		1	5	1	3								1	1		2	1	1	1								
119	Water Viper Mage	196612	11		5	7	26	19	15	23		12	3	233	104	82				1000	5300	30				33	35	37	800	50	50	50	50	50	50	50	50			131																			2500																							18	20		1	5	1	3								1	1		2	1	1	1		1						
120	Red Moth	196612	11		5	6	24	18	13	21		11	3	239	95	72				2500	5300	29				29	30	42	130	50	50	50	50	50	50	50	50			103																			2500																							16	18		1	5	1	3								1	1		0	1	1	1								
121	Event Skeleton [Elf Zone]	196612	11		5	1	36	27	22	31		17	4	1	148	131						37				45	47	37	170	50	50	50	50	50	50	50	50			302																			2500																							25	27		1	5	1	3							00FFFF	1	1		0	1	1	1								
122	Skeleton Rapidfire Shooter	196612	11		5	12	40	30	25	34		20	10	2016	160	144				1660	5300	39	22			31	33	42	800	50	50	100		50	50	50	50			751							33	37											2500																							68	73		1	5	1	3						3	FFFF00	2	1.299999952	5	0		1	1		1						
123	Skeleton Shaman	196612	11		5	13	44	33	28	37		22	11	2196	173	159				1660	5800	41	24			34	36	42	800	30	30	30	30	100	50	50	50			776									37	41									2500																							73	80		1	5	1	3						5	FFFF00	2	1.299999952	1	0		1	1		1						
124	Windboar Imp	196612	11		5	34	141	109	97	115		74	36	9396	540	566				1390	6200	92	51			106	111	47	310	50	50	100		50	50	50	50			2962							113	125											2500																							215	238		1	5	1	3						3	FFFF00	2	1.299999952	5	1		1	1								
125	River Goblin Thief	196612	11		5	19	64	49	41	54		32	8	563	260	255				900	5300	54	31			77	81	42	190	50	50	50	50	50	50	50	50			446																			2500																							41	45		1	5	1	3								1	1		0	1	1									
126	River Goblin Scout	196612	11		5	16	54	41	35	45		27	14	2694	214	205				900	6200	48	27			41	43	47	800		100	50	50	50	50	50	50			892			44	48															2500																							85	95		1	5	1	3						2	FFFF00	2	1.299999952	2	0		1	1		1						
127	Candle Bear	196612	11		5	25	93	68	63	78		49	23	5232	362	369				1600	5700	68	39			71	74	42	270	100		50	50	50	50	50	50			1641	76	84																	2500																							143	158		1	5	1	3						1	FFFF00	2	1.299999952	3	0		1	1								
