TID	ItemName	Level	SuitableLevelMin	SuitableLevelMax	Class	Race	Gender	Part	Kind	ItemType	Type	SubType	ExtraType	BoundType	EventItem	PCBang Only	Villain Only	GroupID	DropRate	DropRank	font color	Spirit Type	NPC Price	PC Price	NPC Charisma Price	NPC Shrine Coin	PC Charisma Price	PC Shrine Coin	NPC Arena Coin	Stack	Hand	Rank	DUR	MinSocket	MaxSocket	MinOption	MaxOption	ATK Range	ATK Speed	Physical_Min_Damage	Physical_Max_Damage	Magic_Min_Damage	Water_Min_Damage	Fire_Min_Damage	Earth_Min_Damage	Air_Min_Damage	Poison_Min_Damage	Ice_Min_Damage	Linghtning_Min_Damage	Magic_Max_Damage	Water_Max_Damage	Fire_Max_Damage	Earth_Max_Damage	Air_Max_Damage	Poison_Max_Damage	Ice_Max_Damage	Linghtning_Max_Damage	Physical_Defense_Point	Physical_ATKRate	Magic_ATKRate 	PDR	BlockRate	Magic_Defense_Point	Water_Defense_Point	Fire_Defense_Point	Earth_Defense_Point	Air_Defense_Point	Poison_Defense_Point	Ice_Defense_Point	Linghtning_Defense_Point	Magic_Defense_Rate	Water_Defense_Rate	Fire_Defense_Rate	Earth_Defense_Rate	Air_Defense_Rate	Poison_Defense_Rate	Ice_Defense_Rate	Linghtning_Defense_Rate	CON_Bonus_Point	STR_Bonus_Point	DEX_Bonus_Point	INT_Bonus_Point	Wis_Bonus_Point	Apply Effect Count	Apply Effect Time	Use Interval	HP	SP	MP	Rune Attribute	Use skill id	Use skill level	Polymorph Id	Polymorph Dur	FirstCategory	FirstCategoryName	SecondCategory	SecondCategoryName	PhysicalRank	Hp_Buff	Mp_Buff	Attack_Buff	Defense_Buff	Run_Buff	Cash	Destination	RemainTime	ExpireTime	classify_id	CanStopUsingItem	CashItemUseType	EnableOnRide	Buyer_Type	Using_Type	OptionTID	PotionType2	Link_id	Skill_plus	Gambling	QuestItem	Gacha_Type_Numer	GachaRank	Gacha_Point_Type	StaminaCure	RemainPetStamina	GachaMinLv	GachaMaxLv	Item_section_num	Heroic_Min_Damage	Heroic_Max_Damage	Heroic_Defense_Point
14	Crystal Wand	5	1	10	4	1;2		10	2	0	16							1	400	1			2000	50							2	1	74	1	4	1	3	1800	60	22	24																																																						1	Normal Weapon	22	Wand	8																				1												
15	Hammer Staff	5	1	10	4	1;2;3		10	2	0	14							1	400	1			2000	50							2	1	63	1	4	1	3	1800	51	22	34																																																						1	Normal Weapon	21	Staff	8																				1												
16	Hunter Crossbow	5	1	10	2	1;2		10	2	0	11							1	400	1			2000	50							2	1	83	1	4	1	3	2000	67	12	19																																																						1	Normal Weapon	19	Crossbow	8																				1												
17	Venom Elemental Stone									1	2											6								99																																																																																																					
18	Kris	5	1	10	1	1;2;3		10	2	0	0							1	400	1			2000	50							1	1	88	1	4	1	3	180	71	17	19																																																						1	Normal Weapon	11	One-Handed Sword	8																				1												
19	Long Bow	5	1	10	2	1;2;3		9	2	0	10							1	400	1			2000	50							2	1	93	1	4	1	3	2100	75	12	14																																																						1	Normal Weapon	18	Bow	8																				1												
20	Mace	5	1	10	1	1;2		10	2	0	2							1	400	1			2000	50							1	1	74	1	4	1	3	180	60	16	28																																																						1	Normal Weapon	13	One-Handed Blunt	8																				1												
21	Rosewood Trophy							10	2	0	0																				1							0	0	0	0																																																																																										
22	Wisdom Elemental Stone									1	2											106								99																																																																																																					
23	Tower Shield	38	32	43	1	1;2		9	4	0								15	400	1			13580	340							1	1	54	1	2	1	3																					5				6																																	11	Normal Armor	111	Shield	10																				1												
24	Bone Wand	14	8	19	4	1;2		10	2	0	16							1	400	1			6000	150							2	1	74	1	4	1	3	1800	60	32	34																																																						1	Normal Weapon	22	Wand	9																				1												
25	Bone Staff	14	8	19	4	1;2;3		10	2	0	14							1	400	1			6000	150							2	1	63	1	4	1	3	1800	51	34	45																																																						1	Normal Weapon	21	Staff	9																				1												
26	Double Bow	14	8	19	2	1;2;3		9	2	0	10							1	400	1			6000	150							2	1	93	1	4	1	3	2100	75	20	22																																																						1	Normal Weapon	18	Bow	9																				1												
27	Halberd	5	1	10	1	1;2		10	2	0	8							1	400	1			2000	50							2	1	68	1	5	1	3	200	55	12	35																																																						1	Normal Weapon	14	Two-Handed Halberd	8																				1												
28	???? ????							10	2	0	0																				1							0	0	0	0																																																																																										
29	Kite Shield	20	14	25	1	1;2		9	4	0								15	400	1			980	25							1	1	54	1	2	1	3																					3				4																																	11	Normal Armor	111	Shield	9																				1												
30	Prime Trophy							10	2	0	0																				1							0	0	0	0																																																																																										
31	Scimitar	14	8	19	1	1;2;3		10	2	0	0							1	400	1			6000	150							1	1	88	1	4	1	3	180	71	26	28																																																						1	Normal Weapon	11	One-Handed Sword	9																				1												
32	Might Elemental Stone									1	2											101								99																																																																																																					
33	Life Elemental Stone									1	2											100								99																																																																																																					
34	Wood Crossbow	14	8	19	2	1;2		10	2	0	11							1	400	1			6000	150							2	1	83	1	4	1	3	2000	67	21	28																																																						1	Normal Weapon	19	Crossbow	9																				1												
35	Battle Axe	5	1	10	1	1;2		10	2	0	1							1	400	1			2000	50							1	1	81	1	4	1	3	180	65	16	23																																																						1	Normal Weapon	12	One-Handed Axe	8																				1												
36	Knowledge Elemental Stone									1	2											102								99																																																																																																					
37	Claymore	41	35	46	1	1;2		10	2	0	4							1	400	1			160000	4000							2	1	69	1	5	1	3	200	56	73	90																																																						1	Normal Weapon	15	Two-Handed Sword	11																				1												
38	Dark Wand	23	17	28	4	1;2		10	2	0	16							1	400	1			21000	525							2	1	74	1	4	1	3	1800	60	45	47																																																						1	Normal Weapon	22	Wand	10																				1												
39	Grand Trophy							10	2	0	0																				1							0	0	0	0																																																																																										
40	Iron Crossbow	23	17	28	2	1;2		10	2	0	11							1	400	1			21000	525							2	1	83	1	4	1	3	2000	67	31	38																																																						1	Normal Weapon	19	Crossbow	10																				1												
41	Morningstar	23	17	28	1	1;2		10	2	0	2							1	400	1			21000	525							1	1	74	1	4	1	3	180	60	39	51																																																						1	Normal Weapon	13	One-Handed Blunt	10																				1												
42	Sharkscale Shield	29	23	34	1	1;2		9	4	0								15	400	1			3920	98							1	1	54	1	2	1	3																					4				5																																	11	Normal Armor	111	Shield	10																				1												
43	Silk Bow	23	17	28	2	1;2;3		9	2	0	10							1	400	1			21000	525							2	1	93	1	4	1	3	2100	75	29	31																																																						1	Normal Weapon	18	Bow	10																				1												
44	Twist Staff	23	17	28	4	1;2;3		10	2	0	14							1	400	1			21000	525							2	1	63	1	4	1	3	1800	51	49	61																																																						1	Normal Weapon	21	Staff	10																				1												
45	Ice Elemental Stone									1	2											8								99																																																																																																					
46	Risevision Suit	7	1	12	2	1		2	1	0								6	400	1	16777040		288	12								2	68	2	4	3	5																					8																																					13	Rare Armor	133	Archer(Human)	9																				1		2	1				1	13				
47	Felt Cap							3	1	0																																																0																																																																									
48	Felt Sleeve							4	1	0																																																0																																																																									
49	Risevision Armpads	7	1	12	2	1		5	1	0								6	400	1	16777040		96	10								2	45	2	2	1	3																					4	2																																				13	Rare Armor	133	Archer(Human)	9																				1		2	1				1	13				
50	Risevision Leggings	7	1	12	2	1		6	1	0								6	400	1	16777040		96	10								2	60	2	3	2	4																					6																																					13	Rare Armor	133	Archer(Human)	9																				1		2	1				1	13				
51	Risevision Boots	7	1	12	2	1		7	1	0								6	400	1	16777040		96	10								2	45	2	2	1	3																					4			2																																		13	Rare Armor	133	Archer(Human)	9																				1		2	1				1	13				
52	Rapidsteal Armor	21	15	26	2	1		2	1	0								5	400	1			4400	183								1	57	1	4	2	4																					7																																					11	Normal Armor	113	Archer(Human)	9																				1		2										
53	Rapidsteal Helmet							3	1	0																																																0																																																																									
54	Hunter's Sleeve							4	1	0																																																0																																																																									
55	Rapidsteal Armpads	21	15	26	2	1		5	1	0								5	400	1			880	37								1	38	1	2	1	2																					3																																					11	Normal Armor	113	Archer(Human)	9																				1		2										
56	Rapidsteal Leggings	21	15	26	2	1		6	1	0								5	400	1			1760	73								1	50	1	3	1	3																					5																																					11	Normal Armor	113	Archer(Human)	9																				1		2										
57	Rapidsteal Boots	21	15	26	2	1		7	1	0								5	400	1			880	37								1	38	1	2	1	2																					3																																					11	Normal Armor	113	Archer(Human)	9																				1		2										
58	Hunter Jacket	15	9	20	2	1		2	1	0								6	300	2	16777040		2016	84								2	68	2	4	3	5																					10																																					13	Rare Armor	133	Archer(Human)	10																				1		2	1				9	21				
59	Hunter Cap							3	1	0																																																0																																																																									
60	Scout's Leather Sleeve							4	1	0																																																0																																																																									
61	Hunter Armpads	15	9	20	2	1		5	1	0								6	300	2	16777040		384	16								2	45	2	2	1	3																					5	3																																				13	Rare Armor	133	Archer(Human)	10																				1		2	1				9	21				
62	Hunter Leggings	15	9	20	2	1		6	1	0								6	300	2	16777040		768	32								2	60	2	3	2	4																					7																																					13	Rare Armor	133	Archer(Human)	10																				1		2	1				9	21				
63	Hunter Boots	15	9	20	2	1		7	1	0								6	300	2	16777040		384	16								2	45	2	2	1	3																					5			3																																		13	Rare Armor	133	Archer(Human)	10																				1		2	1				9	21				
64	Slayingnova Cuirass	7	1	12	1	1		2	1	0								6	400	1	16777040		288	12								2	76	2	4	3	5																					9																																					13	Rare Armor	132	Knight(Human)	9																				1		2	1				1	13				
65	Leatherware Helmet							3	1	0																																																0																																																																									
66	Lower Class Soldier's Sleeve							4	1	0																																																0																																																																									
67	Slayingnova Gloves	7	1	12	1	1		5	1	0								6	400	1	16777040		96	10								2	50	2	2	1	3																					4	1																																				13	Rare Armor	132	Knight(Human)	9																				1		2	1				1	13				
68	Slayingnova Tassets	7	1	12	1	1		6	1	0								6	400	1	16777040		96	10								2	67	2	3	2	4																					7																																					13	Rare Armor	132	Knight(Human)	9																				1		2	1				1	13				
69	Slayingnova Boots	7	1	12	1	1		7	1	0								6	400	1	16777040		96	10								2	50	2	2	1	3																					4			1																																		13	Rare Armor	132	Knight(Human)	9																				1		2	1				1	13				
70	Swordman Armor	12	6	17	1	1		2	1	0								5	400	1			1680	70								1	63	1	4	2	4																					6																																					11	Normal Armor	112	Knight(Human)	8																				1		2										
71	Swordman Helmet							3	1	0																																																0																																																																									
72	Duplicate Buff Sleeve							4	1	0																																																0																																																																									
73	Swordman Gauntlets	12	6	17	1	1		5	1	0								5	400	1			320	13								1	42	1	2	1	2																					3																																					11	Normal Armor	112	Knight(Human)	8																				1		2										
74	Swordman Greaves	12	6	17	1	1		6	1	0								5	400	1			640	27								1	56	1	3	1	3																					5																																					11	Normal Armor	112	Knight(Human)	8																				1		2										
75	Swordman Boots	12	6	17	1	1		7	1	0								5	400	1			320	13								1	42	1	2	1	2																					3																																					11	Normal Armor	112	Knight(Human)	8																				1		2										
76	Harddefense Armor	21	15	26	1	1		2	1	0								5	400	1			4400	183								1	63	1	4	2	4																					9																																					11	Normal Armor	112	Knight(Human)	9																				1		2										
77	Harddefense Helmet							3	1	0																																																0																																																																									
78	Defender Sleeve							4	1	0																																																0																																																																									
79	Harddefense Gauntlets	21	15	26	1	1		5	1	0								5	400	1			880	37								1	42	1	2	1	2																					4																																					11	Normal Armor	112	Knight(Human)	9																				1		2										
80	Harddefense Greaves	21	15	26	1	1		6	1	0								5	400	1			1760	73								1	56	1	3	1	3																					7																																					11	Normal Armor	112	Knight(Human)	9																				1		2										
81	Harddefense Boots	21	15	26	1	1		7	1	0								5	400	1			880	37								1	42	1	2	1	2																					4																																					11	Normal Armor	112	Knight(Human)	9																				1		2										
82	Spellriver Garb	7	1	12	4	1		2	1	0								6	400	1	16777040		288	12								2	61	2	4	3	5																					7																																					13	Rare Armor	134	Mage(Human)	9																				1		2	1				1	13				
83	Trainer Cap							3	1	0																																																0																																																																									
84	Bell of Twilight									2	0												960	192						99																																																																																																					
85	Spellriver Bracelets	7	1	12	4	1		5	1	0								6	400	1	16777040		96	10								2	40	2	2	1	3																					3	1																																				13	Rare Armor	134	Mage(Human)	9																				1		2	1				1	13				
86	Spellriver Kilt	7	1	12	4	1		6	1	0								6	400	1	16777040		96	10								2	54	2	3	2	4																					5																																					13	Rare Armor	134	Mage(Human)	9																				1		2	1				1	13				
87	Spellriver Boots	7	1	12	4	1		7	1	0								6	400	1	16777040		96	10								2	40	2	2	1	3																					3			1																																		13	Rare Armor	134	Mage(Human)	9																				1		2	1				1	13				
88	Mana Bless Garb	15	9	20	4	1		2	1	0								6	300	2	16777040		2016	84								2	61	2	4	3	5																					8																																					13	Rare Armor	134	Mage(Human)	10																				1		2	1				9	21				
89	Mana Bless Cap							3	1	0																																																0																																																																									
90	Box Shard		99	99						2	0							23		5			980	196						999		3																																																																																																			
91	Mana Bless Bracelets	15	9	20	4	1		5	1	0								6	300	2	16777040		384	16								2	40	2	2	1	3																					4	2																																				13	Rare Armor	134	Mage(Human)	10																				1		2	1				9	21				
92	Mana Bless Kilt	15	9	20	4	1		6	1	0								6	300	2	16777040		768	32								2	54	2	3	2	4																					6																																					13	Rare Armor	134	Mage(Human)	10																				1		2	1				9	21				
93	Mana Bless Boots	15	9	20	4	1		7	1	0								6	300	2	16777040		384	16								2	40	2	2	1	3																					4			2																																		13	Rare Armor	134	Mage(Human)	10																				1		2	1				9	21				
94	Starlight Garb	21	15	26	4	1		2	1	0								5	400	1			4400	183								1	50	1	4	2	4																					5																																					11	Normal Armor	114	Mage(Human)	9																				1		2										
95	Starlight Cap							3	1	0																																																0																																																																									
96	Spirit Stone									2	0												965	193						99																																																																																																					
97	Starlight Bracelets	21	15	26	4	1		5	1	0								5	400	1			880	37								1	34	1	2	1	2																					2																																					11	Normal Armor	114	Mage(Human)	9																				1		2										
98	Starlight Kilt	21	15	26	4	1		6	1	0								5	400	1			1760	73								1	45	1	3	1	3																					4																																					11	Normal Armor	114	Mage(Human)	9																				1		2										
99	Starlight Boots	21	15	26	4	1		7	1	0								5	400	1			880	37								1	34	1	2	1	2																					2																																					11	Normal Armor	114	Mage(Human)	9																				1		2										
100	Pipe									2	0												950	190						99																																																																																																					
101	Vicious Moustache									2	0												960	192						99																																																																																																					
102	Clown Mask									2	0												1000	200						99																																																																																																					
103	Amblord Beak									2	0												980	196						99																																																																																																					
104	Amblord Meat									2	0												970	194						99																																																																																																					
105	Amblord Leather									2	0												965	193						99																																																																																																					
106	Ethen Meat									2	0												940	188						99																																																																																																					
107	Ethen Leather									2	0												1020	204						99																																																																																																					
108	Lequimes Horn									2	0												1040	208						99																																																																																																					
109	Lequimes Skin									2	0												1000	200						99																																																																																																					
110	Broken Blade									2	0												900	180						99																																																																																																					
111	Scorching Stew									1	12												1800	216						99																																																													459	1			111	Product	332	Cooking																																	
112	Gentle Breeze Defense Stew									1	12												1800	216						99																																																													463	1			111	Product	332	Cooking																																	
113	Mist Stew									1	12												1800	216						99																																																													461	1			111	Product	332	Cooking																																	
114	Soil Stew									1	12												1800	216						99																																																													465	1			111	Product	332	Cooking																																	
115	Meditation Defense Stew									1	12												1800	216						99																																																													467	1			111	Product	332	Cooking																																	
116	Molten Stew									1	12												2400	288						99																																																													460	1			111	Product	332	Cooking																																	
117	Silence Defense Stew									1	12												2400	288						99																																																													464	1			111	Product	332	Cooking																																	
118	Shadowdash Armor	7	1	12	2	2		2	1	0								6	400	1	16777040		288	12								2	68	2	4	3	5																					8																																					13	Rare Armor	136	Hunter(Orc)	9																				1		2	1				1	13				
119	Duplicate Leather Cap							3	1	0																																																0																																																																									
120	Waterfall Stew									1	12												2400	288						99																																																													462	1			111	Product	332	Cooking																																	
121	Shadowdash Armpads	7	1	12	2	2		5	1	0								6	400	1	16777040		96	10								2	45	2	2	1	3																					4	2																																				13	Rare Armor	136	Hunter(Orc)	9																				1		2	1				1	13				
122	Shadowdash Leggings	7	1	12	2	2		6	1	0								6	400	1	16777040		96	10								2	60	2	3	2	4																					6																																					13	Rare Armor	136	Hunter(Orc)	9																				1		2	1				1	13				
123	Shadowdash Boots	7	1	12	2	2		7	1	0								6	400	1	16777040		96	10								2	45	2	2	1	3																					4			2																																		13	Rare Armor	136	Hunter(Orc)	9																				1		2	1				1	13				
124	Mildsteel Armor	15	9	20	2	2		2	1	0								6	300	2	16777040		2016	84								2	68	2	4	3	5																					10																																					13	Rare Armor	136	Hunter(Orc)	10																				1		2	1				9	21				
125	Mildsteel Cap							3	1	0																																																0																																																																									
126	Mountain Defense Stew									1	12												2400	288						99																																																													466	1			111	Product	332	Cooking																																	
127	Mildsteel Armpads	15	9	20	2	2		5	1	0								6	300	2	16777040		384	16								2	45	2	2	1	3																					4	3																																				13	Rare Armor	136	Hunter(Orc)	10																				1		2	1				9	21				
128	Mildsteel Leggings	15	9	20	2	2		6	1	0								6	300	2	16777040		768	32								2	60	2	3	2	4																					7																																					13	Rare Armor	136	Hunter(Orc)	10																				1		2	1				9	21				
129	Mildsteel Boots	15	9	20	2	2		7	1	0								6	300	2	16777040		384	16								2	45	2	2	1	3																					4			3																																		13	Rare Armor	136	Hunter(Orc)	10																				1		2	1				9	21				
130	Secret Tracker Armor	21	15	26	2	2		2	1	0								5	400	1			4400	183								1	57	1	4	2	4																					6																																					11	Normal Armor	116	Hunter(Orc)	9																				1		2										
131	Secret Tracker Cap							3	1	0																																																0																																																																									
132	Transcendence Stew									1	12												2400	288						99																																																													468	1			111	Product	332	Cooking																																	
133	Secret Tracker Armpads	21	15	26	2	2		5	1	0								5	400	1			880	37								1	38	1	2	1	2																					3																																					11	Normal Armor	116	Hunter(Orc)	9																				1		2										
134	Secret Tracker Pants	21	15	26	2	2		6	1	0								5	400	1			1760	73								1	50	1	3	1	3																					5																																					11	Normal Armor	116	Hunter(Orc)	9																				1		2										
135	Secret Tracker Boots	21	15	26	2	2		7	1	0								5	400	1			880	37								1	38	1	2	1	2																					3																																					11	Normal Armor	116	Hunter(Orc)	9																				1		2										
136	Pharoah Potion	64								1	7												320	60						99																																																															838	240000	111	Product	333	Metamorphosis Potion									240000																								
137	Shard Dancer Potion	71								1	7												450	81						99																																																															915	240000	111	Product	333	Metamorphosis Potion									240000																								
138	Amblord Potion	72								1	7												450	81						99																																																															923	240000	111	Product	333	Metamorphosis Potion									240000																								
139	Ethen Potion	73								1	7												450	81						99																																																															1209	240000	111	Product	333	Metamorphosis Potion									240000																								
140	Lequimes Potion	75								1	7												570	100						99																																																															928	240000	111	Product	333	Metamorphosis Potion									240000																								
141	Vicious Potion	71								1	7												570	100						99																																																															924	240000	111	Product	333	Metamorphosis Potion									240000																								
142	Balloondog Potion	72								1	7												570	100						99																																																															922	240000	111	Product	333	Metamorphosis Potion									240000																								
143	Giggler Potion	71								1	7												570	100						99																																																															929	240000	111	Product	333	Metamorphosis Potion									240000																								
144	Pharaoh Metamorphosis Manual									1	10												320	60						99																																																																																																					
145	Shard Dancer Metamorphosis Manual									1	10												450	81						99																																																																																																					
146	Amblord Metamorphosis Manual									1	10												450	81						99																																																																																																					
147	Ethen Metamorphosis Manual									1	10												450	81						99																																																																																																					
148	Lequimes Metamorphosis Manual									1	10												570	100						99																																																																																																					
149	Vicious Metamorphosis Manual									1	10												570	100						99																																																																																																					
150	Balloondog Metamorphosis Manual									1	10												570	100						99																																																																																																					
151	Giggler Metamorphosis Recipe									1	10												570	100						99																																																																																																					
152	Sharon Stone									1	12	0																		5000																																																													457	1													4				50	1	2	1																			
153	Boros' Faith Ring									2	0			1							16766615																																																																																																														
154	Lunatic Rune Garb	7	1	12	4	2		2	1	0								6	400	1	16777040		288	12								2	61	2	4	3	5																					7																																					13	Rare Armor	137	Sorcerer(Orc)	9																				1		2	1				1	13				
155	Pilgrim Cap							3	1	0																																																0																																																																									
156	Pilgrim Amulet							4	1	0																																																0																																																																									
157	Lunatic Rune Bracelets	7	1	12	4	2		5	1	0								6	400	1	16777040		96	10								2	40	2	2	1	3																					3	1																																				13	Rare Armor	137	Sorcerer(Orc)	9																				1		2	1				1	13				
158	Lunatic Rune Kilt	7	1	12	4	2		6	1	0								6	400	1	16777040		96	10								2	54	2	3	2	4																					5																																					13	Rare Armor	137	Sorcerer(Orc)	9																				1		2	1				1	13				
159	Lunatic Rune Boots	7	1	12	4	2		7	1	0								6	400	1	16777040		96	10								2	40	2	2	1	3																					3			1																																		13	Rare Armor	137	Sorcerer(Orc)	9																				1		2	1				1	13				
160	Mindon Garb	15	9	20	4	2		2	1	0								6	300	2	16777040		2016	84								2	61	2	4	3	5																					8																																					13	Rare Armor	137	Sorcerer(Orc)	10																				1		2	1				9	21				
161	Mindon Cap							3	1	0																																																0																																																																									
162	Sage Amulet							4	1	0																																																0																																																																									
163	Mindon Armlets	15	9	20	4	2		5	1	0								6	300	2	16777040		384	16								2	40	2	2	1	3																					4	2																																				13	Rare Armor	137	Sorcerer(Orc)	10																				1		2	1				9	21				
164	Mindon Kilt	15	9	20	4	2		6	1	0								6	300	2	16777040		768	32								2	54	2	3	2	4																					6																																					13	Rare Armor	137	Sorcerer(Orc)	10																				1		2	1				9	21				
165	Mindon Boots	15	9	20	4	2		7	1	0								6	300	2	16777040		384	16								2	40	2	2	1	3																					4			2																																		13	Rare Armor	137	Sorcerer(Orc)	10																				1		2	1				9	21				
166	Elemental Wisdom Robe	21	15	26	4	2		2	1	0								5	400	1			4400	183								1	50	1	4	2	4																					5																																					11	Normal Armor	117	Sorcerer(Orc)	9																				1		2										
167	Elemental Wisdom Cap							3	1	0																																																0																																																																									
168	Mindon Armlets							4	1	0																																																0																																																																									
169	Elemental Wisdom Bracelets	21	15	26	4	2		5	1	0								5	400	1			880	37								1	34	1	2	1	2																					2																																					11	Normal Armor	117	Sorcerer(Orc)	9																				1		2										
170	Elemental Wisdom Kilt	21	15	26	4	2		6	1	0								5	400	1			1760	73								1	45	1	3	1	3																					3																																					11	Normal Armor	117	Sorcerer(Orc)	9																				1		2										
171	Elemental Wisdom Boots	21	15	26	4	2		7	1	0								5	400	1			880	37								1	34	1	2	1	2																					2																																					11	Normal Armor	117	Sorcerer(Orc)	9																				1		2										
172	Fighter Cuirass	2	1	7	1	2		2	1	0								5	400	1			30	5								1	63	1	4	2	4																					4																																					11	Normal Armor	115	Berserker(Orc)	8																				1		2										
173	Fighter Helmet							3	1	0																																																0																																																																									
174	Fighter's Sleeve							4	1	0																																																0																																																																									
175	Fighter Bracers	2	1	7	1	2		5	1	0								5	400	1			13	5								1	42	1	2	1	2																					2																																					11	Normal Armor	115	Berserker(Orc)	8																				1		2										
176	Fighter Tassets	2	1	7	1	2		6	1	0								5	400	1			15	5								1	56	1	3	1	3																					3																																					11	Normal Armor	115	Berserker(Orc)	8																				1		2										
177	Fighter Boots	2	1	7	1	2		7	1	0								5	400	1			13	5								1	42	1	2	1	2																					2																																					11	Normal Armor	115	Berserker(Orc)	8																				1		2										
178	Militia Armor	12	6	17	1	2		2	1	0								5	400	1			1680	70								1	63	1	4	2	4																					6																																					11	Normal Armor	115	Berserker(Orc)	8																				1		2										
179	Militia Helmet							3	1	0																																																0																																																																									
180	Charging Sleeve							4	1	0																																																0																																																																									
181	Militia Bracers	12	6	17	1	2		5	1	0								5	400	1			320	13								1	42	1	2	1	2																					3																																					11	Normal Armor	115	Berserker(Orc)	8																				1		2										
182	Militia Greave	12	6	17	1	2		6	1	0								5	400	1			640	27								1	56	1	3	1	3																					5																																					11	Normal Armor	115	Berserker(Orc)	8																				1		2										
183	Militia Boots	12	6	17	1	2		7	1	0								5	400	1			320	13								1	42	1	2	1	2																					3																																					11	Normal Armor	115	Berserker(Orc)	8																				1		2										
184	Steelcrusher Armor	21	15	26	1	2		2	1	0								5	400	1			4400	183								1	63	1	4	2	4																					8																																					11	Normal Armor	115	Berserker(Orc)	9																				1		2										
185	Steelcrusher Helmet							3	1	0																																																0																																																																									
186	Militia Sleeve							4	1	0																																																0																																																																									
