배틀게이트 엘로르	Ellore Battlegate
아르시안 내부	Arthian Castle Inside 
붉은 자갈길	Red Stone Road
폰 아이젠하우스 2층	Asylum 1st Floor
이름없는 무덤 입구	Unmarked Grave Entrance
렌스피어_성_인근	Rensphere Castle Vicinity
고블린분지	Goblin Valley
오래된 광산 3층 입구	Old Mine 2nd Floor Entrance
엘로함망루	Elloham Watchtower
크랩터폰	Midok
트라쿠아 외성문	Traqua External Gate
관현악의 땅	La Triah
깊은 중심지	Core Arena
이름없는_무덤	Unmarked Grave
인플레임_성주_사냥터_입구	Inflame Secret Dungeon Entrance
카이젠폭포	Kisen Waterfall
공포의 방	Chamber of Horror
탐욕의_문6	6 Gate of Greed
금지된_광산_3층	Forbidden Mine 2nd Floor
란파	Ranfa
트릴가드	Trilgard
탐욕의_문5	5 Gate of Greed
현악의 땅	Jaztero
금지된_광산_1층_출구	Forbidden Mine Ground Floor Exit
오크요새	Orc Fortress
벨제루크 동부	East Belzeruk
분노의_문	Gate of Rage
배틀게이트 스톨	Stull Battlegate
분열의 문2	2 Gate of Division
염랑의_동굴_1층_출구	Flame Cave Ground Floor Exit
불의 쉬라인 드래곤시온지역	Fire Shrine Dragonscion Zone
자객마을	Assassin Village
폰_아이젠하우스2층_입구	Asylum 1st Floor Entrance
아르시안_성주_사냥터	Arthian Secret Dungeon
혼란의 입구	Gate of Chaos
마스트코트	Mastcot
하이드백	Hideback 
죽은 자의 무덤 3층 입구	Tomb of the Dead 2nd Floor Entrance
이름없는 무덤 3층	Unmarked Grave 2nd Floor
봉인된 광산 1층 입구	Sealed Mine Ground Floor Entrance
잊혀진 무덤 1층	Forgotten Grave Ground Floor
드래곤시온 요새 입구	DragonScion Fortress Entrance
멤브레덴_서쪽	Membreathen Western
분열의 문6	6 Gate of Division
인플레임 성 인근	Inflame Castle Vicinity
탐욕의_무덤_1층	Tomb of Greed Ground Floor
탐욕의 무덤1층	Tomb of Greed Ground Floor
남쪽땅의 사원	Southern Temple
인플레임성_인근	Inflame Castle Vicinity
마른강 평원	Dusty Creek
배틀로얄_관중석	Battle Royal Bleachers
시리푸스의 쉬라인 외곽	Syripus Shrine Outskirts
삼각_마을	Triangle Village
시리푸스의 쉬라인	Syripus Shrine
콘트라하우스	Contra House
원정대천막촌	Expedition Camp Site
크로우크로스	Crowcross
유폐된 광산 출구	Abandoned Mine Exit
이름없는 무덤 1층 출구	Unmarked Grave Ground Floor Exit
클라우드사원	Cloud Temple
동쪽분지	East Branch
죽은_자의_무덤_2층_입구	Tomb of the Dead 1st Floor Entrance
비밀의 사원	Secret Temple
닫혀진_광산_입구	Closed Mine Entrance
시로코고 천문관측소	Sirokogo Observatory
시리푸스의 쉬라인 오크지역	Syripus Shrine Orc Zone
드래이거 렌스피어 입구	Drayger Rensphere Entrance
인플레임 성주 사냥터 입구	Inflame Secret Dungeon Entrance
닫혀진 광산 3층	Closed Mine 2nd Floor
무한의 수차	Infinite Mill
절망의 탑	Tower of Despair
시리푸스의 쉬라인 시온지역	Syripus Shrine scion Zone
오래된_광산_출구	Old Mine Exit
번개의 쉬라인 오크지역	Lightning Shrine Orc Zone
트라쿠아 성주 사냥터 입구	Traqua Secret Dungeon Entrance
용암의 쉬라인 포탈(시온)	Lava Shrine(Scion)
오래된_광산	Old Mine
봉인된 광산 1층	Sealed Mine Ground Floor
쿤	Kuhn
금지된_광산_1층	Forbidden Mine Ground Floor
바르도터_북쪽	Bardother Northern
베르아크분지	Verark Basin
아르시안 성 진입로	Arthian approach
배틀스퀘어 6층	Battle Square 6th Floor
드래곤의 레어	Dragon's Lair
독의 쉬라인 포탈(문엘프)	Poison Shrine(MoonElf)
분노의 문6	6 Gate of Rage
고토강	Gotto River
봉인된_광산_2층	Sealed Mine 1st Floor 
노블하임산맥	Noblehaim Mountains
탐욕의_문2	2 Gate of Greed
금지된 광산 1층	Forbidden Mine Ground Floor
블루리버강	Blue River 
탐욕의 무덤3층	Tomb of Greed 2nd Floor
개척자의 길	Pioneer's Road
발브르언덕	Valbur Hill
엘로힘 망루	Elloham Watchtower
렌스피어 성 인근	Rensphere Castle Vicinity
랜스피어 성주 사냥터	Rensphere Secret Dungeon
퀄트천막촌	Qualt Camp
사라미스의 정원	Salarmis Garden
잊혀진 무덤	Forgotten Grave
탐욕의 문	Gate of Greed
사리엔드	Sariend
골램지역	Golem Territory
도시 엘로르	Ellore City
비고로르서쪽	Vigorore Western
슬픔의 문2	2 Gate of Sadness
사자의_예배당	Chapel of The Dead
의식의_방	Hero's Reception
닫혀진 광산 3층 입구	Closed Mine 2nd Floor Entrance
에저로크_남쪽	Ezerock Southern
염화의 동굴 2층	Corrosion Cave 1st Floor
멤브레덴 남쪽	Membreathen Southern
시련의_길	Road of Trials
도시 델파라스	Delfaras City
배틀_로얄_경기장	Battle Royal Arena
지하 감옥 2층	Dungeon 2F
젠클리어 서부	West Zenclier
슬픔의_문4	4 Gate of Sadness
독의 쉬라인 휴먼지역	Poison Shrine Human Zone
번개_정령계	Teslon Outpost
잊혀진 무덤 3층 입구	Forgotten Grave 2nd Floor Entrance
통곡의_방	Chamber of Wailing
분노의 문2	2 Gate of Rage
젠클리어 남동쪽	Zenclier Southeast Area
휴먼 요새	Human Fortress
윈드릴_북쪽	Windrill Northern
분노의_문3	3 Gate of Rage
배틀_로얄_관중석	Battle Royal Bleachers
멤브레덴	Membreathen
화합의_회랑	Corridor of Harmony
휴먼지역	Human Zone
도시 트릴가드	Trilgard City
피의 산	Blood Mountain
도시 툴란	Tullan City
관문마을	Barrier Village
솔시드산맥	Solcid Mountains
죽은_자의_무덤_3층_출구	Tomb of the Dead 2nd Floor Exit
유혹의 입구	Gate of Temptation
죽은_자의_무덤_2층_출구	Tomb of the Dead 1st Floor Exit
룽페이수련장	Lungfei Dojo
라트리아	Latria
미련의 방	Chamber of Regret
공명바위	Stone of Justice
바람평원	Wind Plain
끊어진 다리	Broken Bridge
루클리아 아메	Rucklia Amae
금지된_광산_2층_입구	Forbidden Mine 1st Floor Entrance
세벤트의 둥지	Cevent's Nest
죽은자의 무덤 3층 입구	Tomb of the Dead 2nd Floor Entrance
생사의 경계지	Boundary of Life
빙헬	Veihel
추적자고원	Persuer Plateau
시엔	Cien
루시아스	Lucious
비고로르	Vigorore
잊혀진 무덤 출구	Forgotten Grave Exit
사냥꾼의 숲	Hunter's Forest
정령의 쉬라인	Spirit Shrine
죽은자의_무덤	Tomb of the Dead
번뇌의 방	Chamber of Agony
드래이거 성 내부	Drayger Castle Inside
룽페이 수련장	Lungfei Dojo
닫혀진 광산 출구	Closed Mine Exit
레인라이크	Rainreich
트라쿠아 성 진입로	Traqua approach
엘로힘망루	Elloham Watchtower
염화의_동굴_2층_입구	Corrosion Cave 1st Floor Entrance
그룬트반도	Groont Peninsula
이름없는 무덤 3층 입구	Unmarked Grave 2nd Floor Entrance
통곡의_방4	4 Chamber of Wailing
봉인된 광산 2층 입구	Sealed Mine 1st Floor Entrance
죽은 자의 무덤 입구	Tomb of the Dead Entrance
혼돈의_중심	Center of Chaos
탐욕의 무덤 2층 입구	Tomb of Greed 1st Floor Entrance
문엘프 요새	Moon Elf Fortress
배틀 스퀘어 4층	Battle Square 4th Floor
퍼피필드	Wasteland
배틀스퀘어 <탐욕의 문>	Gate of Greed
불의 쉬라인 포탈(오크)	Fire Shrine(Orc)
뱀파이어 마을	Vampire Village
탐욕의_문3	3 Gate of Greed
죽은자의 무덤 1층 입구	Tomb of the Dead Ground Floor Entrance
분열의 문3	3 Gate of Division
길드경기장	Guild Battle Square
오래된 광산 1층 입구	Old Mine Ground Floor Entrance
엘름볼트	Elmbolt
습지대 입구	Swamp Entrance
죽은자들의 방	Chamber of the Dead
툴란 서시가지	Tullan West Town
폰 아이젠하우스 2층 출구	Asylum 1st Floor Exit
트라쿠아 성 인근	Traqua Castle Vicinity
잊혀진_무덤_3층_입구	Forgotten Grave 2nd Floor Entrance
삼각 마을	Triangle Village
번개의 쉬라인	Lightning Shrine
휴먼_요새	Human Fortress
배틀게이트 데리벨	Deribelle Battlegate 
상인의 계곡	Merchant Valley
그루터기	The Great Stump
배틀스퀘어_3층	Battle Square 3rd Floor
유폐된_광산_2층	Abandoned Mine 1st Floor
바르도터	Bardother
헤븐즈_헬의_옥좌	Throne of Heaven's Hell
금지된_광산_출구	Forbidden Mine Exit
데드라인	Dead Line
망치계곡	Hammer Valley
죽은_자의_무덤_1층_출구	Tomb of the Dead Ground Floor Exit
파도 사구	Wave Dune
맹세의 방	Chamber of Oath
원혼의 분지입구	Vengeful Basin Entrance
오크 지역	Orc Zone
배틀게이트 라프레시아	Laflesia Battlegate 
라트리아 남쪽	Latria Southern
죽은자의_무덤_1층	Tomb of the Dead Ground Floor
슬픔의_문6	6 Gate of Sadness
드레이거 행 포탈	Portal bound for Drayger
사자의 여왕	Queen of Lion
분열의_문6	6 Gate of Division
배틀로얄 경기장	Battle Royal Arena
렌스피어 동쪽	Rensphere Eastern Area
렌스피어 외성	Rensphere External Castle
드래곤시온 지역	DragonScion Territory
스톨 행 포탈	Portal bound for Stull
영광의 길	Path of Glory
데리벨 행 포탈	Portal bound for Deribelle
불의 쉬라인 오크지역	Fire Shrine Orc Zone
하이드백_마을	Hideback Village
깊은_중심지6	Core Arena 6F
경계석	Boundary Stone
젠클리어 서쪽	Zenclier Western Area
왕자의 사냥터	Prince's Hunting Field
라플레시아	Laflesia
대기실	Chamber of Time
스톨	Stull
우르트람강	Urtram River
오크_요새	Orc Fortress
윈드릴의 동쪽 입구	Windrill Eastern Entrance
배틀 로얄 관중석	Battle Royal Bleachers
뱀파이어_마을	Vampire Village
얼음_정령계	The Frozen Infinity
기후지도	Milieu
북쪽땅의 사원	Northern Temple 
녹턴야드	Nocturn Yard
드레이거 성 진입로	Drayger approach
번개의 쉬라인 드래곤시온지역	Lightning Shrine Dragonscion Zone
알현의_방	Audience Chamber
오래된_광산_3층_출구	Old Mine 2nd Floor Exit
배틀스퀘어 5층	Battle Square 5th Floor
인플레임 비밀의 던전	 Inflame Castle's Secret Dungeon
물의 쉬라인	Water Shrine
정령의 쉬라인 외곽	Spirit Shrine Outskirts
드래이거 성주 사냥터	Drayger Secret Dungeon
정찰자의 터	Scouter Site
잊혀진_무덤_3층	Forgotten Grave 2nd Floor
쐐기삼각지	The Span
용암의 쉬라인 포탈(문엘프)	Lava Shrine(MoonElf)
염화의 동굴 1층 출구	Corrosion Cave Ground Floor Exit
영광의 귀환지	Glory Port
물의 쉬라인 외곽	Water Shrine Outskirts
베틀그라운드	Battle Ground
여왕의서식지	Queen's Habitat
정령의 쉬라인 드래곤시온지역	Spirit Shrine Dragonscion Zone
드래곤시온요새	Dragonscion Fortress
길드 경기장	Guild Battle Square
닫혀진_광산_출구	Closed Mine Exit
트라쿠아 성 성주 사냥터	Traqua Castle Secret Dungeon
에저로크남쪽	Ezerock Southern
모르트수로	Mort Waterway
툴란 동시가지	Tullan East Town
복수의 방	Vengeance Chamber
유폐된_광산_1층	Abandoned Mine Ground Floor
금지된광산	Forbidden Mine
롱페이_수련장	Lungfei Dojo
광산 마을	Mine Village
아르시안 성 성주 사냥터	Arthian Castle Secret Dungeon
그림자무덤	Shadow Grave
비명의_숲	Forest of Scream
디난트야드	Dinant Yard
이름없는_무덤_3층	Unmarked Grave 2nd Floor
카르마관문	Karma Barrier
기억의언덕	Memory Hill
배틀게이트 델파라스	Delfaras Battlegate
집착의 방	Chamber of Obsession
아르시안 내성문	Arthian Internal Gate
물의 쉬라인 포탈(시온)	Water Shrine(Scion)
바람의 쉬라인 포탈(휴먼)	Wind Shrine(Human)
이름없는_무덤_출구	Unmarked Grave Exit
마다가르_파이프	Madagar Pipe
흡혈사막	Bloodsyphon Desert
인플레임_성주_사냥터	Inflame Secret Dungeon
산적마을	Bandit Village
바람의 쉬라인 포탈(오크)	Wind Shrine(Orc)
독의 쉬라인 문엘프지역	Poison Shrine Moon Elf Zone
닫혀진 광산 1층	Closed Mine Ground Floor
글렌데스틴 숲	Glendestine Forest
절망의_탑	Tower of Despair
금지된 광산 3층	Forbidden Mine 2nd Floor
멤브레덴 서쪽	Membreathen Western
유폐된_광산2층	Abandoned Mine 1st Floor
기적의샘	Miracle Fountain
혼돈의 소로	Soro of Chaos
낮은바람마을	Low Wind Village
라임라이트_남쪽	Limelight Southern
바란다이크2요새	Baran Dyke Fortress Two
공중감옥	Sky Prison
인플레임 성 입구	Inflame Castle Entrance
지하_감옥_1층	Dungeon 1F
닫혀진_광산_3층	Closed Mine 2nd Floor
파멸의 입구	Gate of Ruin
델파라스 북부	North Delfaras
러스트뷰린산	Lustbiurin Mountain
염랑의 동굴 1층	Flame Cave Ground Floor
트릴가드 길드 전투 경기장	Trilgard Guild Battle Arena
이름없는_무덤_3층_출구	Unmarked Grave 2nd Floor Exit
폰 3층 입구	Asylum 2nd Floor Entrance
슬픔의_문	Gate of Sadness
시련의_동굴_2층	Cave of Trials 1st Floor
분열의 문4	4 Gate of Division
금지된 광산 2층 입구	Forbidden Mine 1st Floor Entrance
복수의_방	Vengeance Chamber
고통의 입구	Gate of Pain
죽은자의 무덤 1층 출구	Tomb of the Dead Ground Floor Exit
젠클리어 중앙 서부	Central West Zenclier
정원상층	Upper Garden
옛사원 터	Old Temple 
시련의 동굴 입구	Cave of Trials Entrance
드래곤시온 요새	DragonScion Fortress
배틀스퀘어 4층	Battle Square 4th Floor
초록음악지	Green Music Hall
시간이정지한 곳	Time Warp Area
정원하층	Lower Garden
오래된 광산 1층 출구	Old Mine Ground Floor Exit
길드 경기장 주변	Around Guild Battle Arena
고스트분지	Ghost Valley
닫혀진 광산 2층 입구	Closed Mine 1st Floor Entrance
젠클리어 중앙 동부	East Central Zenclier
바람의 쉬라인 오크지역	Wind Shrine Orc Zone
맹세의_방	Chamber of Oath
불의 쉬라인 포탈(휴먼)	Fire Shrine(Human)
틴텔의 북	Tintel's Book
피드밀	Feedmill
카르마_관문	Karma Barrier
그림로어	Grimlore
칸디아광산	Kandia Mine
분열의_문3	3 Gate of Division
물의 쉬라인 휴먼지역	Water Shrine Human Zone
닫혀진_광산_2층_입구	Closed Mine 1st Floor Entrance
폰_아이젠하우스_3층	Asylum 2nd Floor
닫혀진 광산 입구	Closed Mine Entrance
젠클리어_폭포	Zenclier Waterfall
시간의 사당	Temple of Time
상아무덤마을	Ivory Grave Village
번개의 쉬라인 포탈(휴먼)	Lightning Shrine Portal(Human)
드래이거 비밀의 던전 입구	Entrance to the Secret Dungeon of Drayger
나선의_길	Spiral Road
정령의 쉬라인 휴먼지역	Spirit Shrine Human Zone
염화의_동굴_2층	Corrosion Cave 1st Floor
염화의 동굴 1층	Corrosion Cave Ground Floor
금지된_광산_입구	Forbidden Mine Entrance
시련의 동굴 2층 출구	Cave of Trials 1st Floor Exit
정령의 쉬라인 포탈(휴먼)	Spirit Shrine(Human)
바람의 쉬라인 외곽	Wind Shrine Outskirts
하얀숲	White Forest
분열의 문	Gate of Division
칸트라 대륙	Chantra Continent
파멸의 방	Chamber of Ruin
생명의 핏줄	Bloodline of Life
사형장	Execution Ground
불꽃의 지역	Flames of Zone
비명의 숲	Forest of Scream
골룬도	Golundo
트릴가드 행 포탈	Portal bound for Trilgard
벨제루크 북서부	Northwest Belzeruk
검은파도마을	Dark Wave Village
모라비아요새	Morabia Fortress
원망의 방	Chamber of Grudge
문엘프요새	Moon Elf Fortress
용암의 쉬라인	Lava Shrine
전사의 다리	Warrior's Bridge
유폐된 광산 2층 출구	Abandoned Mine 1st Floor Exit
툴란 남쪽 게이트	Tullan South Gate
비고로르_남서쪽	Vigorore South Western
인고의_방	Hero's Reception
통곡의 방	Chamber of Wailing
닫혀진_광산_3층_출구	Closed Mine 2nd Floor Exit
염랑의_동굴_1층_입구	Flame Cave Ground Floor Entrance
유폐된 광산 2층 입구	Abandoned Mine 1st Floor Entrance
문엘프지역	Moon Elf Zone
금지된 광산 1층 출구	Forbidden Mine Ground Floor Exit
비난의 방	Chamber of Censure
트라쿠아 성	Traqua Castle
죽은_자의_무덤_입구	Tomb of the Dead Entrance
죽은자의 무덤 3층	Tomb of the Dead 2nd Floor
기억의 망루	Cove of Memories
오래된 광산 2층 입구	Old Mine 1st Floor Entrance
콘트라_하우스	Contra House
엘리시온_남쪽	Elyscion Southern Area
집착의_방2	2 Chamber of Obsession
이름없는_무덤_1층	Unmarked Grave Ground Floor
발러의_왕좌	Balor's Throne
무한_지대	Infinity Hunt Event
셤프마을 남쪽	South of Shump Village
이름 없는 무덤 3층	Unmarked Grave 2nd Floor
검은파도 마을	Dark Wave Village
시련의_동굴1층	Cave of Trials Ground Floor
상실의 땅	Land of Loss
깊은_중심지2	Core Arena 2F
랜스피어_성주_사냥터	Rensphere Secret Dungeon
탐욕의_무덤_2층	Tomb of Greed 1st Floor
보화의 골짜기	Treasure Valley
봉인된 광산 3층 입구	Sealed Mine 2nd Floor
고통의 숲	Forest of Pain
바라평원	Bala Plain
황금의길	Gold Road
독_정령계	Evergreen Paradise
죽은자의 무덤	Tomb of the Dead
탐욕의 무덤 3층 출구	Tomb of Greed 2nd Floor Exit
에저로크	Ezerock
독의 쉬라인 드래곤시온지역	Poison Shrine Dragonscion Zone
피의_산	Blood Mountain
진혼사원	Soul Temple
잊혀진 자들의 방	Chamber of the Forgotten
탐욕의 무덤 출구	Tomb of Greed Exit
배틀스퀘어 <분노의 문>	Gate of Rage
휴식의 천막촌	Village of Rest
방랑자평야	Wanderer Plain
슬픔의_문2	2 Gate of Sadness
실란시움	Silancium
드래곤여관터	Dragon Inn
분노의_문6	6 Gate of Rage
길드경기장_주변	Around Guild Battle Arena
죽은자의 무덤 1층	Tomb of the Dead Ground Floor
이름없는 무덤	Unmarked Grave
폰_아이젠하우스_2층	Asylum 1st Floor
와일드본_성전	Wild Bone Temple
전사의 평지	Warrior Plain
작열의 동굴 2층 입구	Miasma Cave 1st Floor Entrance
테라노아	Terranoa
마다가르 파이프	Madagar Pipe
데리벨 길드 전투 경기장	Deribelle Guild Battle Arena
트릴가드 궁	Trilgard palace
유폐된 광산 3층 출구	Abandoned Mine 2nd Floor Exit
스릴킬	Srilkil
데리벨 서문	Deribelle West Gate
캐러번 로드	Karebun Road
쉽헤드해안	Shiphead Seashore
폰 아이젠하우스 3층 입구	Asylum 2nd Floor Entrance
드래곤시온_지역	DragonScion Territory
완곡의 봉우리	Round Peak
금지된_광산_2층	Forbidden Mine 1st Floor
공중_다리	Sky Bridge
죽은_자의_무덤_3층_입구	Tomb of the Dead 2nd Floor Entrance
탈론야드	Talon Yard
폰 아이젠하우스 3층 출구	Asylum 2nd Floor Exit
배틀스퀘어	Battlesquare
정령의 쉬라인 포탈(문엘프)	Spirit Shrine(MoonElf)
렌스피어 서쪽	Rensphere Western Area
작열의_동굴_2층	Miasma Cave 1st Floor
오르하협곡 입구	Oruha Canyon Entrance
라임라이트	Limelight
타스의 숲	Tas Forest
비고로르남쪽	Vigorore Southern
문엘프_요새	Moon Elf Fortress
엘로르	Ellore
광산_마을	Mine Village
물의 쉬라인 문엘프지역	Water Shrine Moon Elf Zone
물의 쉬라인 포탈(휴먼)	Water Shrine(Human)
왕의사냥터	King's Hunting Field
라임호수	Lime Lake
집시들의 옛터	Old Gypsy Town
새의둥지	Bird's Nest
트릴가드 남시가지	Trilgard South Town
헤븐즈 헬	Heaven's Hell
배틀스퀘어 1층	Battle Square 1st Floor
비고로르_남쪽	Vigorore Southern
러프풋 땅	Lufut Land
폰 아이젠하우스	Asylum
죽은자의_무덤_3층	Tomb of the Dead 2nd Floor
길드_경기장_주변	Around Guild Battle Arena
불의 쉬라인 문엘프지역	Fire Shrine Moon Elf Zone
석양의해변	Evening Sea
물의 쉬라인 오크지역	Water Shrine Orc Zone
중립지역	Dead Zone
불의 쉬라인	Fire Shrine
염랑의_동굴_2층_입구	Flame Cave 1st Floor Entrance
용암의 쉬라인 외곽	Lava Shrine Outskirts
슬픔의_문3	3 Gate of Sadness
스톨 신전	Stull temple
노움의굴	Gnome Cave
바란다이크1요새	Baran Dyke Fortress One 
원혼의 분지	Vengeful Basin
탐욕의_문4	4 Gate of Greed
금지된 광산 출구	Forbidden Mine Exit
여름해변	Summer Beach
독의 쉬라인 오크지역	Poison Shrine Orc Zone
오래된_광산_2층_출구	Old Mine 1st Floor Exit
군주의 좌	Tyranny's Throne
글렌데스틴_숲	Glendestine Forest
판다람고원	Pandaram Plateau
이름없는 무덤 2층 입구	Unmarked Grave 1st Floor Entrance
시리푸스의 쉬라인 포탈(휴먼)	Syripus Shrine(Human)
아르시안 성주 사냥터 입구	Arthian Secret Dungeon Entrance
용병사냥터	Dust Field
랜스피어_성주_사냥터_입구	Rensphere Secret Dungeon Entrance
영원동산	Eternal Hill
잊혀진 무덤 2층 입구	Forgotten Grave 1st Floor Entrance
벨리가분지	Belliga Basin
유폐된 광산 내부	Abandoned Mine Inside
악몽의 골짜기	Nightmare Valley
죽은 자의 무덤 2층 입구	Tomb of the Dead 1st Floor Entrance
바람의 쉬라인 포탈(시온)	Wind Shrine(Scion)
분열의_문	Gate of Division
유폐된 광산2층	Abandoned Mine 1st Floor
이름 없는 무덤 1층	Unmarked Grave Ground Floor
폰 아이젠하우스 1층 출구	Asylum Ground Floor Entrance
배틀게이트 토르요새	Tor Fortress Battlegate 
윈드릴	Windrill
번개의 쉬라인 포탈(시온)	Lightning Shrine Portal(Scion)
타부토촌	Tabuto Village
쉬버스	Sheerbus
비고로르_서쪽	Vigorore Western
트레바인 하부	Lower Trebain
골렘 지역	Golem Territory
오크 요새 입구	Orc Fortress Entrance
깊은_중심지	Core Arena
배틀스퀘어 3층	Battle Square 3rd Floor
데리벨 동문	Deribelle East Gate
유리호수	Glass Lake
시련의 동굴 2층 입구	Cave of Trials 1st Floor Entrance
오래된_광산_입구	Old Mine Entrance
자무쉬의 봉인	Jamushi's Seal
용암의 쉬라인 포탈(오크)	Lava Shrine(Orc)
원정대 천막촌	Expedition Camp Site
그림로어_동쪽	Grimlore Eastern
폰_아이젠하우스_입구	Asylum Ground Floor Entrance
번개의 쉬라인 문엘프지역	Lightning Shrine Moon Elf Zone
바르도터_서쪽	Bardother Western
베틀그라운드_문엘프지역	Battle Ground Moon Elf Zone
루나웨이강	Lunaway River
젠클리어 중앙 서쪽	Zenclier West Central Area
시련의_동굴2층	Cave of Trials 1st Floor
인플레임_성	Inflame Castle
물의 쉬라인 드래곤시온지역	Water Shrine Dragonscion Zone
배틀스퀘어_4층	Battle Square 4th Floor
트라이부츠	Triboots
다드홀	Dadhal
토르_요새	Tor Fortress
베틀로얄경기장	Battle Royal Arena
작열의 동굴 1층 입구	Miasma Cave Ground Floor Entrance
아르시안_성_인근	Arthian Castle Vicinity
아르시안 비밀의 던전	Arthian Castle's Secret Dungeon
이름없는_무덤_1층_출구	Unmarked Grave Ground Floor Exit
시련의 동굴2층	Cave of Trials 1st Floor
야아란	Yaran
숨죽인 유적	Muted Site
시련의 방	Hero's Reception
불꽃의_지역	Flames of Zone
십년사막	Ten Year Desert
파멸의_방	Chamber of Ruin
