Name	Position	Rotation	Radius
sw006_01	246385,5959.810059,-142001	0,180	0
sw008_01	246400,6737.939941,-138200	0,180	0
sw014_01	237633,7927.810059,-131414	0,90	0
sw014_01	255200,7927.810059,-131400	0,270	0
sw015_01	239832,7920.930176,-129814	0,90	0
sw015_01	239800,7927.810059,-133000	0,0	0
sw015_01	253032,7921.240234,-129814	0,180	0
sw015_01	253000,7923.830078,-133000	0,270	0
sw016_01	253600,3350.52002,-171000	0,0	0
sw016_01	246400,3229.51001,-166800	0,0	0
sw016_01	239200,3295.300049,-171000	0,0	0
sw019_01	246400,6729.990234,-133600	0,180	0
sw018_01	246400,8436.620117,-122800	0,180	0
sw001_01	341600,8822.519531,259800	0,0	0
sw001_01	356000,8822.519531,259800	0,0	0
sw011_01	348800,8822.519531,256100	0,0	0
sw006_01	348800,10425.799805,248800	0,0	0
sw008_01	348800,11207,244600	0,0	0
sw014_01	357600,12396.799805,237800	0,270	0
sw014_01	340000,12396.799805,237800	0,90	0
sw015_01	342200,12390.299805,236200	0,0	0
sw015_01	342200,12391.5,239400	0,90	0
sw015_01	355400,12378.099609,236200	0,270	0
sw015_01	355400,12395.700195,239400	0,180	0
sw016_01	341600,8090.080078,277600	0,180	0
sw016_01	348800,8248.519531,273000	0,180	0
sw016_01	356000,8133.850098,277600	0,180	0
sw004_01	345000,8091.529785,274800	0,180	0
sw004_01	352600,8201.860352,274800	0,180	0
sw019_01	348800,11205.400391,240000	0,0	0
sw018_01	348800,12915.400391,229800	0,0	0
epb005_01	644000,13900,742400	0,0	0
epb005_02	644000,14490,745921	0,0	0
epb005_03	642400,14490,745533	0,340	0
epb005_04	645600,14490,745542	0,20	0
a835_1	-419759,4708.27002,217639	0,0	4000
cr08	-387521,3091.550049,223855	0,0	3000
a836	-399822,3821.919922,228066	0,0	4000
a837_1	-382400,3173.459961,219400	0,0	5000
TC_11	198357,6285.100098,383823	0,0	3000
d101_03	-2.22765e+06,0,-2.01004e+06	0,0	0
keeper1_1	-765532,0,-638047	0,0	2516.409912
keeper1_2	-775945,0,-639344	0,0	2299.570068
keeper1_3	-754917,0,-639344	0,0	2261.080078
keeper1_4	-770362,0,-639520	0,0	1911.150024
keeper1_5	-760538,0,-639538	0,0	1803.47998
keeper1_6	-765552,0,-642942	0,0	2232.649902
keeper1_7	-772616,0,-649394	0,0	2674.530029
keeper1_8	-758354,0,-649655	0,0	2713.290039
keeper1_9	-766526,0,-647371	0,0	349.9289856
keeper2_1	-764530,0,-647326	0,0	358.901001
keeper2_2	-765517,0,-647326	0,0	336.4700012
keeper2_3	-763879,0,-645128	0,0	336.4700012
keeper2_4	-763834,0,-645868	0,0	336.4700012
keeper2_5	-763812,0,-646586	0,0	336.4700012
keeper2_6	-767423,0,-645105	0,0	381.3320007
keeper2_7	-767423,0,-645868	0,0	358.901001
keeper2_8	-767446,0,-646698	0,0	336.4700012
keeper2_9	-765494,0,-647992	0,0	392.5480042
keeper3_1	-764956,0,-666056	0,0	389.4330139
keeper3_2	-766235,0,-666056	0,0	358.901001
keeper3_3	-765585,0,-668435	0,0	194.7160034
keeper4_1	-768423,0,-635876	0,0	311.54599
keeper4_2	-762600,0,-635813	0,0	259.6220093
keeper4_3	-772493,0,-632589	0,0	2930.360107
keeper4_4	-758487,0,-632459	0,0	3116.409912
keeper4_5	-767037,0,-637200	0,0	327.1229858
keeper4_6	-763906,0,-637262	0,0	327.1229858
keeper4_7	-767068,0,-639879	0,0	342.7009888
keeper4_8	-763843,0,-639895	0,0	342.7009888
keeper4_9	-771383,0,-635972	0,0	336.4700012
keeper5_1	-759606,0,-635841	0,0	317.7770081
keeper5_2	-767312,0,-641473	0,0	324.5270081
keeper5_3	-766403,0,-641902	0,0	363.4700012
keeper5_4	-765520,0,-641538	0,0	350.4890137
keeper5_5	-764560,0,-641889	0,0	350.4890137
keeper5_6	-763742,0,-641551	0,0	324.5270081
keeper6_1	-758092,0,-640148	0,0	1502.900024
keeper6_2	-773096,0,-639942	0,0	1526.579956
keeper6_3	-776414,0,-643446	0,0	1588.880005
keeper6_4	-773470,0,-644319	0,0	1620.040039
keeper6_5	-776399,0,-644506	0,0	1495.420044
keeper6_6	-755556,0,-644054	0,0	2400
keeper6_7	-758422,0,-644895	0,0	1090.410034
keeper6_8	-758345,0,-642995	0,0	1074.829956
keeper6_9	-761185,0,-644057	0,0	1765.430054
keeper7_1	-769809,0,-644038	0,0	1775.810059
keeper7_2	-768448,0,-649431	0,0	2392.669922
keeper7_3	-762317,0,-649412	0,0	2430.060059
keeper7_4	-769285,0,-655940	0,0	2714.189941
keeper7_5	-761861,0,-655940	0,0	2736.620117
keeper7_6	-765719,0,-656097	0,0	3028.22998
keeper7_7	-771102,0,-659843	0,0	1547.76001
keeper7_8	-760178,0,-659933	0,0	1458.040039
keeper7_9	-765674,0,-659888	0,0	3005.800049
keeper8_1	-763902,0,-663611	0,0	1502.900024
keeper8_2	-767177,0,-663544	0,0	1502.900024
keeper8_3	-767289,0,-632522	0,0	2714.189941
keeper8_4	-763520,0,-632477	0,0	2646.899902
keeper8_5	-777329,0,-633024	0,0	3149.360107
keeper8_6	-754126,0,-633212	0,0	3095.52002
keeper8_7	-781631,0,-639538	0,0	2874.800049
keeper8_8	-749265,0,-639506	0,0	2842.5
keeper9_1	-765512,0,-631893	0,0	1534.300049
keeper9_2	-769819,0,-631813	0,0	1588.140015
keeper9_3	-761313,0,-631813	0,0	1507.380005
keeper9_4	-765539,0,-639538	0,0	1507.380005
keeper9_5	-765539,0,-645541	0,0	1399.709961
keeper9_6	-765625,0,-659282	0,0	1401.959961
keeper9_7	-765274,0,-638431	0,0	12016
d102_02	-779919,1600,-554064	0,0	1100
d102_03	-776180,1600,-553970	0,0	1100
d102_01	-783922,1600,-553970	0,0	1100
d102_06	-774000,1600,-550294	0,0	1100
d102_07	-783845,1600,-546633	0,0	1100
d101_03	-794054,1600,-576441	0,0	1100
d104_04	-745462,1600,-572305	0,0	1100
d104_05	-753547,1600,-565092	0,0	1100
d104_06	-755338,1600,-569548	0,0	1100
d104_01	-753516,1600,-572445	0,0	1100
d104_03	-749419,1600,-572476	0,0	1100
d104_02	-744496,1600,-568738	0,0	1000
d102_05	-777613,1600,-550403	0,0	1200
d102_04	-781882,1600,-550278	0,0	1200
d203_01	-775499,1,-561665	0,0	800
d203_02	-784608,1,-564625	0,0	500
d203_03	-771273,1,-564411	0,0	700
d203_04	-784513,1,-559330	0,0	500
d204_01	-765450,1,-543604	0,0	500
d204_02	-768097,1,-543559	0,0	500
d208_01	-765421,1,-567035	0,0	500
d104_07	-745478,1600,-565248	0,0	1100
d104_08	-751568,1600,-568753	0,0	1200
d104_09	-747588,1600,-568865	0,0	600
d104_10	-751520,1600,-571149	0,0	500
d104_11	-749434,1600,-565217	0,0	1150
d104_12	-747588,1600,-568782	0,0	1100
d104_13	-747437,1600,-571217	0,0	500
d104_14	-751488,1600,-565864	0,0	500
d104_15	-747370,1600,-566053	0,0	500
d203_05	-775068,1,-564599	0,0	500
d203_06	-771795,1,-559128	0,0	500
d208_02	-764003,1,-576245	0,0	500
d208_03	-759892,1,-568928	0,0	699.8569946
d208_04	-762909,1,-571666	0,0	800
d102_08	-779850,1600,-546546	0,0	1100
d102_09	-775700,1600,-546565	0,0	1100
d102_10	-784810,1600,-550201	0,0	800
d102_11	-781880,1600,-550447	0,0	600
d102_12	-781981,1600,-552546	0,0	500
d102_13	-777794,1600,-552621	0,0	500
d102_14	-782000,1600,-547892	0,0	500
d102_15	-777757,1600,-548023	0,0	500
d204_03	-769645,1,-550846	0,0	500
d204_04	-769580,1,-547484	0,0	700
d204_05	-768128,1,-538532	0,0	500
d207_03	-757458,1,-560679	0,0	500
d207_04	-758087,1,-555505	0,0	861.3629761
d207_05	-754256,1,-555088	0,0	500
d207_06	-754013,1,-558074	0,0	800
d203_07	-782489,0,-564656	0,0	500
d208_05	-759830,0,-572305	0,0	636.072998
d208_07	-763808,0,-581424	0,0	500
d208_08	-761616,0,-566635	0,0	794.4420166
d207_01	-745105,0,-560585	0,0	500
d207_08	-747056,0,-560562	0,0	500
d204_08	-764243,0,-552697	0,0	600
d204_09	-766632,0,-549547	0,0	638.6690063
d208_09	-761744,0,-576193	0,0	500
d208_06	-761848,0,-581411	0,0	500
d207_02	-746922,0,-555313	0,0	583.2139893
d207_07	-744903,0,-555224	0,0	560.78302
d204_06	-765315,0,-538557	0,0	500
d203_08	-782527,0,-559369	0,0	500
pd001_1	-763161,0,-469535	0,0	600
pd001_2	-757264,0,-469474	0,0	1200
pd001_3	-758796,0,-469526	0,0	500
pd001_4	-755785,0,-469474	0,0	500
pd001_5	-750125,0,-469422	0,0	900
pd001_6	-751241,0,-470006	0,0	500
pd001_7	-751241,0,-468890	0,0	500
pd001_8	-748282,0,-470032	0,0	800
pd001_9	-747009,0,-468708	0,0	800
pd001_10	-744465,0,-469409	0,0	1000
pd001_11	-742154,0,-468513	0,0	500
pd001_12	-738805,0,-468435	0,0	500
pd001_13	-741661,0,-470551	0,0	500
pd001_14	-739117,0,-470499	0,0	500
pd001_15	-740259,0,-469188	0,0	1000
pd002_1	-735378,0,-468721	0,0	800
pd002_2	-733743,0,-469084	0,0	500
pd002_3	-732600,0,-468357	0,0	500
pd003_1	-730108,0,-468098	0,0	500
pd003_2	-728654,0,-467319	0,0	1000
pd003_3	-728914,0,-468955	0,0	500
pd001_16	-740272,0,-469175	0,0	493.2810059
pd001_17	-730121,0,-472836	0,0	1100
pd001_18	-732924,0,-472900	0,0	500
pd004_1	-730314,0,-475009	0,0	600
pd004_2	-730314,0,-476579	0,0	600
pd004_3	-733081,0,-477327	0,0	400
pd004_4	-732034,0,-477327	0,0	400
pd004_5	-730352,0,-478112	0,0	600
pd004_6	-731511,0,-479906	0,0	600
pd004_7	-730165,0,-480018	0,0	400
pd004_8	-729006,0,-479271	0,0	400
pd004_9	-727847,0,-479308	0,0	400
pd004_10	-726613,0,-479271	0,0	400
pd004_11	-725342,0,-479308	0,0	400
pd004_12	-724333,0,-480131	0,0	500
pd004_13	-723099,0,-481551	0,0	600
pd004_14	-725081,0,-484243	0,0	672.9400024
pd004_15	-725193,0,-482187	0,0	635.5540161
e211_1	-724019,0,-483017	0,0	400
pd004_16	-730296,0,-483476	0,0	500
pd004_17	-727604,0,-483589	0,0	1046.790039
pd004_18	-727529,0,-485421	0,0	500
pd003_5	-734786,0,-478194	0,0	800
pd004_19	-732543,0,-481424	0,0	400
pd003_6	-732694,0,-483782	0,0	900
pd003_7	-731434,0,-484589	0,0	500
pd003_8	-733469,0,-482522	0,0	500
pd005_1	-761389,0,-469760	0,0	500
pd005_2	-760290,0,-469266	0,0	500
pd005_3	-754077,0,-469760	0,0	500
pd005_4	-752933,0,-469244	0,0	500
pd005_5	-729694,0,-470388	0,0	807.5280151
pd001_19	-734539,0,-472923	0,0	900
pd003_9	-736872,0,-477319	0,0	1300
e212_1	-726195,0,-487615	0,0	1000
pd001_20	-729402,0,-488288	0,0	1000
pd001_21	-729380,0,-486852	0,0	1000
pd001_22	-727675,0,-487570	0,0	800
pd001_23	-727518,0,-489836	0,0	700
pd001_24	-730300,0,-491473	0,0	1000
pd001_25	-730479,0,-492483	0,0	600
pd001_26	-727653,0,-491540	0,0	1480.469971
pd005_6	-740317,0,-472476	0,0	800
pd003_4	-734697,0,-476126	0,0	800
pd002_4	-741415,0,-474253	0,0	800
pd002_5	-738961,0,-474253	0,0	800
pd002_6	-740285,0,-475933	0,0	1000
pd002_7	-740317,0,-478000	0,0	900
pd002_8	-742772,0,-479357	0,0	1705.77002
pd003_10	-743580,0,-482522	0,0	1200
pd003_11	-740059,0,-482554	0,0	1195.140015
pd003_12	-741636,0,-483954	0,0	800
pd003_13	-739833,0,-485758	0,0	1300
pd003_14	-740951,0,-488075	0,0	1100
pd003_15	-738056,0,-487184	0,0	500
pd003_16	-735176,0,-487346	0,0	1100
pd003_17	-736953,0,-487965	0,0	403.7640076
pd002_9	-741960,0,-490655	0,0	800
pd002_10	-740596,0,-490187	0,0	400
pd002_11	-738147,0,-490860	0,0	1200
pd002_12	-740539,0,-492281	0,0	1100
pd002_13	-737418,0,-492767	0,0	500
pd005_7	-735380,0,-491346	0,0	1100
pd005_8	-735380,0,-491346	0,0	500
pd002_14	-733231,0,-489982	0,0	900
pd002_15	-732838,0,-487421	0,0	900
pd002_16	-733534,0,-496735	0,0	1400
pd002_17	-734476,0,-494398	0,0	1000
pd002_18	-731111,0,-497413	0,0	995.9509888
pd002_19	-729529,0,-495895	0,0	995.9509888
pd002_20	-729173,0,-494075	0,0	600
pd002_21	-723602,0,-495879	0,0	500
pd002_22	-724867,0,-497413	0,0	1100
pd002_23	-725513,0,-493994	0,0	600
pd005_9	-738831,0,-495927	0,0	900
pd005_10	-736732,0,-495927	0,0	600
pd002_24	-732177,0,-500837	0,0	1800
pd002_25	-733566,0,-503809	0,0	1100
pd002_26	-732242,0,-503970	0,0	600
pd003_18	-741319,0,-496864	0,0	1100
pd003_19	-740382,0,-494893	0,0	550
pd003_20	-751232,0,-499534	0,0	1100
pd003_21	-751194,0,-492206	0,0	1100
pd003_22	-753449,0,-495578	0,0	400
pd003_23	-753471,0,-496408	0,0	400
pd003_24	-747530,0,-495982	0,0	2300
pd003_25	-752125,0,-494367	0,0	400
pd003_26	-750263,0,-494412	0,0	403.7640076
pd003_27	-748446,0,-494412	0,0	403.7640076
pd003_28	-752125,0,-497530	0,0	403.7640076
pd003_29	-750308,0,-497597	0,0	403.7640076
pd003_30	-748491,0,-497619	0,0	403.7640076
pd003_31	-745755,0,-496027	0,0	500
pd003_32	-752910,0,-491720	0,0	1100
pd003_33	-749434,0,-491608	0,0	1100
pd003_34	-752910,0,-500199	0,0	1100
pd003_35	-749366,0,-500199	0,0	1100
pd003_36	-754409,0,-494337	0,0	1200
pd003_37	-754522,0,-497552	0,0	1200
nd001_1	-795627,0,-373600	0,0	800
nd001_2	-795216,0,-372628	0,0	800
nd001_3	-795221,0,-375984	0,0	800
nd001_4	-795377,0,-377048	0,0	800
nd001_5	-797548,0,-377945	0,0	804.8270264
nd001_6	-798651,0,-379633	0,0	804.8270264
nd001_7	-798628,0,-380720	0,0	800
nd001_8	-797444,0,-380938	0,0	800.5
nd001_9	-801681,0,-381219	0,0	800.5
nd001_10	-802600,0,-381228	0,0	800.5
nd001_11	-803610,0,-381228	0,0	800
nd001_12	-795481,0,-382153	0,0	800
nd001_13	-795481,0,-383088	0,0	800
nd001_14	-794484,0,-383929	0,0	800
nd001_15	-804703,0,-381966	0,0	800
nd002_1	-804921,0,-386328	0,0	800
nd002_2	-804111,0,-387200	0,0	800
nd002_3	-802896,0,-387699	0,0	800
nd002_4	-801712,0,-390222	0,0	800
nd002_5	-801775,0,-392310	0,0	800
nd002_6	-802304,0,-393213	0,0	800
nd002_7	-801027,0,-393743	0,0	800
nd002_8	-802556,0,-394983	0,0	800
nd002_9	-800587,0,-396216	0,0	800
nd002_10	-801518,0,-397016	0,0	800.5
nd002_11	-801959,0,-397949	0,0	804.8270264
nd002_12	-801505,0,-399403	0,0	900
nd002_13	-800388,0,-400156	0,0	804.8270264
nd002_14	-796987,0,-400026	0,0	804.8270264
nd002_15	-795767,0,-400026	0,0	804.8270264
nd002_16	-793612,0,-399922	0,0	800
nd002_17	-792080,0,-398598	0,0	800
nd002_18	-791613,0,-397352	0,0	804.8270264
nd002_19	-787926,0,-396780	0,0	804.8270264
nd002_20	-786628,0,-397326	0,0	804.8270264
nd002_21	-785668,0,-399247	0,0	804.8270264
nd002_22	-783565,0,-400182	0,0	804.8270264
nd002_23	-782526,0,-400000	0,0	597.1300049
nd003_1	-791992,0,-385113	0,0	700
nd003_2	-792086,0,-386235	0,0	700
nd003_3	-791992,0,-387294	0,0	700
nd003_4	-791899,0,-390254	0,0	700
nd003_5	-790839,0,-390409	0,0	700
nd003_6	-787880,0,-389350	0,0	800
nd003_7	-786602,0,-391842	0,0	800
nd003_8	-785356,0,-390035	0,0	700
nd003_9	-783985,0,-390721	0,0	747.710022
nd003_10	-782739,0,-390752	0,0	685.401001
nd003_11	-780029,0,-390908	0,0	685.401001
nd003_12	-779437,0,-394241	0,0	654.2459717
nd003_13	-779406,0,-395082	0,0	623.09198
nd003_14	-779177,0,-396612	0,0	600
nd003_15	-779593,0,-399351	0,0	600
nd003_16	-778876,0,-400036	0,0	623.09198
nd003_17	-777007,0,-400316	0,0	623.09198
nd003_18	-776010,0,-400067	0,0	654.2459717
nd003_19	-773424,0,-399444	0,0	623.09198
nd003_20	-773050,0,-398541	0,0	591.9370117
nd003_22	-773054,0,-395917	0,0	654.2459717
nd003_21	-772561,0,-395154	0,0	672.9390259
nd004_1	-789765,0,-384069	0,0	747.710022
nd004_2	-789235,0,-383166	0,0	747.710022
nd004_3	-788300,0,-381328	0,0	685.401001
nd004_4	-785995,0,-380923	0,0	685.401001
nd004_5	-784274,0,-380699	0,0	700
nd004_6	-780614,0,-381776	0,0	685.401001
nd004_7	-783198,0,-380861	0,0	800
nd004_8	-781098,0,-379945	0,0	675.0159912
nd004_9	-778191,0,-380861	0,0	753.6920166
nd004_10	-777276,0,-381130	0,0	699.8569946
nd004_11	-775122,0,-381076	0,0	807.5269775
nd004_12	-774261,0,-381184	0,0	807.5269775
nd004_13	-772915,0,-382691	0,0	807.5269775
nd004_14	-773023,0,-384037	0,0	807.5269775
nd004_15	-773346,0,-386675	0,0	807.5269775
nd004_16	-774476,0,-387159	0,0	753.6920166
nd004_17	-776091,0,-389420	0,0	753.6920166
nd004_18	-775391,0,-390174	0,0	807.5269775
nd004_19	-773130,0,-392004	0,0	753.6920166
nd004_20	-770708,0,-393889	0,0	753.6920166
nd004_21	-769900,0,-392274	0,0	699.8569946
nd004_22	-768231,0,-390766	0,0	699.8569946
nd004_23	-766562,0,-392381	0,0	646.0219727
nd004_24	-766078,0,-393296	0,0	699.8569946
nd004_25	-763063,0,-393619	0,0	753.6920166
nd004_26	-761962,0,-393639	0,0	753.6920166
nd004_27	-759887,0,-393566	0,0	753.6920166
nd005_1	-757083,0,-393404	0,0	717.802002
nd005_2	-756320,0,-393987	0,0	717.802002
nd005_3	-755289,0,-397576	0,0	672.9390259
nd005_4	-755154,0,-396051	0,0	672.9390259
nd005_5	-752731,0,-396724	0,0	672.9390259
nd005_6	-752148,0,-397621	0,0	717.802002
nd005_7	-748941,0,-394279	0,0	628.0770264
nd005_8	-748492,0,-393292	0,0	717.802002
nd005_9	-750062,0,-392081	0,0	717.802002
nd005_10	-749030,0,-391632	0,0	628.0770264
nd005_11	-751094,0,-391453	0,0	672.9390259
nd005_12	-751408,0,-390555	0,0	628.0770264
nd005_13	-755401,0,-392036	0,0	672.9390259
nd005_14	-754773,0,-391228	0,0	700
nd005_15	-752933,0,-391228	0,0	672.9390259
e207_1	-753578,0,-392823	0,0	1800
nd006_1	-738514,0,-326568	0,0	800
nd006_2	-738676,0,-327591	0,0	753.6920166
nd006_3	-737491,0,-328990	0,0	699.8569946
nd006_4	-736415,0,-329152	0,0	750
nd006_5	-733077,0,-329502	0,0	699.8569946
nd006_6	-732377,0,-330363	0,0	699.8569946
nd006_7	-732054,0,-332517	0,0	699.8569946
nd006_8	-732216,0,-333701	0,0	753.6920166
nd006_9	-732646,0,-335262	0,0	807.5269775
nd006_10	-732431,0,-336393	0,0	699.8569946
nd006_11	-735661,0,-335639	0,0	753.6920166
nd006_12	-736792,0,-335693	0,0	753.6920166
nd006_13	-740291,0,-335639	0,0	753.6920166
nd006_14	-741421,0,-335962	0,0	753.6920166
nd006_15	-741745,0,-334239	0,0	699.8569946
nd006_16	-743467,0,-335154	0,0	753.6920166
nd006_17	-744436,0,-335208	0,0	800
nd006_18	-747720,0,-335666	0,0	699.8569946
nd006_19	-748635,0,-335720	0,0	753.6920166
nd006_20	-751219,0,-336097	0,0	753.6920166
nd006_21	-751435,0,-337066	0,0	753.6920166
nd007_1	-732485,0,-339273	0,0	699.8569946
nd007_2	-732216,0,-340403	0,0	699.8569946
nd007_3	-732307,0,-343854	0,0	753.6920166
nd007_4	-732759,0,-344759	0,0	710.6240234
nd007_5	-732307,0,-346438	0,0	710.6240234
nd007_6	-732242,0,-347278	0,0	710.6240234
nd007_7	-733664,0,-348376	0,0	710.6240234
nd007_8	-732824,0,-349152	0,0	710.6240234
nd007_9	-732307,0,-351025	0,0	750
nd007_10	-732113,0,-352188	0,0	710.6240234
nd007_11	-732113,0,-355676	0,0	775.2260132
nd007_12	-732049,0,-356775	0,0	710.6240234
nd007_13	-730175,0,-358131	0,0	710.6240234
nd007_14	-729012,0,-360457	0,0	775.2260132
nd007_15	-728948,0,-361684	0,0	775.2260132
nd007_16	-730627,0,-364333	0,0	775.2260132
nd007_17	-734633,0,-364398	0,0	710.6240234
nd007_18	-735473,0,-364591	0,0	710.6240234
nd007_19	-737733,0,-364462	0,0	710.6240234
nd007_20	-738638,0,-364591	0,0	710.6240234
nd007_21	-741609,0,-363945	0,0	710.6240234
nd007_22	-742514,0,-364397	0,0	710.6240234
nd007_23	-743547,0,-364332	0,0	710.6240234
nd007_24	-746519,0,-364365	0,0	710.6240234
nd007_25	-747423,0,-364235	0,0	710.6240234
nd007_26	-750266,0,-364235	0,0	710.6240234
nd008_1	-751429,0,-339557	0,0	775.2260132
nd008_2	-751364,0,-340785	0,0	775.2260132
nd008_3	-751364,0,-341560	0,0	775.2260132
nd008_4	-751429,0,-344726	0,0	775.2260132
nd008_5	-751364,0,-345565	0,0	775.2260132
nd008_6	-751429,0,-347826	0,0	710.6240234
nd008_7	-751558,0,-350540	0,0	775.2260132
nd008_8	-750977,0,-351638	0,0	775.2260132
nd008_9	-752075,0,-351509	0,0	775.2260132
nd008_10	-752721,0,-354158	0,0	775.2260132
nd008_11	-752075,0,-354933	0,0	775.2260132
nd008_12	-751364,0,-357388	0,0	775.2260132
nd008_13	-751235,0,-358357	0,0	775.2260132
nd008_14	-751300,0,-361651	0,0	775.2260132
nd008_15	-751364,0,-362814	0,0	710.6240234
nd008_16	-752075,0,-364365	0,0	710.6240234
nd008_17	-756791,0,-364171	0,0	775.2260132
nd008_18	-757760,0,-364558	0,0	775.2260132
nd008_19	-755757,0,-364558	0,0	775.2260132
nd008_20	-761636,0,-364558	0,0	775.2260132
nd008_21	-762928,0,-364235	0,0	710.6240234
nd008_22	-765835,0,-364429	0,0	775.2260132
nd009_1	-768419,0,-365517	0,0	753.6920166
nd009_2	-767612,0,-364117	0,0	750
nd009_3	-768473,0,-363202	0,0	807.5280151
nd009_4	-771219,0,-366163	0,0	753.6920166
nd009_5	-769873,0,-367939	0,0	699.8569946
nd009_6	-771865,0,-369339	0,0	753.6920166
nd009_7	-772484,0,-368747	0,0	699.8569946
nd009_8	-776468,0,-367347	0,0	753.6920166
nd009_9	-771945,0,-365302	0,0	807.5280151
nd009_10	-770707,0,-361318	0,0	699.8569946
nd009_11	-771515,0,-361210	0,0	807.5280151
nd009_12	-772968,0,-364709	0,0	807.5280151
nd009_13	-773130,0,-361560	0,0	807.5280151
e208_1	-775122,0,-363013	0,0	2045.73999
nd009_14	-772107,0,-363767	0,0	699.8569946
e207_2	-750338,0,-396219	0,0	1806.969971
nd010_1	-795660,0,-270821	0,0	753.6920166
nd010_3	-795391,0,-273836	0,0	699.8569946
nd010_2	-795391,0,-271628	0,0	699.8569946
nd010_4	-795768,0,-274697	0,0	753.6920166
nd010_5	-797706,0,-275504	0,0	753.6920166
nd010_6	-798674,0,-277119	0,0	753.6920166
nd010_7	-798567,0,-278142	0,0	753.6920166
nd010_8	-797598,0,-278358	0,0	699.8569946
nd010_9	-795552,0,-279704	0,0	753.6920166
nd010_10	-795283,0,-280619	0,0	699.8569946
nd010_11	-794637,0,-281426	0,0	753.6920166
nd010_12	-801474,0,-278573	0,0	807.5280151
nd010_13	-802766,0,-278681	0,0	753.6920166
