Category_Name	CashItem_TID	CashItem_Stack	CashItem_Price	CashItem_Type	CashItem_Description
	13886	1	450	1	This suit does have a complete set
	13887	1	450	1	This suit does have a complete set
	13939	1	450	1	This suit does have a complete set
	13940	1	450	1	This suit does have a complete set
	13941	1	450	1	This suit does have a complete set
	13993	1	450	1	This suit does have a complete set
	13994	1	450	1	This suit does have a complete set
	13995	1	450	1	This suit does have a complete set
	14314	1	450	1	This suit does not have a helmet
	14315	1	450	1	This suit does not have a helmet
	14316	1	450	1	This suit does not have a helmet
	14368	1	450	1	This suit does not have a helmet
	14369	1	450	1	This suit does not have a helmet
	14370	1	450	1	This suit does not have a helmet
	14422	1	450	1	This suit does have a complete set
	14423	1	450	1	This suit does have a complete set
	14424	1	450	1	This suit does have a complete set
	13615	1	450	1	This suit does not have a helmet
	13616	1	450	1	This suit does not have a helmet
	13617	1	450	1	This suit does not have a helmet
	7146	1	300	0	Suit <14 Days>
	7151	1	300	0	Suit <14 Days>
	7156	1	300	0	Suit <14 Days>
	7191	1	300	0	Suit <14 Days>
	7196	1	300	0	Suit <14 Days>
	7201	1	300	0	Suit <14 Days>
	7236	1	300	0	Suit <14 Days>
	7241	1	300	0	Suit <14 Days>
	7246	1	300	0	Suit <14 Days>
	7271	1	300	0	Suit <14 Days>
	7306	1	300	0	Suit <14 Days>
	7311	1	300	0	Suit <14 Days>
	7316	1	300	0	Suit <14 Days>
	7782	1	300	0	Suit <14 Days>
	7787	1	300	0	Suit <14 Days>
	7792	1	300	0	Suit <14 Days>
	9155	1	300	0	Suit <14 Days>
	9158	1	300	0	Suit <14 Days>
	9161	1	300	0	Suit <14 Days>
	11108	1	300	0	Suit <14 Days>
	11111	1	300	0	Suit <14 Days>
	11114	1	300	0	Suit <14 Days>
	11158	1	300	0	Suit <14 Days>
	11161	1	300	0	Suit <14 Days>
	11164	1	300	0	Suit <14 Days>
	11185	1	300	0	Suit <14 Days>
	11188	1	300	0	Suit <14 Days>
	11203	1	300	0	Suit <14 Days>
	11206	1	300	0	Suit <14 Days>
	11209	1	300	0	Suit <14 Days>
	11233	1	300	0	Suit <14 Days>
	11236	1	300	0	Suit <14 Days>
	11239	1	300	0	Suit <14 Days>
	11457	1	300	0	Suit <14 Days>
	11460	1	300	0	Suit <14 Days>
	11463	1	300	0	Suit <14 Days>
	11540	1	300	0	Suit <14 Days>
	11543	1	300	0	Suit <14 Days>
	11546	1	300	0	Suit <14 Days>
	12130	1	300	0	Suit <14 Days>
	12133	1	300	0	Suit <14 Days>
	12136	1	300	0	Suit <14 Days>
	12160	1	300	0	Suit <14 Days>
	12163	1	300	0	Suit <14 Days>
	12166	1	300	0	Suit <14 Days>
	12190	1	300	0	Suit <14 Days>
	12193	1	300	0	Suit <14 Days>
	12196	1	300	0	Suit <14 Days>
	12220	1	300	0	Suit <14 Days>
	12223	1	300	0	Suit <14 Days>
	12226	1	300	0	Suit <14 Days>
	12513	1	300	0	Suit <14 Days>
	12525	1	300	0	Suit <14 Days>
	12516	1	300	0	Suit <14 Days>
	12543	1	300	0	Suit <14 Days>
	12552	1	300	0	Suit <14 Days>
	12546	1	300	0	Suit <14 Days>
	12974	1	300	0	Suit <14 Days>
	12975	1	300	0	Suit <14 Days>
	12976	1	300	0	Suit <14 Days>
	13011	1	300	0	Suit <14 Days>
	13014	1	300	0	Suit <14 Days>
	13017	1	300	0	Suit <14 Days>
	13041	1	300	0	Suit <14 Days>
	13044	1	300	0	Suit <14 Days>
	13047	1	300	0	Suit <14 Days>
	13071	1	300	0	Suit <14 Days>
	13074	1	300	0	Suit <14 Days>
	13077	1	300	0	Suit <14 Days>
	13101	1	300	0	Suit <14 Days>
	13104	1	300	0	Suit <14 Days>
	13107	1	300	0	Suit <14 Days>
	13131	1	300	0	Suit <14 Days>
	13134	1	300	0	Suit <14 Days>
	13137	1	300	0	Suit <14 Days>
	13191	1	300	0	Suit <14 Days>
	13194	1	300	0	Suit <14 Days>
	13197	1	300	0	Suit <14 Days>
	13221	1	300	0	Suit <14 Days>
	13224	1	300	0	Suit <14 Days>
	13227	1	300	0	Suit <14 Days>
	13251	1	300	0	Suit <14 Days>
	13254	1	300	0	Suit <14 Days>
	13257	1	300	0	Suit <14 Days>
	31011	1	300	0	Suit <14 Days>
	31014	1	300	0	Suit <14 Days>
	31017	1	300	0	Suit <14 Days>
	31041	1	300	0	Suit <14 Days>
	31044	1	300	0	Suit <14 Days>
	31047	1	300	0	Suit <14 Days>
	31071	1	300	0	Suit <14 Days>
	31074	1	300	0	Suit <14 Days>
	31077	1	300	0	Suit <14 Days>
	31101	1	300	0	Suit <14 Days>
	31104	1	300	0	Suit <14 Days>
	31107	1	300	0	Suit <14 Days>
	31131	1	300	0	Suit <14 Days>
	31134	1	300	0	Suit <14 Days>
	31137	1	300	0	Suit <14 Days>
	31161	1	300	0	Suit <14 Days>
	31164	1	300	0	Suit <14 Days>
	31167	1	300	0	Suit <14 Days>
	7101	1	300	0	Suit <14 Days>
	7106	1	300	0	Suit <14 Days>
	7111	1	300	0	Suit <14 Days>
Moonelf					
	14170	1	500	1	This suit does have a complete set
	14171	1	500	1	This suit does have a Pirate Head
	14172	1	500	1	This suit does have a complete set
	13672	1	450	1	This suit does have a complete set
	13726	1	450	1	This suit does have a Pirate Head
	13727	1	450	1	This suit does have a Pirate Head
	13728	1	450	1	This suit does have a Pirate Head
	13782	1	450	1	This suit does not have a helmet
	13780	1	450	1	This suit does not have a helmet
	13781	1	450	1	This suit does not have a helmet
	13834	1	450	1	This suit does not have a helmet
	13835	1	450	1	This suit does not have a helmet
	13836	1	450	1	This suit does not have a helmet
	13888	1	450	1	This suit does have a complete set
	13889	1	450	1	This suit does have a complete set
	13890	1	450	1	This suit does have a complete set
	13942	1	450	1	This suit does have a complete set
	13943	1	450	1	This suit does have a complete set
	13944	1	450	1	This suit does have a complete set
	13997	1	450	1	This suit does have a Pirate Head
	14477	1	450	1	This suit does have a Pirate Head
	14317	1	450	1	This suit does not have a helmet
	14318	1	450	1	This suit does not have a helmet
	14319	1	450	1	This suit does not have a helmet
	14371	1	450	1	This suit does not have a helmet
	14372	1	450	1	This suit does not have a helmet
	14373	1	450	1	This suit does not have a helmet
	14425	1	450	1	This suit does have a complete set
	14426	1	450	1	This suit does have a complete set
	14427	1	450	1	This suit does have a complete set
	13618	1	300	1	This suit does not have a helmet
	13619	1	300	1	This suit does not have a helmet
	13620	1	300	1	This suit does not have a helmet
	7161	1	300	0	Suit <14 Days>
	7166	1	300	0	Suit <14 Days>
	7171	1	300	0	Suit <14 Days>
	7206	1	300	0	Suit <14 Days>
	7211	1	300	0	Suit <14 Days>
	7216	1	300	0	Suit <14 Days>
	7251	1	300	0	Suit <14 Days>
	7256	1	300	0	Suit <14 Days>
	7261	1	300	0	Suit <14 Days>
	7276	1	300	0	Suit <14 Days>
	7281	1	300	0	Suit <14 Days>
	7286	1	300	0	Suit <14 Days>
	7321	1	300	0	Suit <14 Days>
	7326	1	300	0	Suit <14 Days>
	7331	1	300	0	Suit <14 Days>
	7797	1	300	0	Suit <14 Days>
	7802	1	300	0	Suit <14 Days>
	7807	1	300	0	Suit <14 Days>
	9164	1	300	0	Suit <14 Days>
	9167	1	300	0	Suit <14 Days>
	9170	1	300	0	Suit <14 Days>
	11117	1	300	0	Suit <14 Days>
	11120	1	300	0	Suit <14 Days>
	11123	1	300	0	Suit <14 Days>
	11167	1	300	0	Suit <14 Days>
	11170	1	300	0	Suit <14 Days>
	11173	1	300	0	Suit <14 Days>
	11212	1	300	0	Suit <14 Days>
	11215	1	300	0	Suit <14 Days>
	11218	1	300	0	Suit <14 Days>
	11242	1	300	0	Suit <14 Days>
	11245	1	300	0	Suit <14 Days>
	11248	1	300	0	Suit <14 Days>
	11466	1	300	0	Suit <14 Days>
	11469	1	300	0	Suit <14 Days>
	11472	1	300	0	Suit <14 Days>
	11549	1	300	0	Suit <14 Days>
	11552	1	300	0	Suit <14 Days>
	11555	1	300	0	Suit <14 Days>
	12139	1	300	0	Suit <14 Days>
	12142	1	300	0	Suit <14 Days>
	12145	1	300	0	Suit <14 Days>
	12169	1	300	0	Suit <14 Days>
	12172	1	300	0	Suit <14 Days>
	12175	1	300	0	Suit <14 Days>
	12199	1	300	0	Suit <14 Days>
	12202	1	300	0	Suit <14 Days>
	12205	1	300	0	Suit <14 Days>
	12229	1	300	0	Suit <14 Days>
	12232	1	300	0	Suit <14 Days>
	12235	1	300	0	Suit <14 Days>
	12534	1	300	0	Suit <14 Days>
	12529	1	300	0	Suit <14 Days>
	12528	1	300	0	Suit <14 Days>
	12555	1	300	0	Suit <14 Days>
	12558	1	300	0	Suit <14 Days>
	12561	1	300	0	Suit <14 Days>
	12977	1	300	0	Suit <14 Days>
	12978	1	300	0	Suit <14 Days>
	12979	1	300	0	Suit <14 Days>
	13020	1	300	0	Suit <14 Days>
	13023	1	300	0	Suit <14 Days>
	13026	1	300	0	Suit <14 Days>
	13050	1	300	0	Suit <14 Days>
	13053	1	300	0	Suit <14 Days>
	13056	1	300	0	Suit <14 Days>
	13080	1	300	0	Suit <14 Days>
	13083	1	300	0	Suit <14 Days>
	13086	1	300	0	Suit <14 Days>
	13110	1	300	0	Suit <14 Days>
	13113	1	300	0	Suit <14 Days>
	13116	1	300	0	Suit <14 Days>
	13140	1	300	0	Suit <14 Days>
	13143	1	300	0	Suit <14 Days>
	13146	1	300	0	Suit <14 Days>
	13200	1	300	0	Suit <14 Days>
	13203	1	300	0	Suit <14 Days>
	13206	1	300	0	Suit <14 Days>
	13230	1	300	0	Suit <14 Days>
	13233	1	300	0	Suit <14 Days>
	13236	1	300	0	Suit <14 Days>
	13260	1	300	0	Suit <14 Days>
	13263	1	300	0	Suit <14 Days>
	13266	1	300	0	Suit <14 Days>
	31020	1	300	0	Suit <14 Days>
	31023	1	300	0	Suit <14 Days>
	31026	1	300	0	Suit <14 Days>
	31050	1	300	0	Suit <14 Days>
	31053	1	300	0	Suit <14 Days>
	31056	1	300	0	Suit <14 Days>
	31080	1	300	0	Suit <14 Days>
	31083	1	300	0	Suit <14 Days>
	31086	1	300	0	Suit <14 Days>
	31110	1	300	0	Suit <14 Days>
	31113	1	300	0	Suit <14 Days>
	31116	1	300	0	Suit <14 Days>
	31140	1	300	0	Suit <14 Days>
	31143	1	300	0	Suit <14 Days>
	31170	1	300	0	Suit <14 Days>
	31173	1	300	0	Suit <14 Days>
	7116	1	300	0	Suit <14 Days>
	7121	1	300	0	Suit <14 Days>
	7126	1	300	0	Suit <14 Days>
