tid	Description	Upper_Body	Lower_Body	Weapon	Shield	Head	Ring	Necklace	Shoes	Gloves	Refined	Gacha	Type	PointType	Item_Level_Min	Item_Level_Max	Level_limit	Rank_Min	Rank_Max	Probability	Skill_level	Skill_id	ATK_Range_bonus	ATK_Speed_bonus	Movement_Run_bonus	PhysicalDamage	PhysicalAttackResist	SkillBlockRate	MagicDamage	WaterDamage	FireDamage	EarthDamage	AirDamage	PoisonDamage	IceDamage	LinghtningDamage	Fire Res.	Water Res.	Air Res.	Earth Res.	Magic Res.	Poison Res.	Ice Res.	Thunder Res.	Physical_Defense_Point	Physical_ATKRate	Magic_ATKRate 	BlockRate	Magic_Defense_Point	Water_Defense_Point	Fire_Defense_Point	Earth_Defense_Point	Air_Defense_Point	Poison_Defense_Point	Ice_Defense_Point	Linghtning_Defense_Point	Hp_Bonus_Point	Mp_Bonus_Point	Hp_Bonus_Percent	Mp_Bonus_Percent	Str_Bonus_Point	Dex_Bonus_Point	Int_Bonus_Point	Con_Bonus_Point	Wis_Bonus_Point	PhysicalRank	skill_type	duration	skill_rate	Critical	stun_time	damage_convert_hp	regen_hp	regen_mp	dot_damage_time	skill_cast	skill_delay	skill_levelup	bonus_exp	bonus_money	bonus_drop_rate	evade_rate	dodge_rate	visible	Level_min	Level_max	Link_id	Heroic_Min_Damage	Heroic_Max_Damage	Heroic_Defense_Point	Ignore_Physical_Defense_Rate	Ignore_Attribute_Defense_Rate	Critical_Defense_Rate	ReinforcementRate	Ignore_PhysicalAttackResist	Ignore_BlockRate	Ignore_SkillBlockRate	Ignore_EvadeRate	Ignore_DodgeRate	Ignore_CriticalDefenseRate	Ignore_StunDefenseRate	Add_Debuff_Duration
137	Movement Speed +10%												8	1			1	1	4						10																																																											¡Û																		
138	Attack Speed +10%												9	1			1	1	4					10																																																												¡Û																		
139	Admin +100% Resistance and Skill Block																										100	100																																																								¡Û																		
140	Admin +300k HP																																																								300000																											¡Û																		
141	Admin +100% MS																								100																																																											¡Û																		
142	N Resistance 4%												56		21	30		1	1	800							4																																																									¡Û																		
143	N Resistance 5%												56		30	39		1	1	700							5																																																									¡Û																		
144	N Resistance 6%												56		39	48		1	1	600							6																																																									¡Û																		
145	N Resistance 7%												56		48	56		1	1	500							7																																																									¡Û																		
146	N Resistance 8%												56		56	64		1	1	400							8																																																									¡Û																		
147	N Resistance 9%												56		64	72		1	1	300							9																																																									¡Û																		
148	N Resistance 10%												56		72	72		1	1	200							10																																																									¡Û																		
149	R Resistance 2%												57		7	7		2	2	1000							2																																																									¡Û																		
150	R Resistance 3%												57		7	14		2	2	900							3																																																									¡Û																		
151	R Resistance 4%												57		14	26		2	2	800							4																																																									¡Û																		
152	R Resistance 5%												57		14	35		2	2	700							5																																																									¡Û																		
153	R Resistance 6%												57		35	44		2	2	600							6																																																									¡Û																		
154	R Resistance 7%												57		44	52		2	2	500							7																																																									¡Û																		
155	R Resistance 8%												57		52	60		2	2	400							8																																																									¡Û																		
156	R Resistance 9%												57		60	68		2	2	300							9																																																									¡Û																		
157	R Resistance 10%												57		68	76		2	2	200							10																																																									¡Û																		
158	R Resistance 11%												57		76	76		2	2	100							11																																																									¡Û																		
159	U Resistance 3%												58		15	15		3	3	1000							3																																																									¡Û																		
160	U Resistance 4%												58		15	26		3	3	900							4																																																									¡Û																		
161	U Resistance 5%												58		26	35		3	3	800							5																																																									¡Û																		
162	U Resistance 6%												58		35	44		3	3	700							6																																																									¡Û																		
163	U Resistance 7%												58		44	52		3	3	600							7																																																									¡Û																		
164	U Resistance 8%												58		52	60		3	3	500							8																																																									¡Û																		
165	U Resistance 9%												58		60	68		3	3	400							9																																																									¡Û																		
166	U Resistance 10%												58		68	76		3	3	300							10																																																									¡Û																		
167	U Resistance 11%												58		76	90		3	3	200							11																																																									¡Û																		
168	U Resistance 12%												58		76	90		3	3	100							12																																																									¡Û																		
169	U Resistance 13%												58		76	90		3	3	100							13																																																									¡Û																		
170	E Resistance 4%												59		15	15		4	4	1000							4																																																									¡Û																		
171	E Resistance 5%												59		15	26		4	4	900							5																																																									¡Û																		
172	E Resistance 6%												59		26	35		4	4	800							6																																																									¡Û																		
173	E Resistance 7%												59		35	44		4	4	700							7																																																									¡Û																		
174	E Resistance 8%												59		44	52		4	4	600							8																																																									¡Û																		
175	E Resistance 9%												59		52	60		4	4	500							9																																																									¡Û																		
176	E Resistance 10%												59		60	68		4	4	400							10																																																									¡Û																		
177	E Resistance 11%												59		68	76		4	4	300							11																																																									¡Û																		
178	E Resistance 12%												59		76	90		4	4	200							12																																																									¡Û																		
179	E Resistance 13%												59		76	90		4	4	100							13																																																									¡Û																		
180	E Resistance 14%												59		76	90		4	4	100							14																																																									¡Û																		
181	E Resistance 15%												59		76	97		4	4	100							15																																																									¡Û																		
182	N Skill Block 1%												60		2	2		1	1	1000								1																																																								¡Û																		
183	N Skill Block 2%												60		2	12		1	1	900								2																																																								¡Û																		
184	N Skill Block 3%												60		12	21		1	1	800								3																																																								¡Û																		
185	N Skill Block 4%												60		21	30		1	1	700								4																																																								¡Û																		
186	N Skill Block 5%												60		30	39		1	1	600								5																																																								¡Û																		
187	N Skill Block 6%												60		39	48		1	1	500								6																																																								¡Û																		
188	N Skill Block 7%												60		48	56		1	1	400								7																																																								¡Û																		
189	Skill Block +8%												60		56	64		1	1	300								8																																																								¡Û																		
190	N Skill Block 9%												60		64	72		1	1	200								9																																																								¡Û																		
191	N Skill Block 10%												60		72	72		1	1	100								10																																																								¡Û																		
192	R Skill Block 2%												61		7	7		2	2	1000								2																																																								¡Û																		
193	R Skill Block 3%												61		7	14		2	2	900								3																																																								¡Û																		
194	R Skill Block 4%												61		14	26		2	2	800								4																																																								¡Û																		
195	R Skill Block 5%												61		14	35		2	2	700								5																																																								¡Û																		
196	R Skill Block 6%												61		35	44		2	2	600								6																																																								¡Û																		
197	R Skill Block 7%												61		44	52		2	2	500								7																																																								¡Û																		
198	R Skill Block 8%												61		52	60		2	2	400								8																																																								¡Û																		
199	R Skill Block 9%												61		60	68		2	2	300								9																																																								¡Û																		
200	R Skill Block 10%												61		68	76		2	2	200								10																																																								¡Û																		
201	R Skill Block 11%												61		76	76		2	2	100								11																																																								¡Û																		
202	U Skill Block 3%												62		15	15		3	3	1000								3																																																								¡Û																		
203	U Skill Block 4%												62		15	26		3	3	900								4																																																								¡Û																		
204	U Skill Block 5%												62		26	35		3	3	800								5																																																								¡Û																		
205	U Skill Block 6%												62		35	44		3	3	700								6																																																								¡Û																		
206	U Skill Block 7%												62		44	52		3	3	600								7																																																								¡Û																		
207	U Skill Block 8%												62		52	60		3	3	500								8																																																								¡Û																		
208	U Skill Block 9%												62		60	68		3	3	400								9																																																								¡Û																		
209	U Skill Block 10%												62		68	76		3	3	300								10																																																								¡Û																		
210	U Skill Block 11%												62		76	90		3	3	200								11																																																								¡Û																		
211	U Skill Block 12%												62		76	90		3	3	100								12																																																								¡Û																		
212	U Skill Block 13%												62		76	90		3	3	50								13																																																								¡Û																		
213	E Skill Block 4%												63		15	15		4	4	1000								4																																																								¡Û																		
214	E Skill Block 5%												63		15	26		4	4	900								5																																																								¡Û																		
215	E Skill Block 6%												63		26	35		4	4	800								6																																																								¡Û																		
216	E Skill Block 7%												63		35	44		4	4	700								7																																																								¡Û																		
217	E Skill Block 8%												63		44	52		4	4	600								8																																																								¡Û																		
218	E Skill Block 9%												63		52	60		4	4	500								9																																																								¡Û																		
219	E Skill Block 10%												63		60	68		4	4	400								10																																																								¡Û																		
220	E Skill Block 11%												63		68	76		4	4	300								11																																																								¡Û																		
221	E Skill Block 12%												63		76	90		4	4	200								12																																																								¡Û																		
222	E Skill Block 13%												63		76	90		4	4	100								13																																																								¡Û																		
223	E Skill Block 14%												63		76	90		4	4	50								14																																																								¡Û																		
224	E Skill Block 15%												63		83	90		4	4	40								15																																																								¡Û																		
225	N Max. Hp 1%												64		2	2		1	1	1000																																							1																									¡Û																		
226	N Max. Hp 2%												64		2	12		1	1	900																																							2																									¡Û																		
227	N Max. Hp 3%												64		12	21		1	1	800																																							3																									¡Û																		
228	N Max. Hp 4%												64		21	30		1	1	700																																							4																									¡Û																		
229	Max. Hp +5%												64		30	39		1	1	600																																							5																									¡Û																		
230	N Max. Hp 6%												64		39	48		1	1	500																																							6																									¡Û																		
231	N Max. Hp 7%												64		48	56		1	1	400																																							7																									¡Û																		
232	N Max. Hp 8%												64		56	64		1	1	300																																							8																									¡Û																		
233	N Max. Hp 9%												64		64	72		1	1	200																																							9																									¡Û																		
234	N Max. Hp 10%												64		72	72		1	1	100																																							10																									¡Û																		
235	R Max. Hp 2%												65		7	7		2	2	1000																																							2																									¡Û																		
236	R Max. Hp 3%												65		7	14		2	2	900																																							3																									¡Û																		
237	R Max. Hp 4%												65		14	26		2	2	800																																							4																									¡Û																		
238	R Max. Hp 5%												65		14	35		2	2	700																																							5																									¡Û																		
239	R Max. Hp 6%												65		35	44		2	2	600																																							6																									¡Û																		
240	R Max. Hp 7%												65		44	52		2	2	500																																							7																									¡Û																		
241	R Max. Hp 8%												65		52	60		2	2	400																																							8																									¡Û																		
242	R Max. Hp 9%												65		60	68		2	2	300																																							9																									¡Û																		
243	R Max. Hp 10%												65		68	76		2	2	200																																							10																									¡Û																		
244	R Max. Hp 11%												65		76	76		2	2	100																																							11																									¡Û																		
245	U Max. Hp 3%												66		15	15		3	3	1000																																							3																									¡Û																		
246	U Max. Hp 4%												66		15	26		3	3	900																																							4																									¡Û																		
247	U Max. Hp 5%												66		26	35		3	3	800																																							5																									¡Û																		
248	U Max. Hp 6%												66		35	44		3	3	700																																							6																									¡Û																		
249	U Max. Hp 7%												66		44	52		3	3	600																																							7																									¡Û																		
250	U Max. Hp 8%												66		52	60		3	3	500																																							8																									¡Û																		
251	U Max. Hp 9%												66		60	68		3	3	400																																							9																									¡Û																		
252	U Max. Hp 10%												66		68	76		3	3	300																																							10																									¡Û																		
253	U Max. Hp 11%												66		76	90		3	3	200																																							11																									¡Û																		
254	U Max. Hp 12%												66		76	90		3	3	100																																							12																									¡Û																		
255	U Max. Hp 13%												66		76	90		3	3	50																																							13																									¡Û																		
256	E Max. Hp 4%												67		15	15		4	4	1000																																							4																									¡Û																		
257	E Max. Hp 5%												67		15	26		4	4	900																																							5																									¡Û																		
258	E Max. Hp 6%												67		26	35		4	4	800																																							6																									¡Û																		
259	E Max. Hp 7%												67		35	44		4	4	700																																							7																									¡Û																		
260	E Max. Hp 8%												67		44	52		4	4	600																																							8																									¡Û																		
261	E Max. Hp 9%												67		52	60		4	4	500																																							9																									¡Û																		
262	E Max. Hp 10%												67		60	68		4	4	400																																							10																									¡Û																		
263	E Max. Hp 11%												67		68	76		4	4	300																																							11																									¡Û																		
264	E Max. Hp 12%												67		76	90		4	4	200																																							12																									¡Û																		
265	E Max. Hp 13%												67		76	90		4	4	100																																							13																									¡Û																		
266	E Max. Hp 14%												67		76	90		4	4	50																																							14																									¡Û																		
267	E Max. Hp 15%												67		83	97		4	4	40																																							15																									¡Û																		
268	N Max. Mp 1%												68		2	2		1	1	1000																																								1																								¡Û																		
269	N Max. Mp 2%												68		2	12		1	1	900																																								2																								¡Û																		
270	N Max. Mp 3%												68		12	21		1	1	800																																								3																								¡Û																		
271	N Max. Mp 4%												68		21	30		1	1	700																																								4																								¡Û																		
272	N Max. Mp 5%												68		30	39		1	1	600																																								5																								¡Û																		
273	N Max. Mp 6%												68		39	48		1	1	500																																								6																								¡Û																		
274	N Max. Mp 7%												68		48	56		1	1	400																																								7																								¡Û																		
275	N Max. Mp 8%												68		56	64		1	1	300																																								8																								¡Û																		
276	N Max. Mp 9%												68		64	72		1	1	200																																								9																								¡Û																		
277	N Max. Mp 10%												68		72	72		1	1	100																																								10																								¡Û																		
278	R Max. Mp 2%												69		7	7		2	2	1000																																								2																								¡Û																		
279	R Max. Mp 3%												69		7	14		2	2	900																																								3																								¡Û																		
280	R Max. Mp 4%												69		14	26		2	2	800																																								4																								¡Û																		
281	R Max. Mp 5%												69		14	35		2	2	700																																								5																								¡Û																		
282	R Max. Mp 6%												69		35	44		2	2	600																																								6																								¡Û																		
283	R Max. Mp 7%												69		44	52		2	2	500																																								7																								¡Û																		
284	R Max. Mp 8%												69		52	60		2	2	400																																								8																								¡Û																		
285	R Max. Mp 9%												69		60	68		2	2	300																																								9																								¡Û																		
286	R Max. Mp 10%												69		68	76		2	2	200																																								10																								¡Û																		
287	R Max. Mp 11%												69		76	76		2	2	100																																								11																								¡Û																		
288	U Max. Mp 3%												70		15	15		3	3	1000																																								3																								¡Û																		
289	U Max. Mp 4%												70		15	26		3	3	900																																								4																								¡Û																		
290	U Max. Mp 5%												70		26	35		3	3	800																																								5																								¡Û																		
291	U Max. Mp 6%												70		35	44		3	3	700																																								6																								¡Û																		
292	U Max. Mp 7%												70		44	52		3	3	600																																								7																								¡Û																		
293	U Max. Mp 8%												70		52	60		3	3	500																																								8																								¡Û																		
294	U Max. Mp 9%												70		60	68		3	3	400																																								9																								¡Û																		
295	U Max. Mp 10%												70		68	76		3	3	300																																								10																								¡Û																		
296	U Max. Mp 11%												70		76	90		3	3	200																																								11																								¡Û																		
297	U Max. Mp 12%												70		76	90		3	3	100																																								12																								¡Û																		
298	U Max. Mp 13%												70		76	90		3	3	50																																								13																								¡Û																		
299	E Max. Mp 4%												71		15	15		4	4	1000																																								4																								¡Û																		
300	E Max. Mp 5%												71		15	26		4	4	900																																								5																								¡Û																		
301	E Max. Mp 6%												71		26	35		4	4	800																																								6																								¡Û																		
302	E Max. Mp 7%												71		35	44		4	4	700																																								7																								¡Û																		
303	E Max. Mp 8%												71		44	52		4	4	600																																								8																								¡Û																		
304	E Max. Mp 9%												71		52	60		4	4	500																																								9																								¡Û																		
305	E Max. Mp 10%												71		60	68		4	4	400																																								10																								¡Û																		
306	E Max. Mp 11%												71		68	76		4	4	300																																								11																								¡Û																		
307	E Max. Mp 12%												71		76	90		4	4	200																																								12																								¡Û																		
308	E Max. Mp 13%												71		76	90		4	4	100																																								13																								¡Û																		
309	E Max. Mp 14%												71		76	90		4	4	50																																								14																								¡Û																		
310	E Max. Mp 15%												71		83	90		4	4	40																																								15																								¡Û																		
311	N Bonus Gold 1%												72		2	2		1	1	1000																																																												1				¡Û																		
312	N Bonus Gold 2%												72		2	12		1	1	900																																																												2				¡Û																		
313	N Bonus Gold 3%												72		12	21		1	1	800																																																												3				¡Û																		
314	N Bonus Gold 4%												72		21	30		1	1	700																																																												4				¡Û																		
315	N Bonus Gold 5%												72		30	39		1	1	600																																																												5				¡Û																		
316	N Bonus Gold 6%												72		39	48		1	1	500																																																												6				¡Û																		
317	N Bonus Gold 7%												72		48	56		1	1	400																																																												7				¡Û																		
318	N Bonus Gold 8%												72		56	64		1	1	300																																																												8				¡Û																		
319	N Bonus Gold 9%												72		64	72		1	1	200																																																												9				¡Û																		
320	N Bonus Gold 10%												72		72	72		1	1	100																																																												10				¡Û																		
321	R Bonus Gold 2%												73		7	7		2	2	1000																																																												2				¡Û																		
322	R Bonus Gold 3%												73		7	14		2	2	900																																																												3				¡Û																		
323	R Bonus Gold 4%												73		14	26		2	2	800																																																												4				¡Û																		
324	R Bonus Gold 5%												73		14	35		2	2	800																																																												5				¡Û																		
