name2	skill_level2	damage_a2	damage_magic2	damage_water2	damage_air2	damage_earth2	damage_fire2	damage_poison2	damage_ice2	damage_thunder2	damage_a_PERCENT2	damage_magic_PERCENT2	damage_water_PERCENT2	damage_air_PERCENT2	damage_earth_PERCENT2	damage_fire_PERCENT2	damage_poison_PERCENT2	damage_ice_PERCENT2	damage_thunder_PERCENT2	damage_c_PERCENT2	cost_hp2	cost_mp2	duration2	interval2	dot_dmg_a2	dot_dmg_magic2	dot_dmg_water2	dot_dmg_air2	dot_dmg_earth2	dot_dmg_fire2	dot_dmg_poison2	dot_dmg_ice2	dot_dmg_thunder2	dot_dmg_a_PERCENT2	dot_dmg_magic_PERCENT2	dot_dmg_water_PERCENT2	dot_dmg_air_PERCENT2	dot_dmg_earth_PERCENT2	dot_dmg_fire_PERCENT2	dot_dmg_poison_PERCENT2	dot_dmg_ice_PERCENT2	dot_dmg_thunder_PERCENT2	stun_time2	skill_rate2	aggrodoll_hp2	dot_damage_time2	death2	specific_skill_levelup2	Connection_TID2	Skill_Union2	Skill_Union_Control2	Max_Skill_Union2	bonus_drop_add_rate2	velocity2	ea_damage_physical2	ea_damage_magic2	ea_damage_water2	ea_damage_air2	ea_damage_earth2	ea_damage_fire2	ea_damage_poison2	ea_damage_ice2	ea_damage_thunder2	ea_damage_c2	ea_damage_physical_PERCENT2	ea_damage_magic_PERCENT2	ea_damage_water_PERCENT2	ea_damage_air_PERCENT2	ea_damage_earth_PERCENT2	ea_damage_fire_PERCENT2	ea_damage_poison_PERCENT2	ea_damage_ice_PERCENT2	ea_damage_thunder_PERCENT2	ea_damage_c_PERCENT2	FACTOR_POINT2	con2	str2	int2	dex2	cha2	wis2	movement2	hp2	mp2	sp2	ap2	agro2	max_hp2	max_mp2	max_sp2	atk_speed2	atk_range2	skill_cast2	skill_delay2	hit_rate2	evade_rate2	dodge_rate2	dmg_min_physical2	dmg_min_magic2	dmg_min_water2	dmg_min_air2	dmg_min_earth2	dmg_min_fire2	dmg_min_poison2	dmg_min_ice2	dmg_min_thunder2	dmg_max_physical2	dmg_max_magic2	dmg_max_water2	dmg_max_air2	dmg_max_earth2	dmg_max_fire2	dmg_max_poison2	dmg_max_ice2	dmg_max_thunder2	def_point_physical2	def_point_magic2	def_point_water2	def_point_air2	def_point_earth2	def_point_fire2	def_point_poison2	def_point_ice2	def_point_thunder2	physical_resistance2	physical_block2	skill_block2	FACTOR_PERCENT2	con2	str2	int2	dex2	cha2	wis2	movement2	hp2	mp2	sp2	ap2	agro2	max_hp2	max_mp2	max_sp2	atk_speed2	atk_range2	skill_cast2	skill_delay2	hit_rate2	evade_rate2	dodge_rate2	dmg_min_physical2	dmg_min_magic2	dmg_min_water2	dmg_min_air2	dmg_min_earth2	dmg_min_fire2	dmg_min_poison2	dmg_min_ice2	dmg_min_thunder2	dmg_max_physical2	dmg_max_magic2	dmg_max_water2	dmg_max_air2	dmg_max_earth2	dmg_max_fire2	dmg_max_poison2	dmg_max_ice2	dmg_max_thunder2	def_point_physical2	def_point_magic2	def_point_water2	def_point_air2	def_point_earth2	def_point_fire2	def_point_poison2	def_point_ice2	def_point_thunder2	physical_resistance2	physical_block2	skill_block2	ignore_physical_defence_percent2	ignore_attribute_defence_percent2	critical_defence_percent2	durability_percent2	durability_num2
Natural Warrior	1																																																																																																																																																																																						4		
	2																																																																																																																																																																																						6		
	3																																																																																																																																																																																						8		
	4																																																																																																																																																																																						10		
	5																																																																																																																																																																																						12		
	6																																																																																																																																																																																						14		
	7																																																																																																																																																																																						16		
	8																																																																																																																																																																																						18		
	9																																																																																																																																																																																						20		
	10																																																																																																																																																																																						22		
	11																																																																																																																																																																																						24		
	12																																																																																																																																																																																						26		
	13																																																																																																																																																																																						28		
	14																																																																																																																																																																																						30		
	15																																																																																																																																																																																						32		
Axe Smash	1																																																																																																																																																																																						-2		
	2																																																																																																																																																																																						-4		
	3																																																																																																																																																																																						-6		
	4																																																																																																																																																																																						-8		
	5																																																																																																																																																																																						-10		
	6																																																																																																																																																																																						-12		
	7																																																																																																																																																																																						-14		
	8																																																																																																																																																																																						-16		
	9																																																																																																																																																																																						-18		
	10																																																																																																																																																																																						-20		
	11																																																																																																																																																																																						-22		
	12																																																																																																																																																																																						-24		
	13																																																																																																																																																																																						-26		
	14																																																																																																																																																																																						-28		
	15																																																																																																																																																																																						-30		
	16																																																																																																																																																																																						-32		
	17																																																																																																																																																																																						-34		
	18																																																																																																																																																																																						-36		
	19																																																																																																																																																																																						-38		
	20																																																																																																																																																																																						-40		
Mana Absorb	1																																																																																																																																																																																					1			
	2																																																																																																																																																																																					2			
	3																																																																																																																																																																																					3			
	4																																																																																																																																																																																					4			
	5																																																																																																																																																																																					5			
	6																																																																																																																																																																																					6			
	7																																																																																																																																																																																					7			
	8																																																																																																																																																																																					8			
	9																																																																																																																																																																																					9			
	10																																																																																																																																																																																					10			
	11																																																																																																																																																																																					10			
	12																																																																																																																																																																																					10			
	13																																																																																																																																																																																					10			
	14																																																																																																																																																																																					10			
	15																																																																																																																																																																																					10			
	16																																																																																																																																																																																					10			
	17																																																																																																																																																																																					10			
	18																																																																																																																																																																																					10			
	19																																																																																																																																																																																					10			
	20																																																																																																																																																																																					10			
Hyper Soul	1																																																																																																																																																																																						4		
	2																																																																																																																																																																																						6		
	3																																																																																																																																																																																						8		
	4																																																																																																																																																																																						10		
	5																																																																																																																																																																																						12		
	6																																																																																																																																																																																						14		
	7																																																																																																																																																																																						16		
	8																																																																																																																																																																																						18		
	9																																																																																																																																																																																						20		
	10																																																																																																																																																																																						20		
	11																																																																																																																																																																																						20		
	12																																																																																																																																																																																						20		
	13																																																																																																																																																																																						20		
	14																																																																																																																																																																																						20		
	15																																																																																																																																																																																						20		
	16																																																																																																																																																																																						20		
	17																																																																																																																																																																																						20		
	18																																																																																																																																																																																						20		
	19																																																																																																																																																																																						20		
	20																																																																																																																																																																																						20		
Paint With Blood	1																																																																																																																																																																																				10				
	2																																																																																																																																																																																				11				
	3																																																																																																																																																																																				12				
	4																																																																																																																																																																																				13				
	5																																																																																																																																																																																				14				
	6																																																																																																																																																																																				15				
	7																																																																																																																																																																																				16				
	8																																																																																																																																																																																				17				
	9																																																																																																																																																																																				18				
	10																																																																																																																																																																																				19				
	11																																																																																																																																																																																				20				
	12																																																																																																																																																																																				21				
	13																																																																																																																																																																																				22				
	14																																																																																																																																																																																				23				
	15																																																																																																																																																																																				24				
Sudden Deluge	1																																																																																																																																																																																					10	-2		
	2																																																																																																																																																																																					12	-4		
	3																																																																																																																																																																																					14	-6		
	4																																																																																																																																																																																					16	-8		
	5																																																																																																																																																																																					18	-10		
	6																																																																																																																																																																																					20	-12		
	7																																																																																																																																																																																					22	-14		
	8																																																																																																																																																																																					24	-16		
	9																																																																																																																																																																																					26	-18		
	10																																																																																																																																																																																					28	-20		
	11																																																																																																																																																																																					30	-22		
	12																																																																																																																																																																																					32	-24		
	13																																																																																																																																																																																					34	-26		
	14																																																																																																																																																																																					36	-28		
	15																																																																																																																																																																																					38	-30		
	16																																																																																																																																																																																					38	-30		
	17																																																																																																																																																																																					38	-30		
	18																																																																																																																																																																																					38	-30		
	19																																																																																																																																																																																					38	-30		
	20																																																																																																																																																																																					38	-30		
Ancient's Haste	1																																																																																																																																																																																				3				
	2																																																																																																																																																																																				4				
	3																																																																																																																																																																																				5				
	4																																																																																																																																																																																				6				
	5																																																																																																																																																																																				7				
	6																																																																																																																																																																																				8				
	7																																																																																																																																																																																				9				
	8																																																																																																																																																																																				10				
	9																																																																																																																																																																																				11				
	10																																																																																																																																																																																				12				
	11																																																																																																																																																																																				13				
	12																																																																																																																																																																																				14				
	13																																																																																																																																																																																				15				
	14																																																																																																																																																																																				16				
	15																																																																																																																																																																																				17				
Ancient's Protection	1																																																																																																																																																																																					3			
