GroupName	Name	TotalMobCount	Spawntime	MobTID	MobLV	Rate	MaxMobCount	MobAITID	SiegeWarType	IsBoss
a104	a104_2	4	7	119	7	10000	0	1190	0	0
a104	a104_3	5	7	119	7	10000	0	1190	0	0
a104	a104_4	5	7	118	9	10000	0	1180	0	0
a104	a104_5	5	7	118	9	10000	0	1180	0	0
a104	a104_6	5	30	118	9	10000	0	1181	0	0
a104	a104_7	5	30	118	9	10000	0	1181	0	0
a1101	a1101_1	4	8	73	12	10000	0	730	0	0
a1101	a1101_2	4	8	74	13	10000	0	740	0	0
a1101	a1101_3	5	30	75	14	10000	0	751	0	0
a1101	a1101_4	4	8	73	12	10000	0	730	0	0
a1102	a1102_1	4	8	74	13	10000	0	740	0	0
a1102	a1102_2	5	9	75	14	10000	0	751	0	0
a1102	a1102_3	4	8	74	13	10000	0	740	0	0
a1103	a1103_10	4	8	73	12	10000	0	730	0	0
a1103	a1103_11	4	8	73	12	10000	0	730	0	0
a1103	a1103_12	4	8	74	13	10000	0	741	0	0
a1103	a1103_13	5	8	32	11	10000	0	320	0	0
a1103	a1103_2	5	8	32	11	10000	0	320	0	0
a1103	a1103_3	4	8	73	12	10000	0	731	0	0
a1103	a1103_4	4	30	74	13	10000	0	741	0	0
a1103	a1103_5	4	8	74	13	10000	0	740	0	0
a1103	a1103_6	5	9	75	14	10000	0	751	0	0
a1103	a1103_7	5	30	75	14	10000	0	751	0	0
a1103	a1103_8	5	8	32	11	10000	0	320	0	0
a1103	a1103_9	4	8	73	12	10000	0	731	0	0
a1104	a1104_1	3	30	331	12	10000	0	3311	0	0
a1104	a1104_2	3	30	331	12	10000	0	3311	0	0
a1104	a1104_3	3	8	299	11	10000	0	2990	0	0
a1104	a1104_4	4	8	299	11	10000	0	2990	0	0
a1104	a1104_5	5	8	299	11	10000	0	2991	0	0
a1104	a1104_6	3	30	331	12	10000	0	3310	0	0
a1104	a1104_7	4	8	299	11	10000	0	2990	0	0
a1104	a1104_8	4	8	299	11	10000	0	2991	0	0
a1104	a1104_9	4	8	299	11	10000	0	2990	0	0
a1201	a1201_1	5	9	294	16	10000	0	2940	0	0
a1201	a1201_2	5	10	296	18	10000	0	2960	0	0
a1201	a1201_3	5	10	296	18	10000	0	2961	0	0
a1201	a1201_4	5	30	290	17	10000	0	2901	0	0
a1201	a1201_5	5	30	294	16	10000	0	2941	0	0
a1202	a1202_1	4	10	296	18	10000	0	2961	0	0
a1202	a1202_2	5	10	742	18	10000	0	7420	0	0
a1202	a1202_3	5	10	742	18	10000	0	7420	0	0
a1202	a1202_4	5	10	742	18	10000	0	7421	0	0
a1202	a1202_5	5	10	296	18	10000	0	2960	0	0
a1202	a1202_6	4	10	742	18	10000	0	7420	0	0
a1202	a1202_7	5	10	742	18	10000	0	7421	0	0
a1202	a1202_8	4	10	296	18	10000	0	2960	0	0
a1202	a1202_9	4	30	296	18	10000	0	2961	0	0
a1203	a1203_1	5	9	748	16	10000	0	7481	0	0
a1203	a1203_2	5	30	290	17	10000	0	2901	0	0
a1203	a1203_3	5	30	290	17	10000	0	2901	0	0
a1203	a1203_4	5	30	290	17	10000	0	2901	0	0
a1204	a1204_1	5	9	294	16	10000	0	2940	0	0
a1204	a1204_2	5	9	748	16	10000	0	7480	0	0
a1204	a1204_3	5	9	748	16	10000	0	7481	0	0
a1204	a1204_4	5	9	294	16	10000	0	2940	0	0
a1204	a1204_5	5	9	748	16	10000	0	7480	0	0
a1204	a1204_6	5	9	294	16	10000	0	2941	0	0
a1204	a1204_7	5	9	748	16	10000	0	7480	0	0
a1204	a1204_8	5	9	294	16	10000	0	2940	0	0
a1204	a1204_9	5	9	294	16	10000	0	2941	0	0
a1205	a1205_1	2	10	742	18	10000	0	7420	0	0
a1205	a1205_2	3	30	296	18	10000	0	2961	0	0
a1301	a1301_1	3	30	126	16	10000	0	1261	0	0
a1301	a1301_2	5	9	748	16	10000	0	7480	0	0
a1301	a1301_3	5	9	804	16	10000	0	8040	0	0
a1301	a1301_4	5	9	804	16	10000	0	8041	0	0
a1301	a1301_5	5	9	748	16	10000	0	7480	0	0
a1302	a1302_1	5	9	748	16	10000	0	7480	0	0
a1302	a1302_10	3	30	126	16	10000	0	1260	0	0
a1302	a1302_11	3	30	126	16	10000	0	1261	0	0
a1302	a1302_2	5	9	804	16	10000	0	8041	0	0
a1302	a1302_3	5	9	748	16	10000	0	7480	0	0
a1302	a1302_4	5	9	804	16	10000	0	8040	0	0
a1302	a1302_5	5	30	326	17	10000	0	3261	0	0
a1302	a1302_6	5	10	125	19	10000	0	1250	0	0
a1302	a1302_7	5	10	742	18	10000	0	7420	0	0
a1302	a1302_8	3	30	126	16	10000	0	1261	0	0
a1302	a1302_9	3	30	126	16	10000	0	1260	0	0
a1303	a1303_1	5	10	742	18	10000	0	7420	0	0
a1303	a1303_2	5	10	125	19	10000	0	1250	0	0
a1304	a1304_1	5	10	742	18	10000	0	7421	0	0
a1304	a1304_2	5	30	326	17	10000	0	3261	0	0
a1304	a1304_3	5	9	326	17	10000	0	3260	0	0
a1304	a1304_4	5	10	742	18	10000	0	7421	0	0
a1304	a1304_5	5	30	326	17	10000	0	3261	0	0
a1304	a1304_6	5	30	326	17	10000	0	3261	0	0
a1304	a1304_7	5	9	326	17	10000	0	3261	0	0
a1304	a1304_8	5	9	326	17	10000	0	3260	0	0
a1305	a1305_1	5	10	768	18	10000	0	7680	0	0
a1305	a1305_2	5	30	13	20	10000	0	131	0	0
a1305	a1305_3	5	10	125	19	10000	0	1250	0	0
a1305	a1305_4	5	10	768	18	10000	0	7680	0	0
a1305	a1305_5	5	10	125	19	10000	0	1251	0	0
a1305	a1305_6	5	10	125	19	10000	0	1250	0	0
a1305	a1305_7	5	10	125	19	10000	0	1250	0	0
a1306	a1306_1	5	9	748	16	10000	0	7481	0	0
a1306	a1306_2	5	9	805	17	10000	0	8050	0	0
a1306	a1306_4	5	9	804	16	10000	0	8040	0	0
a1306	a1306_5	5	30	804	16	10000	0	8041	0	0
a1306	a1306_6	5	30	805	17	10000	0	8051	0	0
a1307	a1307_1	5	10	13	20	10000	0	130	0	0
a1307	a1307_2	5	10	13	20	10000	0	131	0	0
a1307	a1307_3	5	10	279	21	10000	0	2790	0	0
a1307	a1307_4	5	10	13	20	10000	0	130	0	0
a1307	a1307_5	5	30	279	21	10000	0	2791	0	0
a1307	a1307_6	5	30	279	21	10000	0	2791	0	0
a1307	a1307_7	5	10	279	21	10000	0	2790	0	0
a1307	a1307_8	5	10	279	21	10000	0	2791	0	0
a1307	a1307_9	5	10	279	21	10000	0	2790	0	0
a1401	a1401_1	5	10	125	19	10000	0	1250	0	0
a1401	a1401_2	5	10	125	19	10000	0	1251	0	0
a1401	a1401_3	5	30	13	20	10000	0	131	0	0
a1401	a1401_4	5	10	13	20	10000	0	130	0	0
a1401	a1401_5	5	30	13	20	10000	0	131	0	0
a1402	a1402_1	5	30	125	19	10000	0	1251	0	0
a1402	a1402_2	5	30	125	19	10000	0	1251	0	0
a1402	a1402_3	5	10	649	20	10000	0	6491	0	0
a1402	a1402_4	5	10	125	19	10000	0	1250	0	0
a1402	a1402_5	5	10	649	20	10000	0	6490	0	0
a1402	a1402_6	5	30	13	20	10000	0	131	0	0
a1402	a1402_7	5	16	632	44	10000	0	6320	0	0
a1403	a1403_1	5	10	125	19	10000	0	1250	0	0
a1403	a1403_2	5	30	13	20	10000	0	131	0	0
a1403	a1403_3	5	30	13	20	10000	0	131	0	0
a1403	a1403_4	5	30	13	20	10000	0	131	0	0
a1404	a1404_1	5	10	125	19	10000	0	1251	0	0
a1404	a1404_2	5	10	80	21	10000	0	800	0	0
a1404	a1404_3	5	10	80	21	10000	0	800	0	0
a1404	a1404_4	5	10	80	21	10000	0	801	0	0
a1404	a1404_5	5	30	125	19	10000	0	1251	0	0
a1404	a1404_6	5	30	125	19	10000	0	1251	0	0
a1404	a1404_7	5	10	125	19	10000	0	1251	0	0
a1405	a1405_2	5	10	125	19	10000	0	1250	0	0
a1405	a1405_3	5	30	13	20	10000	0	131	0	0
a1405	a1405_4	5	10	125	19	10000	0	1251	0	0
a1405	a1405_5	5	30	13	20	10000	0	131	0	0
a1405	a1405_6	5	30	13	20	10000	0	131	0	0
a1405	a1405_7	5	30	13	20	10000	0	131	0	0
a1405	a1405_8	5	30	13	20	10000	0	131	0	0
a1406	a1406_1	5	11	749	22	10000	0	7490	0	0
a1406	a1406_10	5	30	749	22	10000	0	7491	0	0
a1406	a1406_11	5	11	12	22	10000	0	121	0	0
a1406	a1406_12	5	11	12	22	10000	0	120	0	0
a1406	a1406_13	5	11	12	22	10000	0	120	0	0
a1406	a1406_2	5	11	12	22	10000	0	121	0	0
a1406	a1406_3	5	11	749	22	10000	0	7490	0	0
a1406	a1406_4	5	11	12	22	10000	0	120	0	0
a1406	a1406_5	5	30	749	22	10000	0	7491	0	0
a1406	a1406_6	5	30	749	22	10000	0	7491	0	0
a1406	a1406_7	5	11	738	23	10000	0	7380	0	0
a1406	a1406_8	5	11	738	23	10000	0	7381	0	0
a1406	a1406_9	5	30	749	22	10000	0	7491	0	0
a1407	a1407_1	5	11	12	22	10000	0	121	0	0
a1407	a1407_10	5	11	738	23	10000	0	7381	0	0
a1407	a1407_11	5	11	738	23	10000	0	7380	0	0
a1407	a1407_2	5	11	12	22	10000	0	120	0	0
a1407	a1407_3	5	11	12	22	10000	0	120	0	0
a1407	a1407_4	5	11	738	23	10000	0	7381	0	0
a1407	a1407_5	5	30	12	22	10000	0	121	0	0
a1407	a1407_6	5	11	738	23	10000	0	7380	0	0
a1407	a1407_7	5	30	12	22	10000	0	121	0	0
a1407	a1407_8	5	16	338	45	10000	0	3380	0	0
a1407	a1407_9	4	16	338	45	10000	0	3380	0	0
a1408	a1408_1	5	11	738	23	10000	0	7380	0	0
a1408	a1408_10	5	30	738	23	10000	0	7381	0	0
a1408	a1408_11	5	30	738	23	10000	0	7381	0	0
a1408	a1408_2	5	30	116	23	10000	0	1161	0	0
a1408	a1408_3	5	11	738	23	10000	0	7380	0	0
a1408	a1408_4	5	30	116	23	10000	0	1161	0	0
a1408	a1408_5	5	30	738	23	10000	0	7381	0	0
a1408	a1408_6	5	30	738	23	10000	0	7381	0	0
a1408	a1408_7	5	30	738	23	10000	0	7381	0	0
a1408	a1408_8	5	30	738	23	10000	0	7381	0	0
a1408	a1408_9	5	30	738	23	10000	0	7381	0	0
a1409	a1409_1	5	11	18	24	10000	0	180	0	0
a1409	a1409_10	5	11	285	25	10000	0	2851	0	0
a1409	a1409_11	5	11	18	24	10000	0	180	0	0
a1409	a1409_12	5	11	18	24	10000	0	180	0	0
a1409	a1409_13	5	11	18	24	10000	0	181	0	0
a1409	a1409_14	5	11	18	24	10000	0	180	0	0
a1409	a1409_15	5	11	738	23	10000	0	7380	0	0
a1409	a1409_3	5	11	285	25	10000	0	2850	0	0
a1409	a1409_4	5	11	18	24	10000	0	181	0	0
a1409	a1409_5	5	30	17	28	10000	0	171	0	0
a1409	a1409_6	5	30	17	28	10000	0	171	0	0
a1409	a1409_7	3	30	309	29	10000	0	3091	0	0
a1409	a1409_8	5	30	17	28	10000	0	171	0	0
a1409	a1409_9	3	30	309	29	10000	0	3090	0	0
a1410	a1410_1	5	11	78	24	10000	0	781	0	0
a1410	a1410_2	5	11	78	24	10000	0	780	0	0
a1410	a1410_3	5	11	78	24	10000	0	780	0	0
a1410	a1410_4	5	11	78	24	10000	0	781	0	0
a1410	a1410_5	5	11	78	24	10000	0	780	0	0
a1410	a1410_6	5	11	78	24	10000	0	780	0	0
a1410	a1410_7	5	11	78	24	10000	0	781	0	0
a1410	a1410_8	5	11	78	24	10000	0	780	0	0
a1411	a1411_1	5	30	116	23	10000	0	1161	0	0
a1411	a1411_10	5	11	78	24	10000	0	780	0	0
a1411	a1411_11	5	11	78	24	10000	0	781	0	0
a1411	a1411_12	5	11	78	24	10000	0	780	0	0
a1411	a1411_13	5	11	78	24	10000	0	780	0	0
a1411	a1411_14	5	11	116	23	10000	0	1161	0	0
a1411	a1411_15	5	11	116	23	10000	0	1160	0	0
a1411	a1411_2	5	30	116	23	10000	0	1161	0	0
a1411	a1411_3	5	30	116	23	10000	0	1161	0	0
a1411	a1411_4	5	11	738	23	10000	0	7380	0	0
a1411	a1411_5	5	11	78	24	10000	0	781	0	0
a1411	a1411_6	5	11	116	23	10000	0	1160	0	0
a1411	a1411_7	5	11	738	23	10000	0	7380	0	0
a1411	a1411_8	5	11	78	24	10000	0	781	0	0
a1411	a1411_9	5	11	78	24	10000	0	780	0	0
a1412	a1412_1	5	11	285	25	10000	0	2850	0	0
a1412	a1412_10	5	12	283	26	10000	0	2830	0	0
a1412	a1412_11	5	12	283	26	10000	0	2831	0	0
a1412	a1412_2	5	30	283	26	10000	0	2831	0	0
a1412	a1412_3	5	11	285	25	10000	0	2850	0	0
a1412	a1412_4	5	30	283	26	10000	0	2831	0	0
a1412	a1412_5	5	11	285	25	10000	0	2851	0	0
a1412	a1412_6	5	30	283	26	10000	0	2831	0	0
a1412	a1412_7	5	30	283	26	10000	0	2831	0	0
a1412	a1412_8	5	12	283	26	10000	0	2831	0	0
a1412	a1412_9	5	12	283	26	10000	0	2830	0	0
a1413	a1413_1	5	15	733	40	10000	0	7330	0	0
a1413	a1413_2	5	15	733	40	10000	0	7330	0	0
a1413	a1413_3	5	30	733	40	10000	0	7331	0	0
a1413	a1413_4	5	15	733	40	10000	0	7330	0	0
a1413	a1413_5	5	15	733	40	10000	0	7330	0	0
a1413	a1413_6	5	15	733	40	10000	0	7331	0	0
a1413	a1413_7	10	30	733	40	10000	0	7331	0	0
a1413	a1413_8	5	15	733	40	10000	0	7330	0	0
a1415	a1415_1	5	12	284	28	10000	0	2841	0	0
a1415	a1415_10	3	30	307	27	10000	0	3071	0	0
a1415	a1415_11	5	30	85	28	10000	0	851	0	0
a1415	a1415_12	5	30	85	28	10000	0	851	0	0
a1415	a1415_13	5	11	39	25	10000	0	391	0	0
a1415	a1415_14	5	11	39	25	10000	0	390	0	0
a1415	a1415_15	5	12	85	28	10000	0	850	0	0
a1415	a1415_16	5	12	85	28	10000	0	851	0	0
a1415	a1415_17	5	12	85	28	10000	0	850	0	0
a1415	a1415_18	5	12	85	28	10000	0	850	0	0
a1415	a1415_19	5	12	85	28	10000	0	851	0	0
a1415	a1415_2	5	30	282	29	10000	0	2821	0	0
a1415	a1415_20	5	12	284	28	10000	0	2840	0	0
a1415	a1415_21	5	12	284	28	10000	0	2840	0	0
a1415	a1415_22	5	12	284	28	10000	0	2841	0	0
a1415	a1415_23	5	12	284	28	10000	0	2840	0	0
a1415	a1415_24	5	11	39	25	10000	0	390	0	0
a1415	a1415_25	5	11	39	25	10000	0	391	0	0
a1415	a1415_3	5	30	282	29	10000	0	2821	0	0
a1415	a1415_4	3	30	281	27	10000	0	2811	0	0
a1415	a1415_5	5	30	284	28	10000	0	2841	0	0
a1415	a1415_6	5	30	284	28	10000	0	2841	0	0
a1415	a1415_7	5	30	284	28	10000	0	2841	0	0
a1415	a1415_8	3	30	281	27	10000	0	2810	0	0
a1415	a1415_9	3	30	307	27	10000	0	3070	0	0
a1416	a1416_1	5	30	723	42	10000	0	7231	0	0
a1416	a1416_3	3	30	726	44	10000	0	7260	0	0
a1416	a1416_4	5	16	723	42	10000	0	7231	0	0
a1416	a1416_5	3	30	726	44	10000	0	7260	0	0
a1416	a1416_6	5	30	723	42	10000	0	7231	0	0
a1416	a1416_8	5	30	321	43	10000	0	3211	0	0
a1416	a1416_9	5	30	321	43	10000	0	3211	0	0
a1417	a1417_1	5	30	321	43	10000	0	3211	0	0
a1417	a1417_2	5	30	321	43	10000	0	3211	0	0
a1418	a1418_1	5	16	632	44	10000	0	6320	0	0
a1418	a1418_10	5	13	335	30	10000	0	3351	0	0
a1418	a1418_11	5	12	713	29	10000	0	7130	0	0
a1418	a1418_12	5	12	713	29	10000	0	7130	0	0
a1418	a1418_13	5	12	713	29	10000	0	7131	0	0
a1418	a1418_14	5	12	713	29	10000	0	7130	0	0
a1418	a1418_15	5	13	335	30	10000	0	3350	0	0
a1418	a1418_16	5	13	335	30	10000	0	3351	0	0
a1418	a1418_17	5	13	335	30	10000	0	3350	0	0
a1418	a1418_2	5	16	321	43	10000	0	3210	0	0
a1418	a1418_3	5	16	632	44	10000	0	6321	0	0
a1418	a1418_4	5	30	321	43	10000	0	3211	0	0
a1418	a1418_5	5	30	321	43	10000	0	3211	0	0
a1418	a1418_6	5	30	713	29	10000	0	7131	0	0
a1418	a1418_7	5	30	713	29	10000	0	7131	0	0
a1418	a1418_8	5	30	713	29	10000	0	7131	0	0
a1418	a1418_9	5	13	335	30	10000	0	3351	0	0
a1419	a1419_1	5	16	632	44	10000	0	6320	0	0
a1419	a1419_3	5	16	321	43	10000	0	3210	0	0
a1419	a1419_4	5	16	321	43	10000	0	3211	0	0
a1419	a1419_5	5	30	632	44	10000	0	6321	0	0
a1419	a1419_6	5	16	321	43	10000	0	3210	0	0
a1419	a1419_7	5	16	321	43	10000	0	3211	0	0
a1419	a1419_8	5	30	632	44	10000	0	6321	0	0
a1419	a1419_9	4	16	321	43	10000	0	3210	0	0
a1420	a1420_1	5	16	338	45	10000	0	3381	0	0
a1421	a1421_1	5	30	79	41	10000	0	791	0	0
a1421	a1421_2	5	30	81	43	10000	0	811	0	0
a1421	a1421_3	5	16	81	43	10000	0	811	0	0
a1421	a1421_4	5	15	79	41	10000	0	790	0	0
a1422	a1422_1	5	16	723	42	10000	0	7230	0	0
a1422	a1422_2	5	16	723	42	10000	0	7231	0	0
a1423	a1423_1	5	30	632	44	10000	0	6321	0	0
a1423	a1423_2	5	30	632	44	10000	0	6321	0	0
a1423	a1423_4	5	16	632	44	10000	0	6321	0	0
a1423	a1423_5	5	16	321	43	10000	0	3210	0	0
a1423	a1423_6	5	16	632	44	10000	0	6320	0	0
a1423	a1423_7	5	16	321	43	10000	0	3211	0	0
a1423	a1423_8	4	16	321	43	10000	0	3210	0	0
a1424	a1424_1	5	13	77	31	10000	0	770	0	0
a1424	a1424_2	5	13	77	31	10000	0	771	0	0
a1424	a1424_3	5	30	274	33	10000	0	2741	0	0
a1424	a1424_4	5	13	274	33	10000	0	2740	0	0
a1424	a1424_5	5	13	274	33	10000	0	2741	0	0
a1425	a1425_1	5	30	77	31	10000	0	771	0	0
a1425	a1425_2	5	30	77	31	10000	0	771	0	0
a1425	a1425_3	5	30	77	31	10000	0	771	0	0
a1426	a1426_1	5	30	274	33	10000	0	2741	0	0
a1427	a1427_1	5	13	272	32	10000	0	2720	0	0
a1427	a1427_2	5	13	272	32	10000	0	2721	0	0
a1427	a1427_3	5	13	272	32	10000	0	2720	0	0
a1427	a1427_4	5	13	272	32	10000	0	2720	0	0
a1427	a1427_5	5	13	272	32	10000	0	2721	0	0
a1427	a1427_6	5	13	272	32	10000	0	2720	0	0
a1428	a1428_1	5	13	272	32	10000	0	2720	0	0
a1428	a1428_2	5	13	272	32	10000	0	2721	0	0
a1428	a1428_3	5	30	732	33	10000	0	7321	0	0
a1428	a1428_4	5	30	732	33	10000	0	7321	0	0
a1428	a1428_5	5	30	732	33	10000	0	7321	0	0
a1428	a1428_6	5	30	732	33	10000	0	7321	0	0
a1429	a1429_1	5	13	77	31	10000	0	770	0	0
a1429	a1429_2	3	30	324	35	10000	0	3241	0	0
a1429	a1429_3	5	13	77	31	10000	0	770	0	0
a1429	a1429_4	3	30	124	34	10000	0	1240	0	0
a1429	a1429_5	3	30	324	35	10000	0	3241	0	0
a1429	a1429_6	3	30	124	34	10000	0	1240	0	0
a1429	a1429_7	5	30	77	31	10000	0	771	0	0
a1429	a1429_8	4	30	77	31	10000	0	771	0	0
a1430	a1430_1	5	13	272	32	10000	0	2720	0	0
a1430	a1430_10	5	13	732	33	10000	0	7320	0	0
a1430	a1430_11	5	13	732	33	10000	0	7321	0	0
a1430	a1430_12	5	13	732	33	10000	0	7320	0	0
a1430	a1430_13	5	13	732	33	10000	0	7320	0	0
a1430	a1430_14	5	13	732	33	10000	0	7321	0	0
a1430	a1430_15	5	13	732	33	10000	0	7320	0	0
a1430	a1430_16	5	13	272	32	10000	0	2720	0	0
a1430	a1430_17	5	13	272	32	10000	0	2721	0	0
a1430	a1430_18	5	13	272	32	10000	0	2720	0	0
a1430	a1430_19	5	13	272	32	10000	0	2720	0	0
a1430	a1430_2	5	13	272	32	10000	0	2721	0	0
a1430	a1430_20	5	13	272	32	10000	0	2720	0	0
a1430	a1430_3	3	30	273	34	10000	0	2730	0	0
a1430	a1430_4	4	30	272	32	10000	0	2721	0	0
a1430	a1430_5	5	30	272	32	10000	0	2721	0	0
a1430	a1430_6	5	13	274	33	10000	0	2740	0	0
a1430	a1430_7	5	13	274	33	10000	0	2741	0	0
a1430	a1430_8	5	30	732	33	10000	0	7321	0	0
a1430	a1430_9	5	30	732	33	10000	0	7321	0	0
a1431	a1431_1	5	30	77	31	10000	0	771	0	0
a1431	a1431_10	5	30	632	44	10000	0	6321	0	0
a1431	a1431_11	5	30	77	31	10000	0	771	0	0
a1431	a1431_12	5	30	77	31	10000	0	771	0	0
a1431	a1431_13	5	30	77	31	10000	0	771	0	0
a1431	a1431_14	5	30	77	31	10000	0	771	0	0
a1431	a1431_15	5	30	77	31	10000	0	771	0	0
a1431	a1431_16	5	30	77	31	10000	0	771	0	0
a1431	a1431_2	5	30	632	44	10000	0	6321	0	0
a1431	a1431_3	3	30	124	34	10000	0	1241	0	0
a1431	a1431_4	3	30	273	34	10000	0	2731	0	0
a1431	a1431_5	5	13	272	32	10000	0	2720	0	0
a1431	a1431_6	3	30	273	34	10000	0	2731	0	0
a1431	a1431_7	5	13	272	32	10000	0	2720	0	0
a1431	a1431_8	4	30	338	45	10000	0	3381	0	0
a1431	a1431_9	5	30	338	45	10000	0	3381	0	0
a1432	a1432_1	5	13	274	33	10000	0	2740	0	0
a1432	a1432_3	5	13	274	33	10000	0	2740	0	0
a1432	a1432_4	3	30	324	35	10000	0	3241	0	0
a1432	a1432_5	3	30	324	35	10000	0	3240	0	0
a1433	a1433_1	3	30	273	34	10000	0	2730	0	0
a1433	a1433_2	5	13	272	32	10000	0	2721	0	0
a1433	a1433_3	5	13	272	32	10000	0	2720	0	0
a1433	a1433_4	3	30	273	34	10000	0	2731	0	0
a1433	a1433_5	5	30	272	32	10000	0	2721	0	0
a1433	a1433_6	3	30	273	34	10000	0	2730	0	0
a1501	a1501_1	5	14	458	35	10000	0	4580	0	0
a1501	a1501_2	5	14	458	35	10000	0	4581	0	0
a1501	a1501_3	5	14	458	35	10000	0	4580	0	0
a1501	a1501_4	5	30	305	37	10000	0	3051	0	0
a1501	a1501_5	5	14	305	37	10000	0	3051	0	0
a1501	a1501_6	5	30	458	35	10000	0	4581	0	0
a1501	a1501_7	5	30	458	35	10000	0	4581	0	0
a1502	a1502_1	5	14	87	34	10000	0	871	0	0
a1503	a1503_1	5	14	87	34	10000	0	870	0	0
a1503	a1503_2	5	30	87	34	10000	0	871	0	0
a1503	a1503_3	5	14	87	34	10000	0	871	0	0
a1504	a1504_1	5	14	87	34	10000	0	870	0	0
a1505	a1505_1	5	30	87	34	10000	0	871	0	0
a1505	a1505_2	5	14	87	34	10000	0	871	0	0
a1505	a1505_3	5	14	87	34	10000	0	870	0	0
a1505	a1505_4	5	30	87	34	10000	0	871	0	0
a1505	a1505_5	5	14	87	34	10000	0	871	0	0
a1505	a1505_6	5	30	743	36	10000	0	7431	0	0
a1505	a1505_7	5	30	743	36	10000	0	7431	0	0
a1505	a1505_8	5	14	743	36	10000	0	7431	0	0
a1506	a1506_1	5	30	305	37	10000	0	3051	0	0
a1506	a1506_2	5	15	304	38	10000	0	3040	0	0
a1506	a1506_3	5	15	304	38	10000	0	3041	0	0
a1506	a1506_4	5	15	304	38	10000	0	3040	0	0
a1507	a1507_2	5	14	336	36	10000	0	3360	0	0
a1507	a1507_3	5	14	336	36	10000	0	3361	0	0
a1507	a1507_4	5	14	336	36	10000	0	3360	0	0
a1507	a1507_5	5	14	336	36	10000	0	3360	0	0
a1507	a1507_6	5	14	336	36	10000	0	3361	0	0
a1507	a1507_7	5	14	336	36	10000	0	3360	0	0
a1508	a1508_1	5	14	336	36	10000	0	3360	0	0
a1508	a1508_2	3	30	324	35	10000	0	3241	0	0
a1508	a1508_3	3	30	324	35	10000	0	3241	0	0
a1508	a1508_4	5	14	336	36	10000	0	3360	0	0
a1508	a1508_5	5	14	336	36	10000	0	3361	0	0
a1508	a1508_6	5	14	19	37	10000	0	190	0	0
