LotteryBoxTID	LotteryBoxName	PotItemTID	PotItemName	MinStack	MaxStack	Rate
3616	Gold Treasure Chest	486	Reinforcement Potion	7	16	10000
3617	Silver Treasure Chest	486	Reinforcement Potion	4	8	10000
4570	BokJumouny	266	Inferno Elemental Stone	10	30	1180
4570	BokJumouny	246	Tornado Elemental Stone	10	30	1180
4570	BokJumouny	262	Waterfall Elemental Stone	10	30	1180
4570	BokJumouny	254	Tremor Elemental Stone	10	30	1180
4570	BokJumouny	258	Transcendence Elemental Stone	10	30	1180
4570	BokJumouny	464	Attack Prayer Stone<Lv3>	10	30	1180
4570	BokJumouny	472	Defense Prayer Stone<Lv3>	10	30	1180
4570	BokJumouny	1170	Physical Resistance Prayer Stone<Lv3>	10	30	1180
4570	BokJumouny	486	Reinforcement Potion	10	50	560
4582	Field Provision Pack	266	Inferno Elemental Stone	3	10	1100
4582	Field Provision Pack	246	Tornado Elemental Stone	3	10	1100
4582	Field Provision Pack	262	Waterfall Elemental Stone	3	10	1100
4582	Field Provision Pack	254	Tremor Elemental Stone	3	10	1100
4582	Field Provision Pack	258	Transcendence Elemental Stone	3	10	1100
4582	Field Provision Pack	486	Reinforcement Potion	3	10	1100
4582	Field Provision Pack	1173	Skill Block Prayer Stone<Lv3>	1	3	1000
4582	Field Provision Pack	464	Attack Prayer Stone<Lv3>	1	3	1000
4582	Field Provision Pack	6118	Archlord Potion	1	1	300
4582	Field Provision Pack	1006	Broiled Meat of Transcendence	3	5	1100
4750	Elite Weapon Chest	4001	Cruel Kris	1	1	90
4750	Elite Weapon Chest	4002	Burning Butcher Scimitar	1	1	90
4750	Elite Weapon Chest	4003	Bounce Falchion	1	1	90
4750	Elite Weapon Chest	4004	Brutal Sword	1	1	90
4750	Elite Weapon Chest	4005	Blood Scimitar	1	1	90
4750	Elite Weapon Chest	4006	Harshslaughter Sword	1	1	90
4750	Elite Weapon Chest	4007	Redtrail Sabre	1	1	90
4750	Elite Weapon Chest	4008	Flashdust Piercer	1	1	90
4750	Elite Weapon Chest	4584	Neverfallen Sword	1	1	90
4750	Elite Weapon Chest	4585	Insane Bane's Slicer	1	1	90
4750	Elite Weapon Chest	4009	Krimbelt Axe	1	1	90
4750	Elite Weapon Chest	4010	Saw Divider	1	1	90
4750	Elite Weapon Chest	4011	Infernocall Tomahawk	1	1	90
4750	Elite Weapon Chest	4012	Dark Seed Axe	1	1	90
4750	Elite Weapon Chest	4013	Scarlet Eye Axe	1	1	90
4750	Elite Weapon Chest	4014	Winterizer Divider	1	1	90
4750	Elite Weapon Chest	4015	Dark Impeller Divider	1	1	90
4750	Elite Weapon Chest	4016	Immortal Power Crasher	1	1	90
4750	Elite Weapon Chest	4586	Curselink Divider	1	1	90
4750	Elite Weapon Chest	4587	Hell Impresa's Ax	1	1	90
4750	Elite Weapon Chest	4017	Cruel Battle Club	1	1	90
4750	Elite Weapon Chest	4018	Boundchaser Hammer	1	1	90
4750	Elite Weapon Chest	4019	Arcadian Maul	1	1	90
4750	Elite Weapon Chest	4020	Pythonhead Maul	1	1	90
4750	Elite Weapon Chest	4021	Pure Warmace	1	1	90
4750	Elite Weapon Chest	4022	Forcegatherer Morningstar	1	1	90
4750	Elite Weapon Chest	4023	Fallenstigma Maul	1	1	90
4750	Elite Weapon Chest	4024	Lost Valley Mace	1	1	90
4750	Elite Weapon Chest	4588	Rune Sacrifice Maul	1	1	90
4750	Elite Weapon Chest	4589	Shadow Obey's Destroyer	1	1	90
4750	Elite Weapon Chest	4025	Crimson Bastard Sword	1	1	90
4750	Elite Weapon Chest	4026	Lunatic Flamberge	1	1	90
4750	Elite Weapon Chest	4027	Battle Bastard Sword	1	1	90
4750	Elite Weapon Chest	4028	Shining Riccaso	1	1	90
4750	Elite Weapon Chest	4029	Lord Flamberge	1	1	90
4750	Elite Weapon Chest	4030	Soulaway Slasher	1	1	90
4750	Elite Weapon Chest	4031	Gloomoath Claymore	1	1	90
4750	Elite Weapon Chest	4032	Nature Force Bastard Sword	1	1	90
4750	Elite Weapon Chest	4590	Destinyruin Mightedge	1	1	90
4750	Elite Weapon Chest	4591	Orbit Walker's Slahser	1	1	90
4750	Elite Weapon Chest	4033	Celestial Scythe	1	1	90
4750	Elite Weapon Chest	4034	Cryland Bardiche	1	1	90
4750	Elite Weapon Chest	4035	Dark Scythe	1	1	90
4750	Elite Weapon Chest	4036	Spiritfallen Voulge	1	1	90
4750	Elite Weapon Chest	4037	Throat Slasher	1	1	90
4750	Elite Weapon Chest	4038	Wargrave Halberd	1	1	90
4750	Elite Weapon Chest	4039	Coresweeper Bardiche	1	1	90
4750	Elite Weapon Chest	4040	Agonyheart Scythe	1	1	90
4750	Elite Weapon Chest	4592	Hexforce Halberd	1	1	90
4750	Elite Weapon Chest	4593	Arcane Raid's Halberd	1	1	90
4750	Elite Weapon Chest	4041	Spectrum Bow	1	1	90
4750	Elite Weapon Chest	4042	Blue Eve's Bow	1	1	90
4750	Elite Weapon Chest	4043	Burning Bow	1	1	90
4750	Elite Weapon Chest	4044	Arcane Bow	1	1	90
4750	Elite Weapon Chest	4045	Martial Bow	1	1	90
4750	Elite Weapon Chest	4046	Headsweeper Bow	1	1	90
4750	Elite Weapon Chest	4047	Silentdeath Bow	1	1	90
4750	Elite Weapon Chest	4048	Immortalbard Bow	1	1	90
4750	Elite Weapon Chest	4594	Bloodchaser Bow	1	1	90
4750	Elite Weapon Chest	4595	Forest Wanderer's Bow	1	1	90
4750	Elite Weapon Chest	4049	Guardian Crossbow	1	1	90
4750	Elite Weapon Chest	4050	Rose Arbalest	1	1	90
4750	Elite Weapon Chest	4051	Lost Horn Crossbow	1	1	90
4750	Elite Weapon Chest	4052	Blaze Ballista	1	1	90
4750	Elite Weapon Chest	4053	Freezing Arbalest	1	1	90
4750	Elite Weapon Chest	4054	Blowname Arbalest	1	1	90
4750	Elite Weapon Chest	4055	Hundredeye Crossbow	1	1	90
4750	Elite Weapon Chest	4056	Gorefist Arbalest	1	1	90
4750	Elite Weapon Chest	4596	Steeltearer Crossbow	1	1	90
4750	Elite Weapon Chest	4597	Enchant Ruin's Arbalest	1	1	90
4750	Elite Weapon Chest	4057	Wizardry Staff	1	1	90
4750	Elite Weapon Chest	4058	Grimdivine Staff	1	1	90
4750	Elite Weapon Chest	4059	Terra Staff	1	1	90
4750	Elite Weapon Chest	4060	Spiritual Staff	1	1	90
4750	Elite Weapon Chest	4061	Arcane Staff	1	1	90
4750	Elite Weapon Chest	4062	Unstable Sage Staff	1	1	90
4750	Elite Weapon Chest	4063	Oldfamilia Staff	1	1	90
4750	Elite Weapon Chest	4064	Dark Pedigree Staff	1	1	90
4750	Elite Weapon Chest	4598	Brutal Judge Staff	1	1	90
4750	Elite Weapon Chest	4599	Realm Gaurdian's Staff	1	1	90
4750	Elite Weapon Chest	4065	Shadow Orb	1	1	90
4750	Elite Weapon Chest	4066	Darkhand Orb	1	1	90
4750	Elite Weapon Chest	4067	Farnation Wand	1	1	90
4750	Elite Weapon Chest	4068	Bane Orb	1	1	90
4750	Elite Weapon Chest	4069	Disguiser Orb	1	1	90
4750	Elite Weapon Chest	4070	Blindpower Wand	1	1	90
4750	Elite Weapon Chest	4071	Phantomthriller Wand	1	1	90
4750	Elite Weapon Chest	4072	Mortal Ceremony Wand	1	1	90
4750	Elite Weapon Chest	4743	Spelleater Wand	1	1	90
4750	Elite Weapon Chest	4744	Demise Load's Wand	1	1	90
4750	Elite Weapon Chest	4073	Silver Kataria	1	1	90
4750	Elite Weapon Chest	4074	Shadow Kataria	1	1	90
4750	Elite Weapon Chest	4075	Luna Kataria	1	1	90
4750	Elite Weapon Chest	4076	Splash Kataria	1	1	90
4750	Elite Weapon Chest	4077	Blood Kataria	1	1	90
4750	Elite Weapon Chest	4078	Eternal Flight Kataria	1	1	90
4750	Elite Weapon Chest	4079	Kataria of Justice	1	1	90
4750	Elite Weapon Chest	4080	Gaia Empress Kataria	1	1	90
4750	Elite Weapon Chest	4745	Astral Buster Kataria	1	1	90
4750	Elite Weapon Chest	4746	Leviathan Kataria	1	1	90
4750	Elite Weapon Chest	4081	Sunset Chakram	1	1	90
4750	Elite Weapon Chest	4082	Shade Chakram	1	1	90
4750	Elite Weapon Chest	4083	Darkwing Chakram	1	1	90
4750	Elite Weapon Chest	4084	Mystic Chakram	1	1	90
4750	Elite Weapon Chest	4085	Spectral Chakram	1	1	90
4750	Elite Weapon Chest	4086	Soul Bringer Chakram	1	1	90
4750	Elite Weapon Chest	4087	Rumbleline Chakram	1	1	90
4750	Elite Weapon Chest	4088	Divine Walker Chakram	1	1	90
4750	Elite Weapon Chest	4747	Bloodyrain Chakram	1	1	90
4750	Elite Weapon Chest	4748	Spell Howler Chakram	1	1	90
4751	Elite Armor Chest	4101	Banegrowler Armor	1	1	29
4751	Elite Armor Chest	4102	Banegrowler Gauntlets	1	1	29
4751	Elite Armor Chest	4103	Banegrowler Greaves	1	1	29
4751	Elite Armor Chest	4104	Banegrowler Boots	1	1	29
4751	Elite Armor Chest	4105	Craftfist Armor	1	1	29
4751	Elite Armor Chest	4106	Craftfist Gauntlets	1	1	29
4751	Elite Armor Chest	4107	Craftfist Greaves	1	1	29
4751	Elite Armor Chest	4108	Craftfist Boots	1	1	29
4751	Elite Armor Chest	4109	Wolfthrone Helm	1	1	29
4751	Elite Armor Chest	4110	Wolfthrone Armor	1	1	29
4751	Elite Armor Chest	4111	Wolfthrone Gauntlets	1	1	29
4751	Elite Armor Chest	4112	Wolfthrone Greaves	1	1	29
4751	Elite Armor Chest	4113	Wolfthrone Boots	1	1	29
4751	Elite Armor Chest	4118	Harshcrown Helm	1	1	29
4751	Elite Armor Chest	4114	Harshcrown Armor	1	1	29
4751	Elite Armor Chest	4115	Harshcrown Gauntlets	1	1	29
4751	Elite Armor Chest	4116	Harshcrown Greaves	1	1	29
4751	Elite Armor Chest	4117	Harshcrown Boots	1	1	29
4751	Elite Armor Chest	4119	Flasharm Helm	1	1	29
4751	Elite Armor Chest	4120	Flasharm Armor	1	1	29
4751	Elite Armor Chest	4121	Flasharm Gauntlets	1	1	29
4751	Elite Armor Chest	4122	Flasharm Greaves	1	1	29
4751	Elite Armor Chest	4123	Flasharm Boots	1	1	29
4751	Elite Armor Chest	4124	Wrenchingruler Helm	1	1	29
4751	Elite Armor Chest	4125	Wrenchingruler Armor	1	1	29
4751	Elite Armor Chest	4126	Wrenchingruler Gauntlets	1	1	29
4751	Elite Armor Chest	4127	Wrenchingruler Greaves	1	1	29
4751	Elite Armor Chest	4128	Wrenchingruler Boots	1	1	29
4751	Elite Armor Chest	4130	Swordcreeper Helmet	1	1	29
4751	Elite Armor Chest	4129	Swordcreeper Armor	1	1	29
4751	Elite Armor Chest	4131	Swordcreeper Gauntlets	1	1	29
4751	Elite Armor Chest	4132	Swordcreeper Greaves	1	1	29
4751	Elite Armor Chest	4133	Swordcreeper Boots	1	1	29
4751	Elite Armor Chest	4366	Painholder Helmet	1	1	29
4751	Elite Armor Chest	4365	Painholder Armor	1	1	29
4751	Elite Armor Chest	4367	Painholder Gauntlets	1	1	29
4751	Elite Armor Chest	4368	Painholder Greaves	1	1	29
4751	Elite Armor Chest	4369	Painholder Boots	1	1	29
4751	Elite Armor Chest	5254	Trial Power's Helmet	1	1	29
4751	Elite Armor Chest	5255	Trial Power's Armor	1	1	29
4751	Elite Armor Chest	5256	Trial Power's Gauntlet	1	1	29
4751	Elite Armor Chest	5257	Trial Power's Greaves	1	1	29
4751	Elite Armor Chest	5258	Trial Power's Boots	1	1	29
4751	Elite Armor Chest	4134	Wingsnatcher Armor	1	1	29
4751	Elite Armor Chest	4135	Wingsnatcher Armpads	1	1	29
4751	Elite Armor Chest	4136	Wingsnatcher Leggings	1	1	29
4751	Elite Armor Chest	4137	Wingsnatcher Boots	1	1	29
4751	Elite Armor Chest	4138	Light Dominion Armor	1	1	29
4751	Elite Armor Chest	4139	Light Dominion Armpads	1	1	29
4751	Elite Armor Chest	4140	Light Dominion Tassets	1	1	29
4751	Elite Armor Chest	4141	Light Dominion Boots	1	1	29
4751	Elite Armor Chest	4142	Chronochaser Cap	1	1	29
4751	Elite Armor Chest	4143	Chronochaser Armor	1	1	29
4751	Elite Armor Chest	4144	Chronochaser Armpads	1	1	29
4751	Elite Armor Chest	4145	Chronochaser Tassets	1	1	29
4751	Elite Armor Chest	4146	Chronochaser Boots	1	1	29
4751	Elite Armor Chest	4147	Breathseize Cap	1	1	29
4751	Elite Armor Chest	4148	Breathseize Armor	1	1	29
4751	Elite Armor Chest	4149	Breathseize Armpads	1	1	29
4751	Elite Armor Chest	4150	Breathseize Tassets	1	1	29
4751	Elite Armor Chest	4151	Breathseize Boots	1	1	29
4751	Elite Armor Chest	4152	Mountain King Cap	1	1	29
4751	Elite Armor Chest	4153	Mountain King Armor	1	1	29
4751	Elite Armor Chest	4154	Mountain King Armpads	1	1	29
4751	Elite Armor Chest	4155	Mountain King Tassets	1	1	29
4751	Elite Armor Chest	4156	Mountain King Boots	1	1	29
4751	Elite Armor Chest	4157	Lust Rose Cap	1	1	29
4751	Elite Armor Chest	4158	Lust Rose Armor	1	1	29
4751	Elite Armor Chest	4159	Lust Rose Armpads	1	1	29
4751	Elite Armor Chest	4160	Lust Rose Tassets	1	1	29
4751	Elite Armor Chest	4161	Lust Rose Boots	1	1	29
4751	Elite Armor Chest	4163	Secretmountain Cap	1	1	29
4751	Elite Armor Chest	4162	Secretmountain Armor	1	1	29
4751	Elite Armor Chest	4164	Secretmountain Armpads	1	1	29
4751	Elite Armor Chest	4165	Secretmountain Leggings	1	1	29
4751	Elite Armor Chest	4166	Secretmountain Boots	1	1	29
4751	Elite Armor Chest	4371	Cursetracer Cap	1	1	29
4751	Elite Armor Chest	4370	Cursetracer Armor	1	1	29
4751	Elite Armor Chest	4372	Cursetracer Armpads	1	1	29
4751	Elite Armor Chest	4373	Cursetracer Leggings	1	1	29
4751	Elite Armor Chest	4374	Cursetracer Boots	1	1	29
4751	Elite Armor Chest	5259	Eternal Crown's Cap	1	1	29
4751	Elite Armor Chest	5260	Eternal Crown's Armor	1	1	29
4751	Elite Armor Chest	5261	Eternal Crown's Armpads	1	1	29
4751	Elite Armor Chest	5262	Eternal Crown's Leggings	1	1	29
4751	Elite Armor Chest	5263	Eternal Crown's Boots	1	1	29
4751	Elite Armor Chest	4167	Hail Rock Garb	1	1	29
4751	Elite Armor Chest	4168	Hail Rock Bracelets	1	1	29
4751	Elite Armor Chest	4169	Hail Rock Kilt	1	1	29
4751	Elite Armor Chest	4170	Hail Rock Boots	1	1	29
4751	Elite Armor Chest	4171	Mindbuster Garb	1	1	29
4751	Elite Armor Chest	4172	Mindbuster Bracelets	1	1	29
4751	Elite Armor Chest	4173	Mindbuster Kilt	1	1	29
4751	Elite Armor Chest	4174	Mindbuster Boots	1	1	29
4751	Elite Armor Chest	4175	Skulletto Headband	1	1	29
4751	Elite Armor Chest	4176	Skulletto Garb	1	1	29
4751	Elite Armor Chest	4177	Skulletto Bracelets	1	1	29
4751	Elite Armor Chest	4178	Skulletto Kilt	1	1	29
4751	Elite Armor Chest	4179	Skulletto Boots	1	1	29
4751	Elite Armor Chest	4180	Cold Vengeance Headband	1	1	29
4751	Elite Armor Chest	4181	Cold Vengeance Garb	1	1	29
4751	Elite Armor Chest	4182	Cold Vengeance Bracelets	1	1	29
4751	Elite Armor Chest	4183	Cold Vengeance Kilt	1	1	29
4751	Elite Armor Chest	4184	Cold Vengeance Boots	1	1	29
4751	Elite Armor Chest	4185	Enigma Sign Headband	1	1	29
4751	Elite Armor Chest	4186	Enigma Sign Garb	1	1	29
4751	Elite Armor Chest	4187	Enigma Sign Bracelets	1	1	29
4751	Elite Armor Chest	4188	Enigma Sign Kilt	1	1	29
4751	Elite Armor Chest	4189	Enigma Sign Boots	1	1	29
4751	Elite Armor Chest	4190	Highcoma Headband	1	1	29
4751	Elite Armor Chest	4191	Highcoma Garb	1	1	29
4751	Elite Armor Chest	4192	Highcoma Bracelets	1	1	29
4751	Elite Armor Chest	4193	Highcoma Kilt	1	1	29
4751	Elite Armor Chest	4194	Highcoma Boots	1	1	29
4751	Elite Armor Chest	4196	Brainbuster Headband	1	1	29
4751	Elite Armor Chest	4195	Brainbuster Garb	1	1	29
4751	Elite Armor Chest	4197	Brainbuster Bracelets	1	1	29
4751	Elite Armor Chest	4198	Brainbuster Kilt	1	1	29
4751	Elite Armor Chest	4199	Brainbuster Boots	1	1	29
4751	Elite Armor Chest	4376	Divine Emblem Headband	1	1	29
4751	Elite Armor Chest	4375	Divine Emblem Garb	1	1	29
4751	Elite Armor Chest	4377	Divine Emblem Bracelets	1	1	29
4751	Elite Armor Chest	4378	Divine Emblem Kilt	1	1	29
4751	Elite Armor Chest	4379	Divine Emblem Boots	1	1	29
4751	Elite Armor Chest	5264	Dragon Emperor's Headband	1	1	29
4751	Elite Armor Chest	5265	Dragon Emperor's Garb	1	1	29
4751	Elite Armor Chest	5266	Dragon Emperor's Bracelets	1	1	29
4751	Elite Armor Chest	5267	Dragon Emperor's Kilt	1	1	29
4751	Elite Armor Chest	5268	Dragon Emperor's Boots	1	1	29
4751	Elite Armor Chest	4200	Warbreaker Armor	1	1	29
4751	Elite Armor Chest	4201	Warbreaker Gauntlets	1	1	29
4751	Elite Armor Chest	4202	Warbreaker Greaves	1	1	29
4751	Elite Armor Chest	4203	Warbreaker Boots	1	1	29
4751	Elite Armor Chest	4204	Beastlord Armor	1	1	29
4751	Elite Armor Chest	4205	Beastlord Gauntlets	1	1	29
4751	Elite Armor Chest	4206	Beastlord Greave	1	1	29
4751	Elite Armor Chest	4207	Beastlord Boots	1	1	29
4751	Elite Armor Chest	4208	Ghostslasher Helm	1	1	29
4751	Elite Armor Chest	4209	Ghostslasher Armor	1	1	29
4751	Elite Armor Chest	4210	Ghostslasher Gauntlets	1	1	29
4751	Elite Armor Chest	4211	Ghostslasher Greaves	1	1	29
4751	Elite Armor Chest	4212	Ghostslasher Boots	1	1	29
4751	Elite Armor Chest	4217	Desert Ruin Helm	1	1	29
4751	Elite Armor Chest	4213	Desert Ruin Armor	1	1	29
4751	Elite Armor Chest	4214	Desert Ruin Gauntlets	1	1	29
4751	Elite Armor Chest	4215	Desert Ruin Greaves	1	1	29
4751	Elite Armor Chest	4216	Desert Ruin Boots	1	1	29
4751	Elite Armor Chest	4218	Hellgater Helm	1	1	29
4751	Elite Armor Chest	4219	Hellgater Armor	1	1	29
4751	Elite Armor Chest	4220	Hellgater Gauntlets	1	1	29
4751	Elite Armor Chest	4221	Hellgater Greaves	1	1	29
4751	Elite Armor Chest	4222	Hellgater Boots	1	1	29
4751	Elite Armor Chest	4223	Tribal Champion Helm	1	1	29
4751	Elite Armor Chest	4224	Tribal Champion Armor	1	1	29
4751	Elite Armor Chest	4225	Tribal Champion Gauntlets	1	1	29
4751	Elite Armor Chest	4226	Tribal Champion Greaves	1	1	29
4751	Elite Armor Chest	4227	Tribal Champion Boots	1	1	29
4751	Elite Armor Chest	4229	Ogre-eater Helm	1	1	29
4751	Elite Armor Chest	4228	Ogre-eater Armor	1	1	29
4751	Elite Armor Chest	4230	Ogre-eater Gauntlets	1	1	29
4751	Elite Armor Chest	4231	Ogre-eater Greave	1	1	29
4751	Elite Armor Chest	4232	Ogre-eater Boots	1	1	29
4751	Elite Armor Chest	4381	Ironheart Helm	1	1	29
4751	Elite Armor Chest	4380	Ironheart Armor	1	1	29
4751	Elite Armor Chest	4382	Ironheart Gauntlets	1	1	29
4751	Elite Armor Chest	4383	Ironheart Greaves	1	1	29
4751	Elite Armor Chest	4384	Ironheart Boots	1	1	29
4751	Elite Armor Chest	5269	Desert Gaurdian's Helm	1	1	29
4751	Elite Armor Chest	5270	Desert Gaurdian's Armor	1	1	29
4751	Elite Armor Chest	5271	Desert Gaurdian's Gauntlets	1	1	29
4751	Elite Armor Chest	5272	Desert Gaurdian's Greaves	1	1	29
4751	Elite Armor Chest	5273	Desert Gaurdian's Boots	1	1	29
4751	Elite Armor Chest	4233	Last Rider Armor	1	1	29
4751	Elite Armor Chest	4234	Last Rider Armpads	1	1	29
4751	Elite Armor Chest	4235	Last Rider Tassets	1	1	29
4751	Elite Armor Chest	4236	Last Rider Boots	1	1	29
4751	Elite Armor Chest	4237	Flymoth Armor	1	1	29
4751	Elite Armor Chest	4238	Flymoth Armpads	1	1	29
4751	Elite Armor Chest	4239	Flymoth Tassets	1	1	29
4751	Elite Armor Chest	4240	Flymoth Boots	1	1	29
4751	Elite Armor Chest	4241	Noblepiercer Cap	1	1	29
4751	Elite Armor Chest	4242	Noblepiercer Armor	1	1	29
4751	Elite Armor Chest	4243	Noblepiercer Armpads	1	1	29
4751	Elite Armor Chest	4244	Noblepiercer Tassets	1	1	29
4751	Elite Armor Chest	4245	Noblepiercer Boots	1	1	29
4751	Elite Armor Chest	4246	Red Opera Cap	1	1	29
4751	Elite Armor Chest	4247	Red Opera Armor	1	1	29
4751	Elite Armor Chest	4248	Red Opera Armpads	1	1	29
4751	Elite Armor Chest	4249	Red Opera Tassets	1	1	29
4751	Elite Armor Chest	4250	Red Opera Boots	1	1	29
4751	Elite Armor Chest	4251	Mortal Lion Cap	1	1	29
4751	Elite Armor Chest	4252	Mortal Lion Armor	1	1	29
4751	Elite Armor Chest	4253	Mortal Lion Armpads	1	1	29
4751	Elite Armor Chest	4254	Mortal Lion Tassets	1	1	29
4751	Elite Armor Chest	4255	Mortal Lion Boots	1	1	29
4751	Elite Armor Chest	4256	Bleakheart Cap	1	1	29
4751	Elite Armor Chest	4257	Bleakheart Armor	1	1	29
4751	Elite Armor Chest	4258	Bleakheart Armpads	1	1	29
4751	Elite Armor Chest	4259	Bleakheart Leggings	1	1	29
4751	Elite Armor Chest	4260	Bleakheart Boots	1	1	29
4751	Elite Armor Chest	4262	Mindsearcher Cap	1	1	29
4751	Elite Armor Chest	4261	Mindsearcher Armor	1	1	29
4751	Elite Armor Chest	4263	Mindsearcher Armpads	1	1	29
4751	Elite Armor Chest	4264	Mindsearcher Leggings	1	1	29
4751	Elite Armor Chest	4265	Mindsearcher Boots	1	1	29
4751	Elite Armor Chest	4386	Ghostbless Cap	1	1	29
4751	Elite Armor Chest	4385	Ghostbless Armor	1	1	29
4751	Elite Armor Chest	4387	Ghostbless Armpads	1	1	29
4751	Elite Armor Chest	4388	Ghostbless Leggings	1	1	29
4751	Elite Armor Chest	4389	Ghostbless Boots	1	1	29
4751	Elite Armor Chest	5274	Malice Breath's Cap	1	1	29
4751	Elite Armor Chest	5275	Malice Breath's Armor	1	1	29
4751	Elite Armor Chest	5276	Malice Breath's Armpads	1	1	29
4751	Elite Armor Chest	5277	Malice Breath's Hoses	1	1	29
4751	Elite Armor Chest	5278	Malice Breath's Boots	1	1	29
4751	Elite Armor Chest	4266	Voyager Garb	1	1	29
4751	Elite Armor Chest	4267	Voyager Bracelets	1	1	29
4751	Elite Armor Chest	4268	Voyager Kilt	1	1	29
4751	Elite Armor Chest	4269	Voyager Boots	1	1	29
4751	Elite Armor Chest	4270	Braincastle Garb	1	1	29
4751	Elite Armor Chest	4271	Braincastle Bracelets	1	1	29
4751	Elite Armor Chest	4272	Braincastle Kilt	1	1	29
4751	Elite Armor Chest	4273	Braincastle Boots	1	1	29
4751	Elite Armor Chest	4275	Battlerattle Headband	1	1	29
4751	Elite Armor Chest	4274	Battlerattle Garb	1	1	29
4751	Elite Armor Chest	4276	Battlerattle Bracelets	1	1	29
4751	Elite Armor Chest	4277	Battlerattle Kilt	1	1	29
4751	Elite Armor Chest	4278	Battlerattle Boots	1	1	29
4751	Elite Armor Chest	4280	Wisdom Age Headband	1	1	29
4751	Elite Armor Chest	4279	Wisdom Age Garb	1	1	29
4751	Elite Armor Chest	4281	Wisdom Age Bracelets	1	1	29
4751	Elite Armor Chest	4282	Wisdom Age Kilt	1	1	29
4751	Elite Armor Chest	4283	Wisdom Age Boots	1	1	29
4751	Elite Armor Chest	4285	Grimjoker Headband	1	1	29
4751	Elite Armor Chest	4284	Grimjoker Garb	1	1	29
4751	Elite Armor Chest	4286	Grimjoker Bracelets	1	1	29
