start_portal	finish_portal	cost
잊혀진 무덤	잊혀진 무덤 출구	0
잊혀진 무덤 1층 출구	잊혀진 무덤 2층 입구	0
잊혀진 무덤 2층 입구	잊혀진 무덤 1층 출구	0
잊혀진 무덤 2층 출구	잊혀진 무덤 3층 입구	0
잊혀진 무덤 3층 입구	잊혀진 무덤 2층 출구	0
탈론 야드	죽은 자의 무덤 입구	0
죽은자의 무덤	죽은 자의 무덤 출구	0
죽은 자의 무덤 1층 출구	죽은 자의 무덤 2층 입구	0
죽은 자의 무덤 2층 입구	죽은 자의 무덤 1층 출구	0
죽은 자의 무덤 2층 출구	죽은 자의 무덤 3층 입구	0
죽은 자의 무덤 3층 입구	죽은 자의 무덤 2층 출구	0
캐러번 로드	이름없는 무덤 입구	0
이름없는 무덤	이름없는 무덤 출구	0
이름없는 무덤 1층 출구	이름없는 무덤 2층 입구	0
이름없는 무덤 2층 입구	이름없는 무덤 1층 출구	0
이름없는 무덤 2층 출구	이름없는 무덤 3층 입구	0
이름없는 무덤 3층 입구	이름없는 무덤 2층 출구	0
엘로힘 망루	금지된 광산 입구	0
금지된 광산	금지된 광산 출구	0
금지된 광산 1층 출구	금지된 광산 2층 입구	0
금지된 광산 2층 입구	금지된 광산 1층 출구	0
금지된 광산 2층 출구	금지된 광산 3층 입구	0
금지된 광산 3층 입구	금지된 광산 2층 출구	0
광산 마을	오래된 광산 입구	0
오래된 광산	오래된 광산 출구	0
오래된 광산 1층 출구	오래된 광산 2층 입구	0
오래된 광산 2층 입구	오래된 광산 1층 출구	0
오래된 광산 2층 출구	오래된 광산 3층 입구	0
오래된 광산 3층 입구	오래된 광산 2층 출구	0
공중 다리	닫혀진 광산 입구	0
닫혀진 광산	닫혀진 광산 출구	0
닫혀진 광산 1층 출구	닫혀진 광산 2층 입구	0
닫혀진 광산 2층 입구	닫혀진 광산 1층 출구	0
닫혀진 광산 2층 출구	닫혀진 광산 3층 입구	0
닫혀진 광산 3층 입구	닫혀진 광산 2층 출구	0
염랑의 동굴 입구	염랑의 동굴 1층 입구	0
염랑의 동굴 1층 입구	염랑의 동굴 입구	0
염랑의 동굴 1층 출구	염랑의 동굴 2층 입구	0
염랑의 동굴 2층 입구	염랑의 동굴 1층 출구	0
바란다이크	염화의 동굴 1층 입구	0
염화의 동굴 1층 입구	바란다이크	0
염화의 동굴 1층 출구	염화의 동굴 2층 입구	0
염화의 동굴 2층 입구	염화의 동굴 1층 출구	0
데드라인	작열의 동굴 1층 입구	0
작열의 동굴 1층 입구	데드라인	0
작열의 동굴 1층 출구	작열의 동굴 2층 입구	0
작열의 동굴 2층 입구	작열의 동굴 1층 출구	0
멤브	인플레임 성 인근	0
멤브레덴	인플레임 성 인근	0
인플레임	멤브레덴	0
인플레임 성 인근	멤브레덴	0
도시 툴란	도시 엘로르	3700
도시 엘로르	도시 툴란	3700
시엔 마을	엘리시온 동쪽	100
시엔 마을	사리엔드	1000
엘리시온 동쪽	시엔 마을	1200
엘리시온 동쪽	사리엔드	600
사리엔드	시엔 마을	2000
사리엔드	엘리시온 동쪽	800
사리엔드	란파	2000
란파	사리엔드	3000
란파	톤파	3000
톤파	란파	3500
톤파	벨제루크 동부	1200
톤파	글렌데스틴 숲 남동부	1200
톤파	스톨	4000
벨제루크 동부	톤파	2300
벨제루크 동부	스톨	1200
스톨	톤파	4000
스톨	할리엔	4500
스톨	벨제루크 동부	2200
스톨	글렌데스틴 숲 남동부	1000
스톨	포츈로드 동부	2300
할리엔	포츈로드 동부	2500
글렌데스틴 숲 남동부	스톨	1000
글렌데스틴 숲 남동부	톤파	2500
포츈로드 동부	스톨	1800
포츈로드 동부	할리엔	3500
