Item_Name	TID	ANTI Number	SecondCategory	Skill_Name	Skill_Level	Skill_Rate	Upper_Body	Lower_Body	Weapon	Shield	Head	Ring	Necklace	Shoes	Gloves	Success_Rate	Rank	Mount_Restriction_Level	Description
Mana Prayer Stone<Lv2>	1833	2	33				O									95	2	1	Max. Mana +65
Mana Replenishment Prayer Stone<Lv2>	1835	6	34									O	O			95	2	1	Restores 5 mana every 10 seconds
Deadly Poison Prayer Stone<Lv2>	1837		32	Deadly Poison Prayer Stone <Option 1>	1	5			O							95	2	1	5% chance on hit to deal 20 poison damage every 3 seconds for 30 seconds
Physical Resistance Prayer Stone<Lv2>	1839	8	33				O	O								95	2	1	Resistance +8%
Defense Prayer Stone<Lv2>	1841		33				O									95	2	1	Defense +3
Life Prayer Stone<Lv2>	1843	1	33				O									95	2	1	Max. HP +65
Life Recovery Prayer Stone<Lv2>	1845	7	34									O	O			95	2	1	Heals you for 5 health every 10 seconds
Skill Block Prayer Stone<Lv2>	1847	9	33					O		O						95	2	1	Skill Block +6%
Thunder Prayer Stone<Lv2>	1849		32	Lightning Prayer Stone <Option 1>	1	5			O							95	2	1	Lightning damage +7 with a 5% chance to stun the target for 3 seconds
Spirit Uplift Prayer Stone<Lv2>	1851	5	33				O									95	2	1	Max. Mana +8%
Stamina Buff Prayer Stone<Lv2>	1853	4	33				O									95	2	1	Max. HP +8%
Quickness Prayer Stone<Lv1>	1855	80	38											O		100	1	1	Movement Speed +3%
Quickness Prayer Stone<Lv2>	1856	80	38											O		95	2	1	Movement Speed +6%
Quickness Prayer Stone<Lv3>	1857	80	38											O		90	3	1	Movement Speed +9%
Light Speed Prayer Stone<Lv1>	1860	90	38												O	100	1	1	Attack Speed +5%
Light Speed Prayer Stone<Lv2>	1861	90	38												O	95	2	1	Attack Speed +10%
Light Speed Prayer Stone<Lv3>	1862	90	38												O	90	3	1	Attack Speed +15%
Might Prayer Stone<Lv1>	1865		39								O	O	O			100	1	1	Strength +10
Might Prayer Stone<Lv2>	1866		39								O	O	O			95	2	1	Strength +20
Might Prayer Stone<Lv3>	1867		39								O	O	O			90	3	1	Strength +30
Agility Prayer Stone<Lv1>	1870		39								O	O	O			100	1	1	Agility +10
Agility Prayer Stone<Lv2>	1871		39								O	O	O			95	2	1	Agility +15
Agility Prayer Stone<Lv3>	1872		39								O	O	O			90	3	1	Agility +20
Prayer Stone of Knowledge <Lv1>	1875		39								O	O	O			100	1	1	Intelligence +10
Prayer Stone of Knowledge <Lv2>	1876		39								O	O	O			95	2	1	Intelligence +20
Prayer Stone of Knowledge <Lv3>	1877		39								O	O	O			90	3	1	Intelligence +30
Stamina Prayer Stone<Lv1>	1880		39								O	O	O			100	1	1	Stamina +5
Stamina Prayer Stone<Lv2>	1881		39								O	O	O			95	2	1	Stamina +10
Stamina Prayer Stone<Lv3>	1882		39								O	O	O			90	3	1	Stamina +15
Wisdom Prayer Stone<Lv1>	1885		39								O	O	O			100	1	1	Wisdom +10
Wisdom Prayer Stone<Lv2>	1886		39								O	O	O			95	2	1	Wisdom +15
Wisdom Prayer Stone<Lv3>	1887		39								O	O	O			90	3	1	Wisdom +20
Critical Hit Prayer Stone<Lv1>	1890	100	38												O	100	1	1	Critical Hit damage increased by +10%
Critical Hit Prayer Stone<Lv2>	1891	100	38												O	95	2	1	Critical Hit damage increased by +15%
Critical Hit Prayer Stone<Lv3>	1892	100	38												O	90	3	1	Critical Hit damage increased by +20%
Angel Wings<Lv1>	4571	60	36										O			100	1	1	Movement Speed +10%
Destiny Prayer Stone	4572	70	37				O	O	O		O			O	O	100	1	1	Adds Socket and Bonus
Destiny Prayer Stone	4575	70	37				O	O	O		O			O	O	30	1	1	Adds Socket and Bonus
Destiny Prayer Stone	4576	70	37				O	O	O		O			O	O	70	1	1	Adds Socket and Bonus
Lord Wings<Lv1>	4607	60	36										O			100	1	1	Movement Speed +10%
Superior Stone	4742	50	35												O	100	1	1	Attack Speed +10%
Lucky Prayer Stone<Lv1>	6074	110	40											O		100	1	1	Bonus drop rate +5%
Lucky Prayer Stone<Lv2>	6075	110	40											O		95	2	1	Bonus drop rate +10%
Lucky Prayer Stone<Lv3>	6076	110	40											O		90	3	1	Bonus drop rate +15%
Destiny Prayer Stone	6183	70	37				O	O	O		O			O	O	100	1	1	Adds Socket and Bonus
Dark Wings<Lv2>	6225	60	36										O			100	1	1	Movement Speed +11%
Dark Wings<Lv3>	6226	60	36										O			100	1	1	Movement Speed +12%
Dark Wings<Lv4>	6227	60	36										O			100	1	1	Movement Speed +13%
Dark Wings<Lv5>	6228	60	36										O			100	1	1	Movement Speed +14%
Death Wings<Lv2>	6229	60	36										O			100	1	1	Movement Speed +11%
Death Wings<Lv3>	6230	60	36										O			100	1	1	Movement Speed +12%
Death Wings<Lv4>	6231	60	36										O			100	1	1	Movement Speed +13%
Death Wings<Lv5>	6232	60	36										O			100	1	1	Movement Speed +14%
Eternity Wings<Lv2>	6233	60	36										O			100	1	1	Movement Speed +11%
Eternity Wings<Lv3>	6234	60	36										O			100	1	1	Movement Speed +12%
Eternity Wings<Lv4>	6235	60	36										O			100	1	1	Movement Speed +13%
Eternity Wings<Lv5>	6236	60	36										O			100	1	1	Movement Speed +14%
Judgement Wings<Lv2>	6237	60	36										O			100	1	1	Movement Speed +11%
Judgement Wings<Lv3>	6238	60	36										O			100	1	1	Movement Speed +12%
Judgement Wings<Lv4>	6239	60	36										O			100	1	1	Movement Speed +13%
Judgement Wings<Lv5>	6240	60	36										O			100	1	1	Movement Speed +14%
Infinity Wings<Lv6>	6241	60	36										O			100	1	1	Movement Speed +15%
Dark Wings<Lv1>	6243	60	36										O			100	1	1	Movement Speed +10%
Death Wings<Lv1>	6244	60	36										O			100	1	1	Movement Speed +10%
Eternity Wings<Lv1>	6245	60	36										O			100	1	1	Movement Speed +10%
Judgement Wings<Lv1>	6246	60	36										O			100	1	1	Movement Speed +10%
Lord Wings<Lv2>	6247	60	36										O			100	1	1	Movement Speed +11%
Lord Wings<Lv3>	6248	60	36										O			100	1	1	Movement Speed +12%
Lord Wings<Lv4>	6249	60	36										O			100	1	1	Movement Speed +13%
Lord Wings<Lv5>	6250	60	36										O			100	1	1	Movement Speed +14%
Angel Wings<Lv2>	6251	60	36										O			100	1	1	Movement Speed +11%
Angel Wings<Lv3>	6252	60	36										O			100	1	1	Movement Speed +12%
Angel Wings<Lv4>	6253	60	36										O			100	1	1	Movement Speed +13%
Angel Wings<Lv5>	6254	60	36										O			100	1	1	Movement Speed +14%
Defense Prayer Stone<Lv3>	6363		33				O									90	3	1	Defense +4
Attack Prayer Stone<Lv3>	6364		32						O							90	3	1	Damage +3
Destiny Prayer Stone	7381	70	37				O	O	O		O			O	O	100	1	1	Adds Socket and Bonus
Small Emerald	7501	121	32									O	O			80	1	1	Damage +3
Small Black Pearl	7502	122	32									O	O			80	1	1	Attack Rating +3
Small Zircon	7503	123	33									O	O			80	1	1	Block +2%
Small Diamond	7504	124	33									O	O			80	1	1	Defense +3
Small Ruby	7505	125	33									O	O			80	1	1	Max. HP +20
Small Sapphire	7506	126	33									O	O			80	1	1	Max. Mana +20
Big Emerald	7507	121	32									O	O			65	2	30	Damage +5
Big Black Pearl	7508	122	32									O	O			65	2	30	Attack Rating +4
Big Zircon	7509	123	33									O	O			65	2	30	Block +3%
Big Diamond	7510	124	33									O	O			65	2	30	Defense +5
Big Ruby	7511	125	33									O	O			65	2	30	Max. HP +30
Big Sapphire	7512	126	33									O	O			65	2	30	Max. Mana +30
Big Topaz	7513	127	33									O	O			65	2	30	Max. HP +2%
Big Aquamarine	7514	128	33									O	O			65	2	30	Max. Mana +2%
Fantastic Emerald	7515	121	32									O	O			50	3	50	Damage +10
Fantastic Black Pearl	7516	122	32									O	O			50	3	50	Attack Rating +6
Fantastic Zircon	7517	123	33									O	O			50	3	50	Block +5%
Fantastic Diamond	7518	124	33									O	O			50	3	50	Defense +7
Fantastic Ruby	7519	125	33									O	O			50	3	50	Max. HP +50
Fantastic Sapphire	7520	126	33									O	O			50	3	50	Max. Mana +50
Fantastic Topaz	7521	127	33									O	O			50	3	50	Max. HP +3%
Fantastic Aquamarine	7522	128	33									O	O			50	3	50	Max. Mana +3%
Fantastic White Pearl	7523	129	33									O	O			50	3	50	Resistance +3%
Fantastic Amethyst	7524	130	33									O	O			50	3	50	Skill Block +3%
Cloak of Elemental Mastery Lv 1	9040	200	36										O			100	1	1	All Elemental Attacks +5 / All Elemental Resistances +8%
Cloak of Elemental Mastery Lv 2	9041	200	36										O			100	1	1	All Elemental Attacks +6 / All Elemental Resistances +9%
Cloak of Elemental Mastery Lv 3	9042	200	36										O			100	1	1	All Elemental Attacks +7 / All Elemental Resistances +10%
Cloak of Elemental Mastery Lv 4	9043	200	36										O			100	1	1	All Elemental Attacks +8 / All Elemental Resistances +11%
Cloak of Elemental Mastery Lv 5	9044	200	36										O			100	1	1	All Elemental Attacks +9 / All Elemental Resistances +12%
Cloak of Elemental Mastery Lv 6	9045	200	36										O			100	1	1	All Elemental Attacks +10 / All Elemental Resistances +13%
Cloak of Elemental Mastery Lv 7	9046	200	36										O			100	1	1	All Elemental Attacks +11 / All Elemental Resistances +14%
Cloak of Elemental Mastery Lv 8	9047	200	36										O			100	1	1	All Elemental Attacks +12 / All Elemental Resistances +15%
Prayer Stone of Ring Spirit Lv 1	9048	201	36									O				100	1	1	Resistance +5%
Prayer Stone of Ring Spirit Lv 2	9049	201	36									O				100	1	1	Resistance +6%
Prayer Stone of Ring Spirit Lv 3	9050	201	36									O				100	1	1	Resistance +7%
Prayer Stone of Ring Spirit Lv 4	9051	201	36									O				100	1	1	Resistance +8%
Prayer Stone of Ring Spirit Lv 5	9052	201	36									O				100	1	1	Resistance +9%
Prayer Stone of Ring Spirit Lv 6	9053	201	36									O				100	1	1	Resistance +10%
Prayer Stone of Ring Spirit Lv 7	9054	201	36									O				100	1	1	Resistance +11%
Prayer Stone of Ring Spirit Lv 8	9055	201	36									O				100	1	1	Resistance +12%
Cloak of Elemental Mastery Lv 1	9178	200	36										O			100	1	1	All Elemental Attacks +5 / All Elemental Resistances +8%
Cloak of Elemental Mastery Lv 2	9179	200	36										O			100	1	1	All Elemental Attacks +6 / All Elemental Resistances +9%
Cloak of Elemental Mastery Lv 3	9180	200	36										O			100	1	1	All Elemental Attacks +7 / All Elemental Resistances +10%
Cloak of Elemental Mastery Lv 4	9181	200	36										O			100	1	1	All Elemental Attacks +8 / All Elemental Resistances +11%
Cloak of Elemental Mastery Lv 5	9182	200	36										O			100	1	1	All Elemental Attacks +9 / All Elemental Resistances +12%
Cloak of Elemental Mastery Lv 6	9183	200	36										O			100	1	1	All Elemental Attacks +10 / All Elemental Resistances +13%
Cloak of Elemental Mastery Lv 7	9184	200	36										O			100	1	1	All Elemental Attacks +11 / All Elemental Resistances +14%
Cloak of Elemental Mastery Lv 8	9185	200	36										O			100	1	1	All Elemental Attacks +12 / All Elemental Resistances +15%
Prayer Stone of Ring Spirit Lv 1	9766	201	36									O				100	1	1	Resistance +5%
Prayer Stone of Ring Spirit Lv 2	9767	201	36									O				100	1	1	Resistance +6%
Prayer Stone of Ring Spirit Lv 3	9768	201	36									O				100	1	1	Resistance +7%
Prayer Stone of Ring Spirit Lv 4	9769	201	36									O				100	1	1	Resistance +8%
Prayer Stone of Ring Spirit Lv 5	9770	201	36									O				100	1	1	Resistance +9%
Prayer Stone of Ring Spirit Lv 6	9771	201	36									O				100	1	1	Resistance +10%
Prayer Stone of Ring Spirit Lv 7	9772	201	36									O				100	1	1	Resistance +11%
Prayer Stone of Ring Spirit Lv 8	9773	201	36									O				100	1	1	Resistance +12%
Lord Wings<Lv1>	9774	60	36										O			100	1	1	Movement Speed +10%
Angel Wings<Lv1>	9775	60	36										O			100	1	1	Movement Speed +10%
Dark Wings<Lv2>	9776	60	36										O			100	1	1	Movement Speed +11%
Dark Wings<Lv3>	9777	60	36										O			100	1	1	Movement Speed +12%
Dark Wings<Lv4>	9778	60	36										O			100	1	1	Movement Speed +13%
Dark Wings<Lv5>	9779	60	36										O			100	1	1	Movement Speed +14%
Death Wings<Lv2>	9780	60	36										O			100	1	1	Movement Speed +11%
Death Wings<Lv3>	9781	60	36										O			100	1	1	Movement Speed +12%
Death Wings<Lv4>	9782	60	36										O			100	1	1	Movement Speed +13%
Death Wings<Lv5>	9783	60	36										O			100	1	1	Movement Speed +14%
Eternity Wings<Lv2>	9784	60	36										O			100	1	1	Movement Speed +11%
Eternity Wings<Lv3>	9785	60	36										O			100	1	1	Movement Speed +12%
Eternity Wings<Lv4>	9786	60	36										O			100	1	1	Movement Speed +13%
Eternity Wings<Lv5>	9787	60	36										O			100	1	1	Movement Speed +14%
Judgement Wings<Lv2>	9788	60	36										O			100	1	1	Movement Speed +11%
Judgement Wings<Lv3>	9789	60	36										O			100	1	1	Movement Speed +12%
Judgement Wings<Lv4>	9790	60	36										O			100	1	1	Movement Speed +13%
Judgement Wings<Lv5>	9791	60	36										O			100	1	1	Movement Speed +14%
Infinity Wings<Lv6>	9792	60	36										O			100	1	1	Movement Speed +15%
Dark Wings<Lv1>	9793	60	36										O			100	1	1	Movement Speed +10%
Death Wings<Lv1>	9794	60	36										O			100	1	1	Movement Speed +10%
Eternity Wings<Lv1>	9795	60	36										O			100	1	1	Movement Speed +10%
Judgement Wings<Lv1>	9796	60	36										O			100	1	1	Movement Speed +10%
Lord Wings<Lv2>	9797	60	36										O			100	1	1	Movement Speed +11%
Lord Wings<Lv3>	9798	60	36										O			100	1	1	Movement Speed +12%
Lord Wings<Lv4>	9799	60	36										O			100	1	1	Movement Speed +13%
Lord Wings<Lv5>	9800	60	36										O			100	1	1	Movement Speed +14%
Angel Wings<Lv2>	9801	60	36										O			100	1	1	Movement Speed +11%
Angel Wings<Lv3>	9802	60	36										O			100	1	1	Movement Speed +12%
Angel Wings<Lv4>	9803	60	36										O			100	1	1	Movement Speed +13%
Angel Wings<Lv5>	9804	60	36										O			100	1	1	Movement Speed +14%
Scion Prayer Stone	11016		32				O	O	O		O			O	O	100	1	1	Water / Fire / Earth / Air / Magic / Ice / Lightning / Poison Damages +5
Fragment of Ashtal	11259		50				O	O	O		O	O	O	O	O	100	1	1	
Cloak of Elemental Mastery Lv 2	11306	200	36										O			100	1	1	All Elemental Attacks +6 / All Elemental Resistances +9%
Cloak of Elemental Mastery Lv 5	11307	200	36										O			100	1	1	All Elemental Attacks +9 / All Elemental Resistances +12%
Attack Prayer Stone<Lv4>	11695		32						O							85	4	1	Damage +1
Attack Prayer Stone<Lv5>	11696		32						O							80	5	1	Damage +2
Attack Prayer Stone<Lv6>	11697		32						O							75	6	1	Damage +3
Attack Accuracy Prayer Stone<Lv4>	11698		32						O							85	4	1	Attack Rating +4
Attack Accuracy Prayer Stone<Lv5>	11699		32						O							80	5	1	Attack Rating +6
Attack Accuracy Prayer Stone<Lv6>	11700		32						O							75	6	1	Attack Rating +8
Cold Prayer Stone<Lv4>	11701		32	Cold Prayer Stone <Small>	1	4			O							85	4	1	Ice damage +6 with a 4% chance to slow the target for 5 seconds
Cold Prayer Stone<Lv5>	11702		32	Cold Prayer Stone <Option1>	1	5			O							80	5	1	Ice damage +7 with a 5% chance to slow the target for 5 seconds
Cold Prayer Stone<Lv6>	11703		32	Cold Prayer Stone <Medium>	1	6			O							75	6	1	Ice damage +8 with a 6% chance to slow the target for 5 seconds
Thunder Prayer Stone<Lv4>	11704		32	Lightning Prayer Stone <Small>	1	4			O							85	4	1	Lightning damage +6 with a 4% chance to stun the target for 3 seconds
Thunder Prayer Stone<Lv5>	11705		32	Lightning Prayer Stone <Option 1>	1	5			O							80	5	1	Lightning damage +7 with a 5% chance to stun the target for 3 seconds
Thunder Prayer Stone<Lv6>	11706		32	Lightning Prayer Stone <Medium>	1	6			O							75	6	1	Lightning damage +8 with a 6% chance to stun the target for 3 seconds
Deadly Poison Prayer Stone<Lv4>	11707		32	Deadly Poison Prayer Stone <Small>	1	4			O							85	4	1	4% chance on hit to deal 15 poison damage every 3 seconds for 30 seconds
Deadly Poison Prayer Stone<Lv5>	11708		32	Deadly Poison Prayer Stone <Option 1>	1	5			O							80	5	1	5% chance on hit to deal 20 poison damage every 3 seconds for 30 seconds
Deadly Poison Prayer Stone<Lv6>	11709		32	Deadly Poison Prayer Stone <Medium>	1	6			O							75	6	1	6% chance on hit to deal 25 poison damage every 3 seconds for 30 seconds
Shield Resistance Prayer Stone<Lv4>	11710	202	32							O						85	4	1	5% chance to reflect 2 damage back to the attacker when hit
Shield Resistance Prayer Stone<Lv5>	11711	202	32							O						80	5	1	5% chance to reflect 4 damage back to the attacker when hit
Shield Resistance Prayer Stone<Lv6>	11712	202	32							O						75	6	1	5% chance to reflect 6 damage back to the attacker when hit
Critical Hit Prayer Stone<Lv4>	11713	100	38												O	85	4	1	Critical Hit damage increased by +10%
Critical Hit Prayer Stone<Lv5>	11714	100	38												O	80	5	1	Critical Hit damage increased by +15%
Critical Hit Prayer Stone<Lv6>	11715	100	38												O	75	6	1	Critical Hit damage increased by +20%
Blocking Accuracy Prayer Stone<Lv4>	11716		33							O						85	4	1	Block +2%
Blocking Accuracy Prayer Stone<Lv5>	11717		33							O						80	5	1	Block +9%
Blocking Accuracy Prayer Stone<Lv6>	11718		33							O						75	6	1	Block +6%
Defense Prayer Stone<Lv4>	11719		33				O									85	4	1	Defense +2
Defense Prayer Stone<Lv5>	11720		33				O									80	5	1	Defense +3
Defense Prayer Stone<Lv6>	11721		33				O									75	6	1	Defense +4
Life Prayer Stone<Lv4>	11722	1	33				O									85	4	1	Max. HP +50
Life Prayer Stone<Lv5>	11723	1	33				O									80	5	1	Max. HP +65
Life Prayer Stone<Lv6>	11724	1	33				O									75	6	1	Max. HP +80
Mana Prayer Stone<Lv4>	11725	2	33				O									85	4	1	Max. Mana +50
Mana Prayer Stone<Lv5>	11726	2	33				O									80	5	1	Max. Mana +65
Mana Prayer Stone<Lv6>	11727	2	33				O									75	6	1	Max. Mana +80
Stamina Increase Prayer Stone<Lv4>	11728	4	33				O									85	4	1	Max. HP +6%
Stamina Increase Prayer Stone<Lv5>	11729	4	33				O									80	5	1	Max. HP +8%
Stamina Increase Prayer Stone<Lv6>	11730	4	33				O									75	6	1	Max. HP +10%
Spirit Uplift Prayer Stone<Lv4>	11731	5	33				O									85	4	1	Max. Mana +6%
Spirit Uplift Prayer Stone<Lv5>	11732	5	33				O									80	5	1	Max. Mana +8%
Spirit Uplift Prayer Stone<Lv6>	11733	5	33				O									75	6	1	Max. Mana +10%
Physical Resistance Prayer Stone<Lv4>	11734	8	33				O	O								85	4	1	Resistance +6%
Physical Resistance Prayer Stone<Lv5>	11735	8	33				O	O								80	5	1	Resistance +8%
Physical Resistance Prayer Stone<Lv6>	11736	8	33				O	O								75	6	1	Resistance +10%
Skill Block Prayer Stone<Lv4>	11737	9	33					O		O						85	4	1	Skill Block +4%
Skill Block Prayer Stone<Lv5>	11738	9	33					O		O						80	5	1	Skill Block +6%
Skill Block Prayer Stone<Lv6>	11739	9	33					O		O						75	6	1	Skill Block +8%
Curse Removal Prayer Stone<Lv4>	11740	21	33				O									85	4	1	Reduces poisoning duration effects by 4 seconds
Curse Removal Prayer Stone<Lv5>	11741	21	33				O									80	5	1	Reduces poisoning duration effects by 8 seconds
Curse Removal Prayer Stone<Lv6>	11742	21	33				O									75	6	1	Reduces poisoning duration effects by 12 seconds
Skill Awakening Prayer Stone<Lv4>	11743	22	33				O									85	4	1	Reduces slowing duration effects by 2 seconds
Skill Awakening Prayer Stone<Lv5>	11744	22	33				O									80	5	1	Reduces slowing duration effects by 4 seconds
Skill Awakening Prayer Stone<Lv6>	11745	22	33				O									75	6	1	Reduces slowing duration effects by 6 seconds
Conversion Prayer Stone<Lv4>	11746	23	33				O									85	4	1	Reduces your chance of being stunned by 5%
Conversion Prayer Stone<Lv5>	11747	23	33				O									80	5	1	Reduces your chance of being stunned by 10%
Conversion Prayer Stone<Lv6>	11748	23	33				O									75	6	1	Reduces your chance of being stunned 15%
Mana Replenishment Prayer Stone<Lv4>	11749	6	34									O	O			85	4	1	Restores 4 mana every 10 seconds
Mana Replenishment Prayer Stone<Lv5>	11750	6	34									O	O			80	5	1	Restores 5 mana every 10 seconds
Mana Replenishment Prayer Stone<Lv6>	11751	6	34									O	O			75	6	1	Restores 6 mana every 10 seconds
Life Recovery Prayer Stone<Lv4>	11752	7	34									O	O			85	4	1	Heals you for 4 health every 10 seconds
Life Recovery Prayer Stone<Lv5>	11753	7	34									O	O			80	5	1	Heals you for 5 health every 10 seconds
Life Recovery Prayer Stone<Lv6>	11754	7	34									O	O			75	6	1	Heals you for 6 health every 10 seconds
Quickness Prayer Stone<Lv4>	11755	80	38											O		85	4	1	Movement Speed +3%
Quickness Prayer Stone<Lv5>	11756	80	38											O		80	5	1	Movement Speed +6%
Quickness Prayer Stone<Lv6>	11757	80	38											O		75	6	1	Movement Speed +9%
Light Speed Prayer Stone<Lv4>	11758	90	38												O	85	4	1	Attack Speed +5%
Light Speed Prayer Stone<Lv5>	11759	90	38												O	80	5	1	Attack Speed +10%
Light Speed Prayer Stone<Lv6>	11760	90	38												O	75	6	1	Attack Speed +15%
Might Prayer Stone<Lv4>	11761		39								O	O	O			85	4	1	Strength +10
Might Prayer Stone<Lv5>	11762		39								O	O	O			80	5	1	Strength +20
Might Prayer Stone<Lv6>	11763		39								O	O	O			75	6	1	Strength +30
Agility Prayer Stone<Lv4>	11764		39								O	O	O			85	4	1	Agility +10
Agility Prayer Stone<Lv5>	11765		39								O	O	O			80	5	1	Agility +15
Agility Prayer Stone<Lv6>	11766		39								O	O	O			75	6	1	Agility +20
Prayer Stone of Knowledge <Lv4>	11767		39								O	O	O			85	4	1	Intelligence +10
Prayer Stone of Knowledge <Lv5>	11768		39								O	O	O			80	5	1	Intelligence +20
Prayer Stone of Knowledge <Lv6>	11769		39								O	O	O			75	6	1	Intelligence +30
Stamina Prayer Stone<Lv4>	11770		39								O	O	O			85	4	1	Stamina +5
Stamina Prayer Stone<Lv5>	11771		39								O	O	O			80	5	1	Stamina +10
Stamina Prayer Stone<Lv6>	11772		39								O	O	O			75	6	1	Stamina +15
Wisdom Prayer Stone<Lv4>	11773		39								O	O	O			85	4	1	Wisdom +10
Wisdom Prayer Stone<Lv5>	11774		39								O	O	O			80	5	1	Wisdom +15
Wisdom Prayer Stone<Lv6>	11775		39								O	O	O			75	6	1	Wisdom +20
Lucky Prayer Stone<Lv4>	11776	110	40											O		85	4	1	Bonus drop rate +5%
Lucky Prayer Stone<Lv5>	11777	110	40											O		80	5	1	Bonus drop rate +10%
Lucky Prayer Stone<Lv6>	11778	110	40											O		75	6	1	Bonus drop rate +15%
