ìŠ¤í‚¬ëª…	attribute	upgradable	check_range	target	range	requirement	condition	other_condition	arg1	arg2	arg3	arg4	arg_string	melee_attack	magic_attack	count	special_status	special_status_arg	move_pos	update_factor	reflect_melee_attack	reflect_magic_attack	reflect_heroic_attack	defense_melee_attack	defense_magic_attack	magic_resist_level_up	dispel_magic	transform_target	life_protection	dot	infect_around	add_spellcount	dmg_adjust	skill_factor_adjust	update_combat_point	regen_hp	convert_type	charge	skill_levelup	product	twice_packet	auto_attack	dynamic_target	action_on_action	at_field	summons	action_passive	duration_type	limited_max_level	release_target	visible_effect_type	game_bonus	item_use_type	cash	level_diff_type	detect	ride	game_effect	force	divide	resurrection	skill_union	target_restriction	disturb	downtime_id	downtime_duration	applied_cooldown_cap
<BOSS><Centaur Commander> Spear Blast	1	2	1	1	1404									101																																																					
<BOSS><Zombie Lord> Apparition	1	2	1	1	304									101																																																					
<BOSS><Harpy Queen> Storm	1	2	1	1	304									101																																																					
<BOSS><Runebat Leader> Sonic Wave	1	2	1	1	1404									101																																																					
<BOSS><Gigantic Spider Queen> Poison Web	1	2	1	1	304									101																																																					
Chain Action	21	1	1	1	202	1								101			3			10																					1																										
Poison Scroll	21	2	1	1	202		1000																							10001																																					
Lightning Scroll	1	2	1	1	202		1000							101			1			10																																															
<MOB>Magic Elemental Skill																																																																			
<MOB>Water Elemental Skill																																																																			
<MOB>Wind Elemental Skill																																																																			
<MOB>Earth Elemental Skill																																																																			
<MOB>Fire Elemental Skill																																																																			
<MOB>Venom Elemental Skill																																																																			
<MOB>Ice Elemental Skill																																																																			
<MOB>Lightning Elemental Skill																																																																			
Natural Warrior	10	1	2	100	1	1														10																					2																										
Skinning	8	1	1	1	202	4			654		4	8000																												1																											
Carving	8	1	1	1	202	4			654		4	8000																												1																											
Cooking	8	1	2	100		4			655			8000																												1																											
Mighty Counter Attack	9	1	2	111	1				10															2																																											
Hell Strike	9	1	2	111	1				5					107																																																					
Death Heat	9	1	2	111	1				7	200				106																																																					
Predict	9	1	2	111	1															10																																															
Sprite Shining	9	1	2	111	1															10																																															
Chant Erection	9	1	2	111	1				4	180																																																									
Santa's Socks2	10	2	2	100	1															10																																1															
Physical Gain	9	1	2	111	1				100	105																																																									
Mana Effect	9	1	2	111	1															10														2																																	
Maximum Life Increase Skill Level 1	10	2	2	100	1															10																																															
Maximum Life Increase Skill Level 2	10	2	2	100	1															10																																															
Maximum Mana Increase Skill Level 1	10	2	2	100	1															10																																															
Maximum Mana Increase Skill Level 2	10	2	2	100	1															10																																															
Attack Power Increase Skill Level 1	10	2	2	100	1															10																																															
Attack Power Increase Skill Level 2	10	2	2	100	1															10																																															
Defense Power Increase Skill Level 1	10	2	2	100	1															10																																															
Defense Power Increase Skill Level 2	10	2	2	100	1															10																																															
Spirit Snap	9	1	2	111	1															10																																															
Normal Attack	1	2	2	1	202																																					1																									
Blade Sting	21	1	1	1	202	5								101																											2																										
Stun Shock	1	1	1	1	202	7	1000							101			1																								2																										
Swing shot	21	1	1	1	1304	8								101																											2																										
Axe Smash	21	1	1	1	202	6								101																10001											2																										
Spirit Shield	10	1	2	100	1	3			9											107																					2																										
Stun Protection	10	1	2	100	1	3											8																								2																										
Sprint	10	1	2	100	1	1														10																					2																										
Charge Shot	1	1	1	1	1304	1								101																											1																										
Sniper Shot	1	1	1	1	202	1								101																											1																										
Poison Shot	21	1	1	1	202	1								101																10001											1																										
Soul Breath	10	1	2	100	1	1														10																					2																										
Dodge	9	1	2	111	1				1											10																																															
Dash	9	1	2	111	1															10																																															
Force	1	2	1	1	202	1								101																											1																										
Power Staff	10	1	2	100	1	9			10											107																					2																										
Power Wand	10	1	2	100	1	10			11											107																					2																										
Small Movement Speed Potion	10	2	2	100	1															10																																															
Medium Movement Speed Potion	10	2	2	100	1															10																																															
Large Movement Speed Potion	10	2	2	100	1															10																																															
Small Attack Speed Potion	10	2	2	100	1															10																																															
Medium Attack Speed Potion	10	2	2	100	1															10																																															
Large Attack Speed Potion	10	2	2	100	1															10																																															
Maximum Life Increase Skill Level 3	10	2	2	100	1															10																																															
Maximum Mana Increase Skill Level 3	10	2	2	100	1															10																																															
Attack Power Increase Skill Level 3	10	2	2	100	1															10																																															
Defense Power Increase Skill Level 3	10	2	2	100	1															10																																															
Mana Replenishment Skill Level 1	10	2	2	100	1																															2																															
Mana Replenishment Skill Level 2	10	2	2	100	1																															2																															
Mana Replenishment Skill Level 3	10	2	2	100	1																															2																															
Life Replenishment Skill Level 1	10	2	2	100	1																															1																															
Life Replenishment Skill Level 2	10	2	2	100	1																															1																															
Life Replenishment Skill Level 3	10	2	2	100	1																															1																															
Fire Attack Skill Level 1	10	2	2	100	1															10																																															
Fire Attack Skill Level 2	10	2	2	100	1															10																																															
Water Attack Skill Level 1	10	2	2	100	1															10																																															
Water Attack Skill Level 2	10	2	2	100	1															10																																															
Wind Attack Skill Level 1	10	2	2	100	1															10																																															
Wind Attack Skill Level 2	10	2	2	100	1															10																																															
Earth Attack Skill Level 1	10	2	2	100	1															10																																															
Earth Attack Skill Level 2	10	2	2	100	1															10																																															
Magic Attack Skill Level 1	10	2	2	100	1															10																																															
Magic Attack Skill Level 2	10	2	2	100	1															10																																															
Fire Defense Skill Level 1	10	2	2	100	1															10																																															
Fire Defense Skill Level 2	10	2	2	100	1															10																																															
Water Defense Skill Level 1	10	2	2	100	1															10																																															
Water Defense Skill Level 2	10	2	2	100	1															10																																															
Wind Defense Skill Level 1	10	2	2	100	1															10																																															
Wind Defense Skill Level 2	10	2	2	100	1															10																																															
Earth Defense Skill Level 1	10	2	2	100	1															10																																															
Earth Defense Skill Level 2	10	2	2	100	1															10																																															
Magic Defense Skill Level 1	10	2	2	100	1															10																																															
Magic Defense Skill Level 2	10	2	2	100	1															10																																															
Cold Prayer Stone <Small>	10010	1	2	1	2												3			10																																	1														
Cold Prayer Stone <Medium>	10010	1	2	1	2												3			10																																	1														
Cold Prayer Stone <Large>	10010	1	2	1	2												3			10																																	1														
Lightning Prayer Stone <Small>	10010	1	2	1	2												1																																				1														
Lightning Prayer Stone <Medium>	10010	1	2	1	2												1																																				1														
Lightning Prayer Stone <Large>	10010	1	2	1	2												1																																				1														
Deadly Poison Prayer Stone <Small>	10020	1	2	1	2																									10001																							1														
Deadly Poison Prayer Stone <Medium>	10020	1	2	1	2																									10001																							1														
Deadly Poison Prayer Stone <Large>	10020	1	2	1	2																									10001																							1														
Ransacking	8	1	1	1	202	4			654		4	8000																												1																											
Alchemy	8	1	2	100		4			1016			8000																												1																											
Invincible State	10	2	2	100	1																																																														
Hell Bound	1	1	1	1	202	1								101																											1																										
True Impact	21	1	1	1	202	1								101						10																					1																										
Arrow Spear	1	1	1	1	1404	1								101																											1																										
Jumping Shot	1	1	1	1	202	1								101																											1																										
Third Strike																																																																			
Power Glaive																																																																			
Sniper	1	1	1	1	202	11								101																											1																										
Chain Reaction	21	1	1	1	202	11								101			3			10																					2																										
Sequence Attack	21	1	1	1	1304	1								101						10												1									1																										
Time Attack	20	1	1	1	202	1																																			1			1																							
Shadow Chaser	1	1	1	1	202	1								101																											1			2																							
Elemental Core	21	1	1	1	1304	1	1000							109						10																					1																										
Air Walk	10	1	2	100	1	1														10																					2																										
Elemental Defense	10	1	2	100	1	1														10																					2																										
Glaive																																																																			
Mantle of Darkness																																																																			
Mana Absorb	10	1	2	100	1	1	1000														8																				2																										
Life Extinction	10	1	2	100	1	1	1000																														4				2																										
Eternal Soul	10	1	2	100	1	1														10																					2																										
Moonlight Fever	10	1	2	100	1	1			1											10																					2																										
Bad Friends	10	1	2	100	1	1														10																					2																										
Blind																																																																			
Invisibility	10	1	2	100	1												10																								2																										
Move Out																																																																			
Optimize																																																																			
Acute Shot	9	1	2	111	1															10																																															
Moonlight Breath	9	1	2	111	1		1000		5	150				106						10																																															
Mana Growth																																																																			
Griolli	20210	1	2	100	1	1																																			2					1																					
Tuuga	20210	1	2	100	1	1																																			2					1																					
Silpid	20210	1	2	100	1	1																																			2					1																					
Snow Hazard	21	1	1	1	1304	1	1000							101			1																								1																										
Gradion	20210	1	2	100	1	1																																			2					1																					
Mercury	20210	1	2	100	1	1																																			2					1																					
Thunder Descent	1	1	1	1	1304	1								101						10																					2																										
Poison Vapor	21	1	1	101	1304	1								101																10001											1																										
Elemental Storm	1	1	1	1	1304	1								101																											2																										
Venom	20210	1	2	100	1	1																																			2					1																					
Cygnus	20210	1	2	100	1	1																																			2					1																					
Silver	20210	1	2	100	1	1																																			2					1																					
Increase Life																																																																			
Moonlight Blessing	10	1	2	100	5	1														10																					2																										
Good Trophy																																																																			
Twist																																																																			
Anti Critical																																																																			
Adapted Soul																																																																			
Soul Barrier	10	1	2	100	1	1	1000													10	2																				2																										
Recall																																																																			
Fairy Bless	10	1	2	100	1	1														10																					2																										
Hyper Soul	10	1	2	100	501	1														10				4																	2																										
Increase Gate	10	3	2	100	1	1																																			2					4			1																		
Souless																																																																			
Mutation	21	1	1	1	202	1								0														4						9							2																								6	25000	1
Elemental Heal	9	1	2	111	1															10																										5																					
Defense Sword																																																																			
Defense Arrow																																																																			
Recovery Time	9	1	2	111	1															10														6																																	
<BOSS><Spriggan Lord> Spriggan	1	2	1	1	1304									101																																																					
<BOSS><Marylith Princess> Queen of Water	1	2	1	1	1304									101																																																					
<BOSS><Torge Lord> Earth Mind	1	2	1	1	1304									101																																																					
<BOSS><Vampire Prince> Blood Sign	1	2	1	1	304									101																																																					
<BOSS><Lamia Queen> Lamia Power	1	2	1	1	1304									101																																																					
<BOSS><Ghoul King> Fog of Venom	1	2	1	1	304									101																																																					
<BOSS><Gigantes> Explosion Flame	1	2	1	1	404									101																																																					
Power Surge	9	1	2	111	1															10																																															
Nimbleness	9	1	2	111	1															10																																															
Endurance	9	1	2	111	1															10																																															
Mind Boost	9	1	2	111	1															10																																															
Intellect	9	1	2	111	1															10																																															
Lordmark																																																																			
Cold Prayer Stone <Option1>																																																																			
Cold Prayer Stone <Option 2>																																																																			
Lightning Prayer Stone <Option 1>																																																																			
Lightning Prayer Stone <Option 2>																																																																			
Deadly Poison Prayer Stone <Option 1>																																																																			
Deadly Poison Prayer Stone <Option 2>																																																																			
Critical Hit Prayer Stone <Small>																																																																			
Critical Hit Prayer Stone <Medium>																																																																			
Critical Hit Prayer Stone <Large>																																																																			
Critical Hit Prayer Stone <Option 1>																																																																			
Critical Hit Prayer Stone <Option 2>																																																																			
Mortal Dagger	21	1	1	1	1304	1								101																																																					
Lightning Trap	201	1	2	100	1	1																																			2					2																					
Flame Force	10	1	2	100	1	1																																			2				10001																						
Multi Strike	1	1	1	1	1304	13								101																											1		1																								
<BOSS><Canedog Commander> Skill	1	2	1	1	1304									101																																																					
<BOSS><Gnoll Boss> Skill	1	2	1	1	1404									101																																																					
<BOSS><Bandillion Boss> Skill	1	2	1	1	1404									101																																																					
<BOSS><Grippler King> Skill	1	2	1	1	304									101																																																					
<BOSS><Total Broken> Skill	1	2	1	1	1304									101																																																					
<BOSS><Bronze Dragon Cid> Skill	1	2	1	1	1304									101																																																					
Lightning Strike	21	1	1	1	1304	1								101			3			10										10001											1																										
Descent of Luna	10	1	2	100	501	1														10																					2																										
Holy Ground	200	1	2	100	1	1																																			2					2																					
Frost Armor	10	1	2	100	1	1														10																					2			3																							
Intention	9	1	2	111	1															10				4																																											
Life Grow	9	1	2	111	1															10																																															
<BOSS><Vampire Queen> Approach Skill	1	2	1	1	304									101																																																					
<BOSS><Vampire Queen> Range Skill	1	2	1	1	304									101																																																					
<Summons>Lightning Trap	10	1	2	100	1																																								10002			2																			
<Summons>Griolli	9	1	1	111	1															10																																															
<Summons>Tuuga	10	1	2	100	1		1000					1								10																									10001			2																			
<Summons>Silpid	9	1	1	111	1															10																																															
<Summons>Gradion	9	1	1	111	1															10																																															
<Summons>Mercury	9	1	1	111	1															10																																															
<Summons>Venom	9	1	1	111	1															10																																															
<Summons>Cygnus	9	1	1	111	1															10																																															
<Summons>Silver	9	1	1	111	1															10																																															
<Summons>Holy Ground	10	1	2	100	1																																								10003			2																			
<Summons>Lightning Trap <Additional Effect>																																																					1														
<Summons>Griolli <Additional Effect>	20	1	1	1	202															10																																	1														
<Summons>Tuuga <Additional Effect>	20																																																				1														
<Summons>Silpid <Additional Effect>	20	1	1	1	202															10																																	1														
<Summons>Gradion <Additional Effect>	20	1	1	1	202															10																																	1														
<Summons>Mercury <Additional Effect>	20	1	1	1	202												9			10																																	1														
<Summons>Venom <Additional Effect>	20	1	1	1	202																									10001																							1														
<Summons>Cygnus <Additional Effect>	20	1	1	1	202															10																																	1														
<Summons>Silver <Additional Effect>	20	1	1	1	202												1																																				1														
<Summons>Holy Ground <Additional Effect>	10	1	2	110	308																															3												1					1														
Frost Armor <Additional Effect>	10	1	1	1	202	1	2000										3			10																																	1														
<MOB>Magic Elemental Skill <Additional Effect>																																																																			
<MOB>Water Elemental Skill <Additional Effect>																																																																			
<MOB>Wind Elemental Skill <Additional Effect>																																																																			
<MOB>Earth Elemental Skill <Additional Effect>																																																																			
<MOB>Fire Elemental Skill <Additional Effect>																																																																			
<MOB>Venom Elemental Skill <Additional Effect>																																																																			
<MOB>Ice Elemental Skill <Additional Effect>																																																																			
<MOB>Lightning Elemental Skill <Additional Effect>																																																																			
Might	1	2	1	1	202	1								101																											1																										
<BOSS><Pharaoh King> Skill	1	2	1	1	1404									101																																																					
<BOSS><Euriale Lord> Skill	1	2	1	1	1304									101																																																					
<BOSS><Hawkarrow King> Skill	1	2	1	1	1304									101																																																					
<BOSS><Valor>Skill	1	2	1	1	1404									101																																																					
Event Item01	10	2	2	100	1															10																																															
Event Item02	10	2	2	100	1															10																																															
Event Item03	10	2	2	100	1															10																																															
Event Item04	10	2	2	100	1																																																														
Event Item05	10	2	2	100	1																																																														
Fine Bow	10	1	2	100	1	11			6											107																					2																										
Fine Kataria	10	1	2	100	1	13			12											107																					2																										
Fine Staff	20010	1	2	100	1	9			10											107																					2																										
Fine Chakram	20010	1	2	100	1	14			13											107																					2																										
Elemental Heal <Additional Effect>	10	1	2	111	5															10																												2					1														
<MOB> Lich Approach Skill	1	2	1	1	202									101																																																					
Paint With Blood	10	1	2	100	1	1	1000							106							4																				2																										
Power Kataria	1	1	1	1	202	13								101																											2																										
Defense Master	9	1	2	111	1															10																																															
Combat Master	9	1	2	111	1															10																																															
<BOSS><Valor> Skill2	1	2	1	1	1404									101																																																					
<BOSS><Valor> Skill3	1	2	1	1	304									101																																																					
<BOSS><Lequimes King> Skill	1	2	1	1	304									101																																																					
<BOSS><Amblord> Skill	1	2	1	1	1304									101																																																					
Firecracker																																																																			
Warning																																																																			
<BOSS><Mysterio> Plague of Sob	1	2	1	1	304									101																																																					
<BOSS><Tara> Plague of Max	1	2	1	1	304									101																																																					
<BOSS><Sparta> Spartan Training	1	2	1	1	1304									101																																																					
<BOSS><Mortar> Corpse Miller	1	2	1	1	304									101																																																					
<BOSS><Amantorg> Full Throttle	1	2	1	1	304									101																																																					
<BOSS><Kobolt Dark Wizard> Brain Blizzard	1	2	1	1	1404									101																																																					
Lucky Charm-Quantative System <30 Minutes>	10	2	2	100	1															10																												2			1			1													
Lucky Charm-Quantative System <60 Minutes>	10	2	2	100	1															10																												2			1			1													
Lucky Charm-Flat Sum System <1 Day>	10	2	2	100	1																																											2			1	3		1													
Lucky Charm-Flat Sum System <3 Days>	10	2	2	100	1																																											2			1	3		1													
Lucky Charm-Flat Sum System <14 Days>	10	2	2	100	1																																											2			1	3		1													
Giant Potion	10	2	2	100	1															10																												2			1			1													
Evasion Potion	10	2	2	100	1															10																												2			1			1													
Extra-large Light Speed Potion	10	2	2	100	1															10																												2			1			1													
Extra-large Quickness Potion	10	2	2	100	1															10																												2			1			1													
Extra-large Defense Potion	10	2	2	100	1															10																												2			1			1													
Lens Stone	10	2	2	100	1															10																								4				2			1		1	1													
<BOSS><Fate Insect>Skill1	1	2	1	1	1404									101																																																					
Fire Defense Skill Level 3	10	2	2	100	1															10																																															
Fire Defense Skill Level 4	10	2	2	100	1															10																																															
Water Defense Skill Level 3	10	2	2	100	1															10																																															
Water Defense Skill Level 4	10	2	2	100	1															10																																															
Wind Defense Skill Level 3	10	2	2	100	1															10																																															
Wind Defense Skill Level 4	10	2	2	100	1															10																																															
Earth Defense Skill Level 3	10	2	2	100	1															10																																															
Earth Defense Skill Level 4	10	2	2	100	1															10																																															
Magic Defense Skill Level 3	10	2	2	100	1															10																																															
Magic Defense Skill Level 4	10	2	2	100	1															10																																															
<BOSS><Fate Insect>Skill2	1	2	1	1	1304									101																																																					
<BOSS><Fate Insect>Skill3	1	2	1	1	304									101																																																					
Lucky Amulet - Fixed Price <7 days>	10	2	2	100	1																																											2			1	3		1													
Evil Light	200	2	2	100	1																																				2					7													1								
Lord Howling	10009	2	2	100	1																																																														
Call Dragon	40	2	2	100	1																																				2																1										
Call Royal Knight	210	2	2	100	1																																				2					1													1								
Meteoric Shower	1	2	1	100	701									101																											2																		2								
Improvement in Drop Rate	10	2	2	100	1																																											2			1	6		1													
Day and Night	40	2	2	100	1																																				2																	1									
<Summon> Evil Light																																																																			
<Summon> Call Royal Knight																																																																			
<MOB>Zebus Crusher Long Distance	1	2	1	1	1304									101																																																					
<BOSS> <Blant Queen> Skill 1	1	2	1	1	1304									101																																																					
Life Top Buff	10	3	2	10	602															10																								0				2	1																		
Archon Guard Attack	1	3	1	1	611									101																																			1																		
Guard Tower Attack	1	3	1	1	611									101																																			1																		
Gate Keeper Titan	210	1	2	100	1	1																																								6													1								
<Summon> Gate Keeper Titan																																																																			
Looter Gargantua	210	1	2	100	1	1																																								6													1								
<Summon> Looter Gargantia																																																																			
Colossal	210	1	2	100	1	1																																								6													1								
<Summon> Collossal																																																																			
Critter	210	1	2	100	1	1																																								6													1								
<Summon> Critter																																																																			
<BOSS><Sand Ogre>Skill	1	2	1	1	1404									101																																																					
<Di Kayn>PoisonCircle	1	2	1	1	304									101																																																					
<Di Kayn>DeadlyRaise	1	2	1	1	1404									101																																																					
<Di Kayn>DragonStorm																																																																			
<Di Kayn>Warlord																																																																			
<Summon>Warlord																																																																			
<Trap>Ice Elemental1	1	2	1	1	1404									101																																																					
<Trap>Ice Elemental2	1	2	1	1	1404									101																																																					
<Trap>Ice Elemental3	1	2	1	1	1404									101																																																					
<Trap>Ice Elemental4	1	2	1	1	1404									101																																																					
<Trap>Ice Elemental5	1	2	1	1	1404									101																																																					
<Trap>Ice Elemental6	1	2	1	1	1404									101																																																					
<Trap>Ice Elemental7	1	2	1	1	1404									101																																																					
<Trap>Ice Elemental8	1	2	1	1	1404									101																																																					
<BOSS><Paingrow>CallofName	210	1	2	100	1	1																																								6													1								
