TID	NAME	UseNormalAttack	HateRace	HateRacePercent	HateClass	HateClassPercent	FollowerTID	FollowerNUM	Max_CumulativeFollower	Min_UpkeepFollower	Skill1	SkillCondition	SkillCount	Skill2	SkillCondition	SkillCount	Skill3	SkillCondition	SkillCount	Skill4	SkillCondition	SkillCount	Skill5	SkillCondition	SkillCount	Item1	ItemUseHPLimit	ItemUseNumber	ItemUseInterval	Guard	GuardObject	PreemptiveType	PreemptiveCondition1	PreemptiveCondition2	PreemptiveCondition3	PreemptiveRange	Immunity	ImmunPercent	Attribute	SummonTID	SummonMaxCount	SearchEnemy	StopFight	Escape	EscapteHP	EscapeTime	EscapeNumber	LinkMonsterTID	LinkMonsterSight	HideMonster	HideMonsterHP	HideMonsterTime	MaintenanceRange	Helper	LootItem	LootItemTime	RandomTarget	PinchMonster	Visibility
1220	스켈레톤 속사수	1	오크	125	전사	125					194;1	HP;100%;이하	무한;																																														
3310	파이어 라이칸토	1	인간	130	궁수	125					196;1	HP;100%;이하	무한;																																														
4700	데스 크로우	1	인간	100	궁수	100																																																					
4780	스몰 브로큰	1	인간	100	궁수	100																																																					
6440	브론즈드랜	1	오크	130	법사	125																																																					
2930	리자드맨 병사	1	인간	110	전사	110					197;1	HP;100%;이하	무한;																																														
740	스켈레톤 마법사	1	오크	110	궁수	110																																																					
1230	스켈레톤 주술사	1	인간	120	법사	110					192;1	HP;100%;이하	무한;																																														
2970	매직 라이칸토	1	오크	120	전사	115					192;1	HP;100%;이하	무한;																																														
4590	영히드라	1	인간	125	궁수	115																																																					
4790	스몰 텐터클	1	인간	100	궁수	100					199;1	HP;100%;이하	무한;	430;1	HP;100%;이하	무한;																							고정																				
5080	밴딜리언 정찰병	1	인간	100	궁수	100																																																					
2860	땅굴 사슴	1	오크	125	법사	115																																																					
750	스켈레톤 기사	1	인간	130	전사	120																																																					
6450	젊은 앤트	1	오크	130	궁수	120																																																					
4770	스몰 볼텍스	1	인간	100	궁수	100																																																					
2950	리자드맨 용사	1	인간	110	법사	120																																																					
760	스켈레톤 지휘관	1	오크	110	전사	125					182;1	HP;100%;이하	무한;	192;1	HP;100%;이하	무한;																																											
6220	실버 라이칸토	1	인간	120	궁수	125					195;1;1	HP;100%;이하	무한;																																														
6470	블루 큐브	1	오크	120	법사	125																																																					
5090	밴딜리언 호위병	1	인간	100	궁수	100																																																					
4840	밴딜리언 보스	1	인간	100	궁수	100					374;1	HP;100%;이하	무한;	192;1	HP;100%;이하	무한;																																											
1260	리버고블린 정찰자	1	인간	125	전사	110					193;1	HP;100%;이하	무한;																																														
2940	리자드맨 정찰자	1	오크	125	궁수	110																																																					
7480	마릴리스 리퀴드	1	인간	130	법사	110																																																					
8040	비스트 아이볼	1	오크	130	전사	115																																																					
3260	정찰거미	1	인간	110	궁수	115																																																					
7570	크라바스	1	오크	110	법사	115																																																					
2900	리자드맨 도적	1	인간	120	전사	120																																																					
8050	데스 아이볼	1	오크	120	궁수	120																																																					
5150	브로큰 어벤져	1	인간	100	궁수	100					197;1	HP;100%;이하	무한;																																														
7680	호러 구울	1	인간	125	법사	120																																																					
7420	폼 라미아	1	오크	125	전사	125																																																					
2960	리자드맨 전사	1	인간	130	궁수	125																																																					
1250	리버고블린 도둑	1	오크	130	법사	125																																																					
3010	리자드맨 로드	1	인간	110	전사	110					183;1	HP;100%;이하	무한;	192;1	HP;100%;이하	무한;																																											
4530	트롤노예	1	오크	110	궁수	110																																																					
5160	브로큰 가디언	1	인간	100	궁수	100					193;1	HP;100%;이하	무한;																																														
830	병정거미	1	인간	120	법사	110																																																					
130	큰멧돼지	1	오크	120	전사	115																																																					
3110	스톤이터	1	인간	125	궁수	115					195;1	HP;100%;이하	무한;																																														
6490	하드 큐브	1	오크	125	법사	115																																																					
4850	토탈 브로큰	1	인간	100	궁수	100					376;1	HP;100%;이하	무한;	192;1	HP;100%;이하	무한;																																											
800	리버고블린 레인저	1	인간	130	전사	120																																																					
2790	다이어울프	1	오크	130	궁수	120																																																					
7200	룬박쥐	1	인간	110	법사	120																																																					
4540	트롤호위병	1	오크	110	전사	125																																																					
120	도적	1	인간	120	궁수	125																																																					
7490	마릴리스 레이디	1	오크	120	법사	125																																																					
4960	블러드 크로우	1	인간	100	궁수	100																																																					
5170	와일드 텐터클	1	인간	100	궁수	100					196;1	HP;100%;이하	무한;	430;1	HP;100%;이하	무한;																							고정																				
7380	레릭 구울	1	인간	125	전사	110																																																					
1160	질풍 멧돼지	1	오크	125	궁수	110																																																					
5110	커터 볼텍스	1	인간	100	궁수	100																																																					
780	리버고블린 전사	1	인간	130	법사	110																																																					
7210	흡혈박쥐	1	오크	130	전사	115																																																					
180	바위 앤트	1	인간	110	궁수	115																																																					
340	트롤두목	1	오크	110	법사	115					120;1	HP;100%;이하	무한;	195;1	HP;100%;이하	무한;																																											
4740	캣 그리플러	1	인간	100	궁수	100																																																					
1270	켄들베어	1	인간	120	전사	120					196;1	HP;100%;이하	무한;																																														
2850	도적 정찰자	1	오크	120	궁수	120																																																					
4570	그린드래곤 시드	1	인간	125	법사	120					377;1	HP;100%;이하	무한;	194;1	HP;100%;이하	무한;																																											
160	브론즈드래곤 시드	1	오크	125	전사	125					377;1	HP;100%;이하	무한;	196;1	HP;100%;이하	무한;																																											
390	좀비	1	인간	130	궁수	125																																																					
5180	블레이드 텐터클	1	인간	100	궁수	100					430;1	HP;100%;이하	무한;																										고정																				
5120	플라잉 볼텍스	1	인간	100	궁수	100					194;1	HP;100%;이하	무한;																																														
6360	본드래곤	1	인간	100	궁수	100					377;1	HP;100%;이하	무한;	193;1	HP;100%;이하	무한;																																											
2830	도적 병사	1	오크	130	법사	125																																																					
3270	카네지이터	1	인간	110	전사	110																																																					
4970	블레이드 크로우	1	인간	100	궁수	100																																																					
5060	독 그리플러	1	인간	100	궁수	100																																																					
3070	플레임베어	1	오크	110	궁수	110					196;1	HP;100%;이하	무한;																																														
2810	도적 돌격병	1	인간	120	법사	110					194;1	HP;100%;이하	무한;																																														
7220	거대 룬박쥐	1	오크	120	전사	115																																																					
4720	케인독 노예	1	인간	100	궁수	100																																																					
4800	영 리쉬	1	인간	100	궁수	100					430;1	HP;100%;이하	무한;																										고정																				
170	가고일	1	인간	125	궁수	115																																																					
2840	도적 암살자	1	오크	125	법사	115																																																					
850	좀비 리더	1	인간	130	전사	120																																																					
5130	니들 볼텍스	1	인간	100	궁수	100																																																					
5070	실버 그리플러	1	인간	100	궁수	100					192;1	HP;100%;이하	무한;																																														
3090	가고일 볼트	1	오크	130	궁수	120					199;1	HP;100%;이하	무한;																																														
7130	구울	1	인간	110	법사	120																																																					
2820	큰칼 도적	1	오크	110	전사	125																																																					
1940	마법박쥐 리더	1	인간	120	궁수	125					187;1	HP;100%;이하	무한;	192;1	HP;100%;이하	무한;																																											
4760	영 사바트	1	인간	100	궁수	100																																																					
4980	가디언 크로우	1	인간	100	궁수	100																																																					
900	구울베어	1	오크	120	법사	125																																																					
3350	아웃로	1	인간	125	전사	110																																																					
290	만티코어 킹	1	오크	125	궁수	110					125;1	HP;100%;이하	무한;	192;1	HP;100%;이하	무한;																																											
860	좀비 로드	1	인간	130	법사	110					185;1	HP;100%;이하	무한;	195;1	HP;100%;이하	무한;																																											
5020	케인독 전투병	1	인간	100	궁수	100																																																					
5190	와일드 리쉬	1	인간	100	궁수	100					197;1	HP;100%;이하	무한;	430;1	HP;100%;이하	무한;																							고정																				
4830	그리플러 킹	1	인간	100	궁수	100					375;1	HP;100%;이하	무한;	196;1	HP;100%;이하	무한;																																											
770	붉은멧돼지 임프	1	오크	130	전사	115																																																					
4990	나이트 크로우	1	인간	100	궁수	100																																																					
5140	맨틀 볼텍스	1	인간	100	궁수	100																																																					
2720	아라크노이드 드론	1	인간	110	궁수	115																																																					
4560	영 그리폰	1	오크	110	법사	115																																																					
5030	케인독 가디언	1	인간	100	궁수	100																																																					
5200	포이즌 리쉬	1	인간	100	궁수	100					430;1	HP;100%;이하	무한;																										고정																				
2740	거대 은빛나방	1	인간	120	전사	120																																																					
7320	뱀파이어 윌	1	오크	120	궁수	120																																																					
5100	다크 사바트	1	인간	100	궁수	100					199;1	HP;100%;이하	무한;																																														
4820	케인독 대장	1	인간	100	궁수	100					372;1	HP;100%;이하	무한;	195;1	HP;100%;이하	무한;																																											
2730	아라크노이드 포이즌	1	인간	125	법사	120					197;1	HP;100%;이하	무한;																																														
1240	바람멧돼지 임프	1	오크	125	전사	125					194;1	HP;100%;이하	무한;																																														
870	숲사슴	1	인간	130	궁수	125																																																					
1930	아라크노이드 퀸	1	오크	130	법사	125					188;1	HP;100%;이하	무한;	197;1	HP;100%;이하	무한;																																											
3240	초록 독나방	1	인간	110	전사	110					197;1	HP;100%;이하	무한;																																														
4580	영 드레드울프	1	오크	110	궁수	110																																																					
3360	새도우베어	1	인간	120	법사	110																																																					
350	스프리건 졸병	1	오크	120	전사	115																																																					
50	스프리건 돌격병	1	인간	125	궁수	115																																																					
7430	라미아 메이드	1	오크	125	법사	115																																																					
3050	스프리건 경비병	1	인간	130	전사	120																																																					
3020	스프리건 전투병	1	오크	130	궁수	120																																																					
190	포레스트 버킷	1	인간	110	법사	120																																																					
2880	룬 웨어울프	1	오크	110	전사	125																																																					
240	히드라	1	인간	120	궁수	125					121;1	HP;100%;이하	무한;	193;1	HP;100%;이하	무한;																																											
3040	스프리건 추적병	1	오크	120	법사	125																																																					
3320	스프리건 전사	1	인간	125	전사	110																																																					
3100	갑옷 앤트	1	오크	125	궁수	110																																																					
2980	스펠 웨어울프	1	인간	130	법사	110					192;1	HP;100%;이하	무한;																																														
7560	회색곰	1	오크	130	전사	115																																																					
6370	스프리건 철갑병	1	인간	110	궁수	115																																																					
3080	블랙 웨어울프	1	오크	110	법사	115																																																					
8070	스프리건 호위병	1	인간	120	전사	120																																																					
220	스프리건 로드	1	오크	120	궁수	120					344;1	HP;100%;이하	무한;	196;1	HP;100%;이하	무한;																																											
2890	아르카로스 노예	1	인간	125	법사	120					193;1	HP;100%;이하	무한;																																														
7330	뱀파이어	1	오크	125	전사	125																																																					
6500	블레이드 버킷	1	인간	130	궁수	125																																																					
3150	크래셔 웨어울프	1	오크	130	법사	125																																																					
790	홉고블린	1	인간	110	전사	110																																																					
7540	모벳 키드	1	오크	110	궁수	110																																																					
7510	마릴리스 노블	1	인간	120	법사	110																																																					
3160	영 고르곤	1	오크	120	전사	115																																																					
2910	아르카로스 노예대장	1	인간	125	궁수	115																																																					
7230	켄타우르스 기마병	1	오크	125	법사	115																																																					
810	홉고블린 리더	1	인간	130	전사	120																																																					
3210	유령 도적	1	오크	130	궁수	120																																																					
6300	다크와이번	1	인간	110	법사	120					195;1	HP;100%;이하	무한;																																														
3340	홉고블린 족장	1	오크	110	전사	125					180;1	HP;100%;이하	무한;	192;1	HP;100%;이하	무한;																																											
7550	모벳 라지윙	1	인간	120	궁수	125																																																					
6320	드레드울프	1	오크	120	법사	125																																																					
7500	마릴리스 세일러	1	인간	125	전사	110																																																					
7260	켄타우르스 윈드러너	1	오크	125	궁수	110					194;1	HP;100%;이하	무한;																																														
3380	서브제로	1	인간	130	법사	110																																																					
7440	파운틴 라미아	1	오크	130	전사	115																																																					
1360	어린 하피	1	인간	110	궁수	115																																																					
7520	마릴리스 카운테스	1	오크	110	법사	115																																																					
3140	레인 앤트	1	인간	120	전사	120																																																					
7270	켄타우르스 정찰자	1	오크	120	궁수	120																																																					
230	하피	1	인간	125	법사	120																																																					
7530	와일드 모벳	1	오크	125	전사	125																																																					
7160	마릴리스 프린세스	1	인간	130	궁수	125					345;1	HP;100%;이하	무한;	193;1	HP;100%;이하	무한;																																											
3280	나이트벅	1	오크	130	법사	125																																																					
3300	나이트 앤트	1	인간	110	전사	110																																																					
7300	켄타우르스 사냥꾼	1	오크	110	궁수	110																																																					
3200	윈드윙 하피	1	인간	120	법사	110					194;1	HP;100%;이하	무한;																																														
7110	모벳 로드	1	오크	120	전사	115					187;1	HP;100%;이하	무한;	192;1	HP;100%;이하	무한;																																											
7280	켄타우르스 에어본	1	인간	125	궁수	115																																																					
7100	썬더 그리폰	1	오크	125	법사	115																																																					
7340	뱀파이어 매지션	1	인간	130	전사	120																																																					
2870	가디언 앤트	1	오크	130	궁수	120																																																					
7290	켄타우르스 궁수	1	인간	110	법사	120																																																					
3330	하피 에어워커	1	오크	110	전사	125					194;1	HP;100%;이하	무한;																																														
3130	썬더 고르곤	1	인간	120	궁수	125																																																					
8460	제부스	1	오크	120	전사	100																																																					
8470	어린 브란	1	문엘프	120	궁수	100					192;1	HP;100%;이하	무한;																																														
270	앤트 로드	1	오크	120	법사	125					346;1	HP;100%;이하	무한;	195;1	HP;100%;이하	무한;																																											
2690	켄타우르스 대장	1	인간	125	전사	110					184;1	HP;100%;이하	무한;	194;1	HP;100%;이하	무한;																																											
1350	하피 퀸	1	오크	125	궁수	110					186;1	HP;100%;이하	무한;	199;1	HP;100%;이하	무한;																																											
7370	뱀파이어 기사	1	인간	130	법사	110																																																					
8480	로담 크러셔	1	인간	120	법사	100																																																					
8320	에우리알레 병사	1	문엘프	120	궁수	100					197;1	HP;100%;이하	무한;																																														
7180	그리폰	1	오크	130	전사	115					124;1	HP;100%;이하	무한;	193;1	HP;100%;이하	무한;																																											
7360	뱀파이어 호러	1	인간	110	궁수	115																																																					
8490	영 투르카벤	1	오크	120	궁수	100																																																					
8500	몰이 브란	1	문엘프	120	궁수	100																																																					
7450	라미아 레이디	1	오크	110	법사	115																																																					
8510	로담 브레이커	1	인간	120	법사	100																																																					
8520	스틸 투르카벤	1	오크	120	궁수	100																																																					
7240	뱀파이어 프린스	1	인간	120	전사	120					347;1	HP;100%;이하	무한;	198;1	HP;100%;이하	무한;																																											
7390	파이어 구울	1	오크	120	궁수	120																																																					
8530	습격 브란	1	문엘프	120	궁수	100																																																					
8540	듀리븐 서처	1	오크	120	전사	100					192;1	HP;100%;이하	무한;																																														
7460	라미아 마법사	1	인간	125	법사	120																																																					
8550	로바톰	1	인간	120	전사	100					199;1	HP;100%;이하	무한;																																														
8560	레드플랙 경비병	1	인간	120	법사	100																																																					
7400	에인션트 구울	1	오크	125	전사	125																																																					
8570	레드플랙 습격병	1	문엘프	120	법사	100																																																					
8160	영 호크애로우	1	오크	120	법사	100																																																					
7470	라미아 퀸	1	인간	130	궁수	125					348;1	HP;100%;이하	무한;	193;1	HP;100%;이하	무한;																																											
7120	골렘	1	오크	130	법사	125																																																					
7410	빅베놈 구울	1	인간	110	전사	110																																																					
8580	레드플랙 철갑병	1	오크	120	전사	100																																																					
8590	듀리븐 슬럭	1	인간	120	전사	100																																																					
8600	레드플랙 전투병	1	인간	120	전사	100																																																					
8260	와일드 호크애로우	1	오크	120	법사	100																																																					
7250	구울 킹	1	오크	110	궁수	110					349;1	HP;100%;이하	무한;	197;1	HP;100%;이하	무한;																																											
3030	메탈 골렘	1	인간	120	법사	110																																																					
8610	소드 투르카벤	1	문엘프	120	궁수	100																																																					
8620	트랜콥스 씬	1	오크	120	법사	100																																																					
7170	기간테스	1	오크	120	전사	115					350;1	HP;100%;이하	무한;	196;1	HP;100%;이하	무한;																																											
8630	듀리븐 폴른	1	인간	120	전사	100																																																					
8280	블랙 호크애로우	1	오크	120	전사	100																																																					
8330	에우리알레 학살자	1	인간	120	궁수	100																																																					
380	와이번	1	인간	125	궁수	115					123;1	HP;100%;이하	무한;	196;1	HP;100%;이하	무한;																																											
8640	랜스 투르카벤	1	문엘프	120	궁수	100																																																					
8650	트랜콥스 길티	1	인간	120	전사	100																																																					
8660	그레이 딩고	1	오크	120	법사	100																																																					
8670	케이브 윙	1	인간	120	법사	100																																																					
8300	에우리알레	1	문엘프	120	궁수	100																																																					
8290	어덜트 호크애로우	1	오크	120	전사	100					194;1	HP;100%;이하	무한;																																														
8680	스케빈저	1	인간	120	법사	100																																																					
8690	영 미노타우르스	1	오크	120	전사	100																																																					
8020	에우리알레 노예	1	문엘프	120	궁수	100																																																					
8700	유충 불란트	1	인간	120	궁수	100																																																					
8150	파라오 노예	1	오크	120	법사	100																																																					
8270	블러드 호크애로우	1	문엘프	120	전사	100																																																					
8090	호크애로우 킹	1	오크	120	전사	100					418;1	HP;100%;이하	무한;	194;1	HP;100%;이하	무한;																																											
8710	퀘아사 병사	1	오크	120	궁수	100																																																					
8720	고디카	1	인간	120	법사	100																																																					
8380	파라오	1	인간	120	전사	100																																																					
8310	에우리알레 가디언	1	문엘프	120	법사	100																																																					
8730	퀘아사 안내자	1	문엘프	120	궁수	100					197;1	HP;100%;이하	무한;																																														
8740	워커 불란트	1	오크	120	전사	100																																																					
8400	파라오 위자드	1	인간	120	법사	100																																																					
6570	에우리알레 군주	1	문엘프	120	궁수	100					417;1	HP;100%;이하	무한;	197;1	HP;100%;이하	무한;																																											
8750	퀘아사 심판관	1	오크	120	궁수	100					193;1	HP;100%;이하	무한;																																														
8760	러스트 스토머	1	문엘프	120	법사	100																																																					
8390	파라오 기사	1	인간	120	전사	100					196;1	HP;100%;이하	무한;																																														
8770	사막족	1	인간	120	전사	100																																																					
8780	불란트 드론	1	오크	120	궁수	100																																																					
8410	파라오 가디언	1	문엘프	120	법사	100																																																					
6560	파라오 킹	1	문엘프	120	전사	100					416;1	HP;100%;이하	무한;	196;1	HP;100%;이하	무한;																																											
8790	카니발울프	1	오크	120	궁수	100																																																					
8800	플레프터	1	문엘프	120	법사	100																																																					
8810	피어스 투르카벤	1	인간	120	전사	100																																																					
8820	크랙 페인게인	1	오크	120	법사	100																																																					
8830	록 스토머	1	인간	120	법사	100																																																					
8840	히라 졸병	1	문엘프	120	궁수	100					196;1	HP;100%;이하	무한;																																														
8450	자이언트 오거	1	오크	120	전사	100																																																					
8850	히라 대장	1	문엘프	120	법사	100					373;1	HP;100%;이하	무한;	196;1	HP;100%;이하	무한;																																											
9290	기글러 검사	1	문엘프	120	법사	100																																																					
9210	새비지 샤드댄서	1	문엘프	120	궁수	100																																																					
9260	비셔스 텔러	1	문엘프	120	법사	100																																																					
9300	기글러 가디언	1	문엘프	120	궁수	100																																																					
9250	블룬독 노예	1	문엘프	120	법사	100																																																					
9230	암브로드 스카우트	1	문엘프	120	궁수	100																																																					
9150	블러드 샤드댄서	1	인간	120	전사	100																																																					
9220	블룬독 병사	1	오크	120	법사	100																																																					
12090	에텐 점퍼	1	인간	120	법사	100																																																					
8890	암브로드 헬마이티	1	문엘프	120	궁수	100					438;1	HP;100%;이하	무한;	196;1	HP;100%;이하	무한;																																											
8950	기글러 대장	1	오크	120	전사	100																																																					
8990	아머드 샤드댄서	1	문엘프	120	법사	100																																																					
9240	비셔스 싱어	1	인간	120	전사	100																																																					
12080	에텐 버서커	1	오크	120	법사	100																																																					
9140	블룬독 대장	1	인간	120	법사	100																																		920	1																		
8970	비셔스 파이퍼	1	문엘프	120	궁수	100																																																					
9280	레퀴메스 일꾼	1	오크	120	전사	100																																																					
