MonsterName	MonsterTID	ItemCount	ItemName	ItemTID	Min	Max	Rate
Vissil	58	2		1890	1	1	500
Vissil	58	2		1865	1	1	500
Vissil	58	2		1870	1	1	500
Vissil	58	2		1875	1	1	500
Vissil	58	2		1880	1	1	500
Vissil	58	2		1885	1	1	500
Vissil	58	2		6074	1	1	500
Goss	59	2		5008	1	1	30
Goss	59	2		1856	1	1	500
Goss	59	2		1861	1	1	500
Goss	59	2		1891	1	1	500
Goss	59	2		1866	1	1	500
Goss	59	2		1871	1	1	500
Goss	59	2		1876	1	1	500
Goss	59	2		1881	1	1	500
Goss	59	2		1886	1	1	500
Goss	59	2		6075	1	1	500
Bolko	60	2		5009	1	1	20
Bolko	60	2		5019	1	1	30
Bolko	60	2		1857	1	1	500
Bolko	60	2		1862	1	1	500
Bolko	60	2		1892	1	1	500
Bolko	60	2		1867	1	1	500
Bolko	60	2		1872	1	1	500
Bolko	60	2		1877	1	1	500
Bolko	60	2		1882	1	1	500
Bolko	60	2		1887	1	1	500
Bolko	60	2		6076	1	1	500
Gasios	61	1		1855	1	1	500
Gasios	61	1		1860	1	1	500
Gasios	61	1		1890	1	1	500
Gasios	61	1		1865	1	1	500
Gasios	61	1		1870	1	1	500
Gasios	61	1		1875	1	1	500
Gasios	61	1		1880	1	1	500
Gasios	61	1		1885	1	1	500
Gasios	61	1		6074	1	1	500
Firewing	62	1		5005	1	1	30
Firewing	62	1		5026	1	1	30
Tika	63	2		5008	1	1	30
Tika	63	2		5018	1	1	10
Tika	63	2		1856	1	1	500
Tika	63	2		1861	1	1	500
Tika	63	2		1891	1	1	500
Tika	63	2		1866	1	1	500
Tika	63	2		1871	1	1	500
Tika	63	2		1876	1	1	500
Tika	63	2		1881	1	1	500
Tika	63	2		1886	1	1	500
Tika	63	2		6075	1	1	500
Dover	64	2		5028	1	1	30
Dover	64	2		1855	1	1	500
Dover	64	2		1860	1	1	500
Dover	64	2		1890	1	1	500
Dover	64	2		1865	1	1	500
Dover	64	2		1870	1	1	500
Dover	64	2		1875	1	1	500
Dover	64	2		1880	1	1	500
Dover	64	2		1885	1	1	500
Dover	64	2		6074	1	1	500
Dorf	65	1		1855	1	1	500
Dorf	65	1		1860	1	1	500
Dorf	65	1		1890	1	1	500
Dorf	65	1		1865	1	1	500
Dorf	65	1		1870	1	1	500
Dorf	65	1		1875	1	1	500
Dorf	65	1		1880	1	1	500
Dorf	65	1		1885	1	1	500
Dorf	65	1		6074	1	1	500
Lilyn	66	2		5007	1	1	10
Lilyn	66	2		1855	1	1	500
Lilyn	66	2		1860	1	1	500
Lilyn	66	2		1890	1	1	500
Lilyn	66	2		1865	1	1	500
Lilyn	66	2		1870	1	1	500
Lilyn	66	2		1875	1	1	500
Lilyn	66	2		1880	1	1	500
Lilyn	66	2		1885	1	1	500
Lilyn	66	2		6074	1	1	500
Maxo	67	2		5007	1	1	10
Maxo	67	2		5015	1	1	20
Maxo	67	2		5016	1	1	25
Maxo	67	2		5017	1	1	30
Maxo	67	2		1856	1	1	500
Maxo	67	2		1861	1	1	500
Maxo	67	2		1891	1	1	500
Maxo	67	2		1866	1	1	500
Maxo	67	2		1871	1	1	500
Maxo	67	2		1876	1	1	500
Maxo	67	2		1881	1	1	500
Maxo	67	2		1886	1	1	500
Maxo	67	2		6075	1	1	500
Event Skeleton [Lightning World]	73	2		451	15	15	100000
Event Skeleton [Lightning World]	73	2		4803	3	3	100000
Event Skeleton [Poison World]	74	2		451	30	30	100000
Event Skeleton [Poison World]	74	2		4803	5	5	100000
Event Skeleton [Shinewood/Triboots]	75	2		7495	1	1	100000
Event Skeleton [Shinewood/Triboots]	75	2		4802	1	1	100000
Event Skeleton [Silancium/Asylum]	76	2		7493	1	1	100000
Zombie Lord	86	2		451	1	1	100000
Bashiva	88	1		5005	1	1	30
Bashiva	88	1		5026	1	1	30
Bogman	91	2		5027	1	1	30
Bogman	91	2		1855	1	1	500
Bogman	91	2		1860	1	1	500
Bogman	91	2		1890	1	1	500
Bogman	91	2		1865	1	1	500
Bogman	91	2		1870	1	1	500
Bogman	91	2		1875	1	1	500
Bogman	91	2		1880	1	1	500
Bogman	91	2		1885	1	1	500
Bogman	91	2		6074	1	1	500
Sapan	92	2		5006	1	1	20
Sapan	92	2		5027	1	1	30
Sapan	92	2		1855	1	1	500
Sapan	92	2		1860	1	1	500
Sapan	92	2		1890	1	1	500
Sapan	92	2		1865	1	1	500
Sapan	92	2		1870	1	1	500
Sapan	92	2		1875	1	1	500
Sapan	92	2		1880	1	1	500
Sapan	92	2		1885	1	1	500
Sapan	92	2		6074	1	1	500
Aria	93	2		5006	1	1	20
Aria	93	2		5027	1	1	30
Aria	93	2		1855	1	1	500
Aria	93	2		1860	1	1	500
Aria	93	2		1890	1	1	500
Aria	93	2		1865	1	1	500
Aria	93	2		1870	1	1	500
Aria	93	2		1875	1	1	500
Aria	93	2		1880	1	1	500
Aria	93	2		1885	1	1	500
Aria	93	2		6074	1	1	500
Ohkeros	94	1		1855	1	1	500
Ohkeros	94	1		1860	1	1	500
Ohkeros	94	1		1890	1	1	500
Ohkeros	94	1		1865	1	1	500
Ohkeros	94	1		1870	1	1	500
Ohkeros	94	1		1875	1	1	500
Ohkeros	94	1		1880	1	1	500
Ohkeros	94	1		1885	1	1	500
Ohkeros	94	1		6074	1	1	500
Ingo	95	2		5006	1	1	20
Ingo	95	2		1855	1	1	500
Ingo	95	2		1860	1	1	500
Ingo	95	2		1890	1	1	500
Ingo	95	2		1865	1	1	500
Ingo	95	2		1870	1	1	500
Ingo	95	2		1875	1	1	500
Ingo	95	2		1880	1	1	500
Ingo	95	2		1885	1	1	500
Ingo	95	2		6074	1	1	500
Water Viper	117	1		5005	1	1	30
Water Viper	117	1		5026	1	1	30
Event Skeleton [Windrill/Latria]	121	1		7494	1	1	100000
Skeleton Rapidfire Shooter	122	2		5028	1	1	30
Skeleton Rapidfire Shooter	122	2		1855	1	1	500
Skeleton Rapidfire Shooter	122	2		1860	1	1	500
Skeleton Rapidfire Shooter	122	2		1890	1	1	500
Skeleton Rapidfire Shooter	122	2		1865	1	1	500
Skeleton Rapidfire Shooter	122	2		1870	1	1	500
Skeleton Rapidfire Shooter	122	2		1875	1	1	500
Skeleton Rapidfire Shooter	122	2		1880	1	1	500
Skeleton Rapidfire Shooter	122	2		1885	1	1	500
Skeleton Rapidfire Shooter	122	2		6074	1	1	500
Skeleton Shaman	123	1		1855	1	1	500
Skeleton Shaman	123	1		1860	1	1	500
Skeleton Shaman	123	1		1890	1	1	500
Skeleton Shaman	123	1		1865	1	1	500
Skeleton Shaman	123	1		1870	1	1	500
Skeleton Shaman	123	1		1875	1	1	500
Skeleton Shaman	123	1		1880	1	1	500
Skeleton Shaman	123	1		1885	1	1	500
Skeleton Shaman	123	1		6074	1	1	500
Windboar Imp	124	2		5008	1	1	30
Windboar Imp	124	2		1856	1	1	500
Windboar Imp	124	2		1861	1	1	500
Windboar Imp	124	2		1891	1	1	500
Windboar Imp	124	2		1866	1	1	500
Windboar Imp	124	2		1871	1	1	500
Windboar Imp	124	2		1876	1	1	500
Windboar Imp	124	2		1881	1	1	500
Windboar Imp	124	2		1886	1	1	500
Windboar Imp	124	2		6075	1	1	500
River Goblin Scout	126	2		5006	1	1	20
River Goblin Scout	126	2		1855	1	1	500
River Goblin Scout	126	2		1860	1	1	500
River Goblin Scout	126	2		1890	1	1	500
River Goblin Scout	126	2		1865	1	1	500
River Goblin Scout	126	2		1870	1	1	500
River Goblin Scout	126	2		1875	1	1	500
River Goblin Scout	126	2		1880	1	1	500
River Goblin Scout	126	2		1885	1	1	500
River Goblin Scout	126	2		6074	1	1	500
Candle Bear	127	2		5007	1	1	10
Candle Bear	127	2		1856	1	1	500
Candle Bear	127	2		1861	1	1	500
Candle Bear	127	2		1891	1	1	500
Candle Bear	127	2		1866	1	1	500
Candle Bear	127	2		1871	1	1	500
Candle Bear	127	2		1876	1	1	500
Candle Bear	127	2		1881	1	1	500
Candle Bear	127	2		1886	1	1	500
Candle Bear	127	2		6075	1	1	500
Flame Bat	128	2		5005	1	1	30
Flame Bat	128	2		5028	1	1	30
Flame Bat	128	2		1855	1	1	500
Flame Bat	128	2		1860	1	1	500
Flame Bat	128	2		1890	1	1	500
Flame Bat	128	2		1865	1	1	500
Flame Bat	128	2		1870	1	1	500
Flame Bat	128	2		1875	1	1	500
Flame Bat	128	2		1880	1	1	500
Flame Bat	128	2		1885	1	1	500
Flame Bat	128	2		6074	1	1	500
Harpy Queen	135	1		1857	1	1	500
Harpy Queen	135	1		1862	1	1	500
Harpy Queen	135	1		1892	1	1	500
Harpy Queen	135	1		1867	1	1	500
Harpy Queen	135	1		1872	1	1	500
Harpy Queen	135	1		1877	1	1	500
Harpy Queen	135	1		1882	1	1	500
Harpy Queen	135	1		1887	1	1	500
Harpy Queen	135	1		6076	1	1	500
Arachnoid Queen	193	2		451	1	1	100000
Runebat Leader	194	2		5015	1	1	20
Runebat Leader	194	2		5016	1	1	25
Runebat Leader	194	2		5017	1	1	30
Runebat Leader	194	2		1856	1	1	500
Runebat Leader	194	2		1861	1	1	500
Runebat Leader	194	2		1891	1	1	500
Runebat Leader	194	2		1866	1	1	500
Runebat Leader	194	2		1871	1	1	500
Runebat Leader	194	2		1876	1	1	500
Runebat Leader	194	2		1881	1	1	500
Runebat Leader	194	2		1886	1	1	500
Runebat Leader	194	2		6075	1	1	500
Caretaker Cyklon	196	2		451	1	1	100000
Necromantic Ruler	197	1		5014	1	1	30
Necromantic Ruler	197	1		5024	1	1	30
Corpse Eater	199	1		5014	1	1	30
Corpse Eater	199	1		5024	1	1	30
Accursed Lord	200	1		5014	1	1	30
Accursed Lord	200	1		5024	1	1	30
Gale Fleshripper	201	1		5014	1	1	30
Gale Fleshripper	201	1		5024	1	1	30
Sickle Flameweaver	202	1		5014	1	1	30
Sickle Flameweaver	202	1		5024	1	1	30
Fallen Sentinel	203	1		5014	1	1	30
Fallen Sentinel	203	1		5024	1	1	30
Vynil Tail	205	1		5013	1	1	30
Accursed Warrior	206	1		5023	1	1	30
Accursed Lasher	207	1		5023	1	1	30
Necromantic Observer	208	1		5023	1	1	30
Necromantic Messenger	209	1		5023	1	1	30
Gale Carrion Feeder	210	1		5014	1	1	30
Gale Talonbane	211	1		5014	1	1	30
Blade Flameweaver	212	1		5014	1	1	30
Lyrin Recruit	217	2		5012	1	1	30
Lyrin Recruit	217	2		5022	1	1	30
Lyrin Recruit	217	2		1857	1	1	500
Lyrin Recruit	217	2		1862	1	1	500
Lyrin Recruit	217	2		1892	1	1	500
Lyrin Recruit	217	2		1867	1	1	500
Lyrin Recruit	217	2		1872	1	1	500
Lyrin Recruit	217	2		1877	1	1	500
Lyrin Recruit	217	2		1882	1	1	500
Lyrin Recruit	217	2		1887	1	1	500
Lyrin Recruit	217	2		6076	1	1	500
Lyrin Commander	221	2		5022	1	1	30
Lyrin Commander	221	2		1857	1	1	500
Lyrin Commander	221	2		1862	1	1	500
Lyrin Commander	221	2		1892	1	1	500
Lyrin Commander	221	2		1867	1	1	500
Lyrin Commander	221	2		1872	1	1	500
Lyrin Commander	221	2		1877	1	1	500
Lyrin Commander	221	2		1882	1	1	500
Lyrin Commander	221	2		1887	1	1	500
Lyrin Commander	221	2		6076	1	1	500
Shadow Zenith	225	1		5023	1	1	30
Shadow Stalker	226	1		5013	1	1	30
Sharkan Hunter	235	1		5014	1	1	30
Roton Windrunnner	245	1		5013	1	1	30
Eidolon Reaper	246	1		5023	1	1	30
Vynil Soldier	263	2		5022	1	1	30
Vynil Soldier	263	2		1857	1	1	500
Vynil Soldier	263	2		1862	1	1	500
Vynil Soldier	263	2		1892	1	1	500
Vynil Soldier	263	2		1867	1	1	500
Vynil Soldier	263	2		1872	1	1	500
Vynil Soldier	263	2		1877	1	1	500
Vynil Soldier	263	2		1882	1	1	500
Vynil Soldier	263	2		1887	1	1	500
Vynil Soldier	263	2		6076	1	1	500
Centaur Commander	269	1		1857	1	1	500
Centaur Commander	269	1		1862	1	1	500
Centaur Commander	269	1		1892	1	1	500
Centaur Commander	269	1		1867	1	1	500
Centaur Commander	269	1		1872	1	1	500
Centaur Commander	269	1		1877	1	1	500
Centaur Commander	269	1		1882	1	1	500
Centaur Commander	269	1		1887	1	1	500
Centaur Commander	269	1		6076	1	1	500
Chakdol	270	2		5005	1	1	30
Chakdol	270	2		5028	1	1	30
Chakdol	270	2		1855	1	1	500
Chakdol	270	2		1860	1	1	500
Chakdol	270	2		1890	1	1	500
Chakdol	270	2		1865	1	1	500
Chakdol	270	2		1870	1	1	500
Chakdol	270	2		1875	1	1	500
Chakdol	270	2		1880	1	1	500
Chakdol	270	2		1885	1	1	500
Chakdol	270	2		6074	1	1	500
Captain Pack	271	2		5005	1	1	30
Captain Pack	271	2		5028	1	1	30
Captain Pack	271	2		1855	1	1	500
Captain Pack	271	2		1860	1	1	500
Captain Pack	271	2		1890	1	1	500
Captain Pack	271	2		1865	1	1	500
Captain Pack	271	2		1870	1	1	500
Captain Pack	271	2		1875	1	1	500
Captain Pack	271	2		1880	1	1	500
Captain Pack	271	2		1885	1	1	500
Captain Pack	271	2		6074	1	1	500
Arachnoid Poison	273	2		5008	1	1	30
Arachnoid Poison	273	2		1856	1	1	500
Arachnoid Poison	273	2		1861	1	1	500
Arachnoid Poison	273	2		1891	1	1	500
Arachnoid Poison	273	2		1866	1	1	500
Arachnoid Poison	273	2		1871	1	1	500
Arachnoid Poison	273	2		1876	1	1	500
Arachnoid Poison	273	2		1881	1	1	500
Arachnoid Poison	273	2		1886	1	1	500
Arachnoid Poison	273	2		6075	1	1	500
Goblin Chief	275	2		5005	1	1	30
Goblin Chief	275	2		5028	1	1	30
Goblin Chief	275	2		1855	1	1	500
Goblin Chief	275	2		1860	1	1	500
Goblin Chief	275	2		1890	1	1	500
Goblin Chief	275	2		1865	1	1	500
Goblin Chief	275	2		1870	1	1	500
Goblin Chief	275	2		1875	1	1	500
Goblin Chief	275	2		1880	1	1	500
Goblin Chief	275	2		1885	1	1	500
Goblin Chief	275	2		6074	1	1	500
Tongtong	276	1		5005	1	1	30
Event Skeleton [Human Zone]	280	1		1855	1	1	500
Event Skeleton [Human Zone]	280	1		1860	1	1	500
Event Skeleton [Human Zone]	280	1		1890	1	1	500
Event Skeleton [Human Zone]	280	1		1865	1	1	500
Event Skeleton [Human Zone]	280	1		1870	1	1	500
Event Skeleton [Human Zone]	280	1		1875	1	1	500
Event Skeleton [Human Zone]	280	1		1880	1	1	500
Event Skeleton [Human Zone]	280	1		1885	1	1	500
Event Skeleton [Human Zone]	280	1		6074	1	1	500
Thief Charger	281	2		5007	1	1	10
Thief Charger	281	2		5015	1	1	20
Thief Charger	281	2		5016	1	1	25
Thief Charger	281	2		5017	1	1	30
Thief Charger	281	2		1856	1	1	500
Thief Charger	281	2		1861	1	1	500
Thief Charger	281	2		1891	1	1	500
Thief Charger	281	2		1866	1	1	500
Thief Charger	281	2		1871	1	1	500
Thief Charger	281	2		1876	1	1	500
Thief Charger	281	2		1881	1	1	500
Thief Charger	281	2		1886	1	1	500
Thief Charger	281	2		6075	1	1	500
Arkaros Slave	289	1		1856	1	1	500
Arkaros Slave	289	1		1861	1	1	500
Arkaros Slave	289	1		1891	1	1	500
Arkaros Slave	289	1		1866	1	1	500
Arkaros Slave	289	1		1871	1	1	500
Arkaros Slave	289	1		1876	1	1	500
Arkaros Slave	289	1		1881	1	1	500
Arkaros Slave	289	1		1886	1	1	500
Arkaros Slave	289	1		6075	1	1	500
Lizardman Soldier	293	1		1855	1	1	500
Lizardman Soldier	293	1		1860	1	1	500
Lizardman Soldier	293	1		1890	1	1	500
Lizardman Soldier	293	1		1865	1	1	500
Lizardman Soldier	293	1		1870	1	1	500
Lizardman Soldier	293	1		1875	1	1	500
Lizardman Soldier	293	1		1880	1	1	500
Lizardman Soldier	293	1		1885	1	1	500
Lizardman Soldier	293	1		6074	1	1	500
Magic Lycanto	297	1		1855	1	1	500
Magic Lycanto	297	1		1860	1	1	500
Magic Lycanto	297	1		1890	1	1	500
Magic Lycanto	297	1		1865	1	1	500
Magic Lycanto	297	1		1870	1	1	500
Magic Lycanto	297	1		1875	1	1	500
Magic Lycanto	297	1		1880	1	1	500
Magic Lycanto	297	1		1885	1	1	500
Magic Lycanto	297	1		6074	1	1	500
Spell Werewolf	298	2		5018	1	1	10
Spell Werewolf	298	2		1856	1	1	500
Spell Werewolf	298	2		1861	1	1	500
Spell Werewolf	298	2		1891	1	1	500
Spell Werewolf	298	2		1866	1	1	500
Spell Werewolf	298	2		1871	1	1	500
Spell Werewolf	298	2		1876	1	1	500
Spell Werewolf	298	2		1881	1	1	500
Spell Werewolf	298	2		1886	1	1	500
Spell Werewolf	298	2		6075	1	1	500
Lizardman Lord	301	2		5006	1	1	20
Lizardman Lord	301	2		5027	1	1	30
Lizardman Lord	301	2		1855	1	1	500
Lizardman Lord	301	2		1860	1	1	500
Lizardman Lord	301	2		1890	1	1	500
Lizardman Lord	301	2		1865	1	1	500
Lizardman Lord	301	2		1870	1	1	500
Lizardman Lord	301	2		1875	1	1	500
Lizardman Lord	301	2		1880	1	1	500
Lizardman Lord	301	2		1885	1	1	500
Lizardman Lord	301	2		6074	1	1	500
Redsign	306	2		451	1	1	100000
Flame Bear	307	2		5007	1	1	10
Flame Bear	307	2		5015	1	1	20
Flame Bear	307	2		5016	1	1	25
Flame Bear	307	2		5017	1	1	30
Flame Bear	307	2		1856	1	1	500
Flame Bear	307	2		1861	1	1	500
Flame Bear	307	2		1891	1	1	500
Flame Bear	307	2		1866	1	1	500
Flame Bear	307	2		1871	1	1	500
Flame Bear	307	2		1876	1	1	500
Flame Bear	307	2		1881	1	1	500
Flame Bear	307	2		1886	1	1	500
Flame Bear	307	2		6075	1	1	500
Gargoyle Bolt	309	2		5015	1	1	20
Gargoyle Bolt	309	2		5016	1	1	25
Gargoyle Bolt	309	2		5017	1	1	30
Gargoyle Bolt	309	2		1856	1	1	500
Gargoyle Bolt	309	2		1861	1	1	500
Gargoyle Bolt	309	2		1891	1	1	500
Gargoyle Bolt	309	2		1866	1	1	500
Gargoyle Bolt	309	2		1871	1	1	500
Gargoyle Bolt	309	2		1876	1	1	500
Gargoyle Bolt	309	2		1881	1	1	500
Gargoyle Bolt	309	2		1886	1	1	500
Gargoyle Bolt	309	2		6075	1	1	500
Stone Eater	311	2		5027	1	1	30
Stone Eater	311	2		1855	1	1	500
Stone Eater	311	2		1860	1	1	500
Stone Eater	311	2		1890	1	1	500
Stone Eater	311	2		1865	1	1	500
Stone Eater	311	2		1870	1	1	500
Stone Eater	311	2		1875	1	1	500
Stone Eater	311	2		1880	1	1	500
Stone Eater	311	2		1885	1	1	500
Stone Eater	311	2		6074	1	1	500
Reload	312	2		5006	1	1	20
Reload	312	2		5027	1	1	30
Reload	312	2		1855	1	1	500
Reload	312	2		1860	1	1	500
Reload	312	2		1890	1	1	500
Reload	312	2		1865	1	1	500
Reload	312	2		1870	1	1	500
Reload	312	2		1875	1	1	500
Reload	312	2		1880	1	1	500
Reload	312	2		1885	1	1	500
Reload	312	2		6074	1	1	500
Windwing Harpy	320	2		5019	1	1	30
Windwing Harpy	320	2		1857	1	1	500
Windwing Harpy	320	2		1862	1	1	500
Windwing Harpy	320	2		1892	1	1	500
Windwing Harpy	320	2		1867	1	1	500
Windwing Harpy	320	2		1872	1	1	500
Windwing Harpy	320	2		1877	1	1	500
Windwing Harpy	320	2		1882	1	1	500
Windwing Harpy	320	2		1887	1	1	500
Windwing Harpy	320	2		6076	1	1	500
Green Poison Moth	324	2		5008	1	1	30
Green Poison Moth	324	2		5018	1	1	10
Green Poison Moth	324	2		1856	1	1	500
Green Poison Moth	324	2		1861	1	1	500
Green Poison Moth	324	2		1891	1	1	500
Green Poison Moth	324	2		1866	1	1	500
Green Poison Moth	324	2		1871	1	1	500
Green Poison Moth	324	2		1876	1	1	500
Green Poison Moth	324	2		1881	1	1	500
Green Poison Moth	324	2		1886	1	1	500
Green Poison Moth	324	2		6075	1	1	500
Loki	329	2		5005	1	1	30
Loki	329	2		5028	1	1	30
Loki	329	2		1855	1	1	500
Loki	329	2		1860	1	1	500
Loki	329	2		1890	1	1	500
